EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532490360,188.35,189.6,188.05,189.45,45429,0
1,187.9,188.4,187.65,188.4,43324,0
2,187.7,188.1,187.7,188.1,34740,0
3,187.25,187.9,187.25,187.7,31029,0
4,187.6,187.95,187.35,187.35,30478,0
5,187.2,187.7,187.1,187.7,37693,0
6,187.7,187.85,187.15,187.15,26960,0
7,187.1,187.8,187.1,187.7,44804,0
8,187.3,187.4,187.1,187.2,20864,0
9,187.4,187.4,187.2,187.3,32504,0
10,187.55,187.85,187.35,187.35,21049,0
11,187.7,187.7,187.3,187.55,27244,0
12,189.25,189.25,187.7,187.7,57374,0
13,188.5,189.3,188.5,189.15,19436,0
14,189,189,188.35,188.5,26140,0
15,188.5,189,188.35,189,15627,0
16,188.05,188.45,187.8,188.45,22053,0
17,187.6,188.1,187.4,188.1,56460,0
18,186.5,187.7,186.5,187.7,43021,0
19,187.1,187.2,186.45,186.5,40866,0
20,187.05,187.2,186.5,187.2,49710,0
21,186.8,187.1,186.7,187.1,22881,0
22,186.7,186.8,186.3,186.75,32649,0
23,186.85,186.95,186.45,186.95,32058,0
24,187,187.2,186.85,186.9,23272,0
25,186.75,187.15,186.65,187.05,43991,0
26,186.65,186.9,186.65,186.75,25645,0
27,186.8,187.05,186.35,186.5,35710,0
28,187.1,187.2,186.65,186.8,17464,0
29,187.1,187.4,186.95,187.1,42199,0
30,187,187.15,186.9,187.1,54612,0
31,187.15,187.6,187.05,187.15,24829,0
32,187,187.3,186.8,187.1,20833,0
33,186.6,186.95,186.6,186.95,11402,0
34,186.9,187.3,186.65,186.65,32582,0
35,187,187.1,186.85,187,72906,0
36,186.65,187.05,186.65,186.95,51844,0
37,186.9,186.95,186.65,186.65,34677,0
38,187.15,187.2,186.8,186.9,17301,0
39,187.05,187.35,186.95,187.15,31639,0
40,186.95,187.2,186.9,187.1,33219,0
41,186.9,186.95,186.8,186.95,17216,0
42,187,187.15,186.8,186.85,9885,0
43,187.4,187.5,186.85,187,106936,0
44,187.25,187.3,187.1,187.3,15607,0
45,187.2,187.45,187.2,187.25,47233,0
46,186.95,187.7,186.9,187.25,50681,0
47,187.15,187.15,186.8,187.1,20319,0
48,186.85,187.2,186.65,187.15,71073,0
49,185.95,186.8,185.7,186.8,101994,0
50,185.45,185.95,185.25,185.85,55863,0
51,185.7,185.9,185.4,185.4,44679,0
52,185.6,185.75,185.5,185.5,16002,0
53,185.35,185.6,185.25,185.6,24371,0
54,185.35,185.5,185,185.35,36963,0
55,185.3,185.45,185.2,185.45,10498,0
56,185.35,185.5,185.25,185.3,20252,0
57,185.8,185.9,185.4,185.4,23764,0
58,185.8,186.05,185.75,185.75,6347,0
59,185.75,185.75,185.65,185.75,3121,0
60,185.7,185.8,185.6,185.8,3931,0
61,185.7,185.75,185.65,185.65,6510,0
62,185.7,185.85,185.65,185.75,4768,0
63,185.7,185.9,185.65,185.85,4245,0
64,185.85,185.85,185.65,185.65,5625,0
65,186.05,186.05,185.7,185.8,7025,0
66,186.05,186.15,185.95,186.05,9370,0
67,185.85,186.15,185.6,186,10216,0
68,185.95,186.1,185.9,185.9,1182,0
69,185.9,185.95,185.75,185.95,3081,0
70,186.05,186.2,185.85,185.9,6036,0
71,186,186.15,185.95,186.05,4034,0
72,185.9,186.05,185.75,185.9,5161,0
73,185.8,185.85,185.75,185.85,2139,0
74,185.55,185.7,185.45,185.65,7820,0
75,185.4,185.5,185.35,185.5,2704,0
76,184.75,185.4,184.7,185.35,24189,0
77,184.8,184.85,184.6,184.8,16514,0
78,185,185,184.6,184.7,14428,0
79,184.95,185,184.9,184.9,4605,0
80,184.7,184.85,184.5,184.8,20569,0
81,184.45,184.65,184.2,184.65,30769,0
82,184.4,184.55,184.25,184.5,14108,0
83,184.4,184.45,184.25,184.4,7120,0
84,184.2,184.4,184.1,184.4,8066,0
85,184.25,184.3,184.05,184.2,17029,0
86,184.1,184.15,183.9,183.95,25406,0
87,184,184.05,183.9,184.05,11364,0
88,184.1,184.1,183.5,183.95,32734,0
89,184.4,184.5,184,184,23451,0
90,184.6,184.6,184.3,184.4,4826,0
91,184.6,184.6,184.5,184.6,6039,0
92,184.95,184.95,184.6,184.6,9308,0
93,185.35,185.35,184.9,184.9,24130,0
94,185.3,185.35,185.15,185.3,11889,0
95,184.95,185.3,184.95,185.2,8536,0
96,185.05,185.1,184.9,184.95,7645,0
97,185.05,185.2,185.05,185.15,1740,0
98,185,185.15,185,185.1,3737,0
99,184.8,185,184.8,185,4708,0
100,184.95,185,184.85,184.85,1392,0
101,185,185,184.85,184.85,4451,0
102,184.95,185.1,184.9,184.95,2212,0
103,185.15,185.2,184.9,184.95,4350,0
104,185.25,185.25,184.95,185,3678,0
105,185.35,185.35,185.2,185.2,6779,0
106,185.45,185.5,185.25,185.25,4210,0
