EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1530.05,1530.05,1523.15,1523.15,6011,0
1,1532.5,1532.9,1528.05,1530,5446,0
2,1530.2,1531.95,1530.2,1531.9,4059,0
3,1532.35,1533.6,1530.25,1530.25,1137,0
4,1533,1533.4,1531.45,1532.4,1584,0
5,1533.35,1535.65,1532.2,1532.2,3101,0
6,1533.3,1533.9,1531.15,1533.9,2554,0
7,1531.75,1533.4,1531.45,1532.1,742,0
8,1532,1533.25,1531,1531.85,1877,0
9,1532.85,1533.5,1531.5,1532.85,1488,0
10,1531.5,1532.75,1531.5,1532.75,369,0
11,1532.95,1533,1531.15,1532.6,664,0
12,1534,1534,1532,1532.3,605,0
13,1533.1,1535,1532.45,1533.35,1289,0
14,1534.95,1535,1532.1,1535,1275,0
15,1536.65,1538,1532.45,1534.95,8066,0
16,1542.15,1542.15,1536.65,1536.65,5612,0
17,1546.75,1547,1542.05,1543,8835,0
18,1548.4,1548.7,1546.05,1546.5,5765,0
19,1542.15,1548,1542.15,1547.1,2146,0
20,1541.45,1543.1,1539.4,1542,5466,0
21,1541.45,1541.45,1539.45,1540.15,2887,0
22,1545.95,1545.95,1540.55,1540.55,5563,0
23,1544.5,1545.95,1543,1544.1,4431,0
24,1543.25,1545.95,1543.25,1544.5,1178,0
25,1544,1545.95,1543.15,1544,1392,0
26,1545.3,1546,1544.2,1545.5,2435,0
27,1546.9,1546.95,1545.3,1546,1250,0
28,1550.8,1552.7,1546.05,1546.05,25476,0
29,1552.8,1552.95,1549.5,1552.7,8983,0
30,1552.55,1554,1551,1552.1,8939,0
31,1551.9,1554,1550.15,1552.55,7982,0
32,1550.65,1551.75,1548.3,1551.75,5504,0
33,1553,1553.8,1549.1,1550.75,2901,0
34,1552,1554,1552,1553,6911,0
35,1556.45,1557,1551.2,1552,6388,0
36,1557,1557.7,1555,1555,4264,0
37,1554.15,1557.6,1554.1,1557,4024,0
38,1554.05,1556.5,1553.75,1554.95,3150,0
39,1551.05,1555,1551.05,1554.65,4148,0
40,1546.95,1552,1546.95,1551,10221,0
41,1538,1547,1530.55,1547,14351,0
42,1542,1543.9,1533.4,1538,7565,0
43,1546.95,1546.95,1542,1542,3487,0
44,1545.4,1548.4,1543.3,1547,2259,0
45,1542.05,1545.4,1542.05,1545,2249,0
46,1543.1,1543.8,1542,1542.05,1493,0
47,1543,1543.95,1542.8,1543.1,1279,0
48,1543.5,1544.5,1542.05,1543.45,1924,0
49,1542.9,1543.55,1542.9,1543.5,803,0
50,1543.55,1544.5,1542.8,1542.8,860,0
51,1542.9,1543.9,1541,1543.55,2716,0
52,1543.95,1544.45,1542.95,1542.95,1044,0
53,1542.15,1543.9,1542.15,1543.85,3934,0
54,1538,1543,1538,1543,2850,0
55,1538.9,1540,1537,1538,1207,0
56,1541,1541,1538.9,1539,1529,0
57,1540,1542,1539.6,1540.5,1816,0
58,1541,1541.35,1540.55,1541,311,0
59,1540.4,1541,1540.4,1540.45,349,0
60,1538.55,1540.9,1538.55,1540.9,1290,0
61,1539.15,1539.95,1537.3,1538.55,1197,0
62,1539.75,1540,1538.25,1538.25,1141,0
63,1539,1539.75,1538.1,1538.95,459,0
64,1539.4,1539.4,1538.3,1539.4,377,0
65,1539.25,1539.4,1538.55,1538.55,338,0
66,1539.5,1539.5,1538.1,1539,465,0
67,1539.9,1539.95,1538.55,1539.5,460,0
68,1539.9,1539.95,1538.95,1539.9,254,0
69,1538.45,1539.95,1538.05,1539.85,1369,0
70,1541.8,1542,1539.45,1539.45,2607,0
71,1542,1542,1541,1541.8,755,0
72,1542,1542.8,1541.45,1542,629,0
73,1543.35,1543.75,1542.25,1542.25,973,0
74,1543,1543.75,1543,1543.75,301,0
75,1542.5,1543.5,1542.5,1543.5,314,0
76,1540,1542.9,1540,1542.9,1079,0
77,1539,1540.75,1538.35,1540,1047,0
78,1539.85,1539.85,1538.65,1539,501,0
79,1539.85,1540,1539.25,1539.65,512,0
80,1539.45,1539.95,1539.25,1539.95,148,0
81,1539,1539.85,1538.4,1539.85,225,0
82,1539,1539,1538.4,1539,484,0
83,1539.65,1539.65,1539,1539.05,163,0
