EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317680,1286,1289.55,1286,1289.55,7,0
1,1286.05,1290.1,1284.2,1284.2,8,0
2,1284.05,1284.15,1284.05,1284.15,3,0
3,1285.45,1285.45,1283.5,1284,12,0
4,1283.55,1283.55,1283.55,1283.55,3,0
5,1283.5,1283.55,1283.5,1283.55,3,0
6,1282.9,1282.9,1282.9,1282.9,2,0
7,1282.8,1282.85,1282.8,1282.85,3,0
8,1285.5,1285.5,1282.8,1282.8,4,0
9,1285.1,1285.15,1285.1,1285.15,2,0
10,1285.1,1285.1,1285.1,1285.1,3,0
11,1285.1,1285.45,1285.1,1285.45,4,0
12,1285.1,1285.1,1285.1,1285.1,2,0
13,1285.1,1285.6,1285.1,1285.1,4,0
14,1285.1,1285.1,1285.1,1285.1,3,0
15,1286.5,1286.5,1285.1,1285.1,3,0
16,1285.35,1285.4,1285.25,1285.4,3,0
17,1285.2,1285.2,1285.2,1285.2,4,0
18,1285.1,1285.1,1285.1,1285.1,3,0
19,1285.15,1285.2,1285.15,1285.2,53,0
20,1285.1,1285.1,1285.1,1285.1,3,0
21,1285.1,1285.1,1285.1,1285.1,2,0
22,1285.1,1285.1,1285.1,1285.1,3,0
23,1285.1,1285.1,1285.1,1285.1,3,0
24,1285.1,1285.1,1285.1,1285.1,2,0
25,1285.1,1285.1,1285.1,1285.1,3,0
26,1285.1,1285.1,1285.1,1285.1,3,0
27,1285.1,1285.1,1285.1,1285.1,2,0
28,1285.1,1285.1,1285.1,1285.1,3,0
29,1285.1,1285.1,1285.1,1285.1,4,0
30,1285.1,1285.1,1285.1,1285.1,2,0
31,1285.1,1285.1,1285.1,1285.1,3,0
32,1282.9,1285.1,1282.9,1285.1,58,0
33,1283.75,1283.75,1282,1282.9,38,0
34,1280,1280.05,1280,1280.05,3,0
35,1278.3,1280,1278.3,1280,4,0
36,1278.25,1280.65,1278.25,1278.25,3,0
37,1275.1,1278.3,1275.1,1278.3,34,0
38,1275,1275,1274.15,1274.85,8,0
39,1278,1278,1275.05,1275.05,28,0
41,1279.55,1279.55,1279.55,1279.55,5,0
42,1280,1280,1280,1280,18,0
44,1280.9,1280.9,1280.85,1280.9,15,0
45,1282.3,1282.3,1282.3,1282.3,1,0
53,1280.05,1280.05,1280.05,1280.05,5,0
55,1280,1280,1280,1280,17,0
57,1278.25,1278.25,1278.25,1278.25,1,0
58,1277,1277,1277,1277,33,0
61,1277,1277,1277,1277,3,0
62,1277,1277,1277,1277,5,0
66,1276.85,1276.85,1276.85,1276.85,20,0
68,1277,1277,1277,1277,5,0
