EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532922360,29000,29109.9,28963.05,28963.25,384,0
1,28983.65,29003,28951,28951,171,0
2,28760.3,28990,28751.15,28990,204,0
3,28670,28742.95,28650,28742.95,418,0
4,28670,28678.7,28650,28670.05,132,0
5,28662,28725,28654.25,28654.25,135,0
6,28667.4,28667.4,28640.3,28665,119,0
7,28675.05,28675.05,28654.15,28664,137,0
8,28701,28729.4,28670.05,28670.05,198,0
9,28712.8,28726.15,28701,28701,78,0
10,28711,28711,28690.3,28700,78,0
11,28690.3,28711,28690.3,28711,59,0
12,28663.35,28690.3,28659.95,28690.3,91,0
13,28696.85,28714,28662.95,28676.65,128,0
14,28726,28726,28697.45,28697.45,21,0
15,28698.55,28725.85,28698.55,28725.85,44,0
16,28710.1,28710.1,28663.35,28701.15,47,0
17,28672.25,28715,28665.25,28715,33,0
18,28660,28687.3,28653.25,28675.3,111,0
19,28640,28659.95,28640,28650.1,130,0
20,28629.95,28649.95,28620,28640,151,0
21,28689.5,28691.6,28641.3,28644.85,40,0
22,28687.2,28689.6,28675,28675.1,32,0
23,28720.1,28741,28689.6,28689.6,145,0
24,28729.1,28736.9,28690,28720,41,0
25,28719.75,28737,28697,28732.2,53,0
26,28721.4,28721.4,28705.8,28719.75,9,0
27,28700,28709.95,28700,28707.65,9,0
28,28651.4,28709.75,28650.5,28700,40,0
29,28685.75,28685.75,28661.6,28674.15,5,0
30,28661.4,28696.7,28651.4,28676.6,31,0
31,28661.3,28661.4,28650,28655,60,0
32,28691.5,28699.15,28650.05,28650.05,25,0
33,28661.45,28691.45,28661.45,28680.35,18,0
34,28652.05,28675.7,28651.7,28661.4,11,0
35,28664.55,28687.6,28652.05,28652.05,55,0
36,28665.1,28686.2,28665.05,28678.5,11,0
37,28678.95,28679.1,28665,28679.1,15,0
38,28682.8,28690,28674.2,28678.6,18,0
39,28682.65,28690,28670,28670,19,0
40,28682.65,28690,28675,28675,19,0
41,28687.9,28688.35,28670.1,28670.1,19,0
42,28691.45,28691.45,28682.65,28682.7,51,0
43,28715,28715,28690,28690,64,0
44,28715,28715,28705,28715,11,0
45,28685.35,28714,28682,28706.25,26,0
46,28670.5,28696.95,28670.5,28696.95,11,0
47,28670.55,28685,28670.55,28680,8,0
48,28670.15,28681.65,28670.1,28670.5,15,0
49,28680.9,28681,28671,28681,7,0
50,28674.05,28680.7,28660,28671,21,0
51,28666.2,28679.5,28651.2,28663.85,33,0
52,28676.3,28681,28661.8,28680,16,0
53,28664.55,28682,28663.05,28663.1,13,0
54,28676.75,28678.2,28663.05,28663.6,6,0
55,28664.05,28680,28663.1,28663.1,10,0
56,28627.65,28660,28621,28660,150,0
57,28630.3,28640,28627.65,28627.65,21,0
58,28641.55,28648.35,28630,28630,35,0
59,28628.1,28648.45,28628.1,28648.45,22,0
60,28650,28652,28628,28628,40,0
61,28643.7,28650,28643.7,28650,4,0
62,28649.9,28649.9,28640,28640,21,0
63,28649.3,28649.7,28640.1,28640.3,9,0
64,28648.95,28649,28644.65,28649,10,0
65,28659.7,28659.7,28640.5,28648.95,23,0
66,28650.05,28668.95,28650,28668.95,50,0
67,28650,28659.65,28650,28650,6,0
68,28666.7,28666.7,28650,28650,17,0
69,28642.35,28667.65,28642.05,28667.65,16,0
70,28654.95,28654.95,28642.35,28654.7,19,0
71,28630,28657.8,28630,28649.55,126,0
72,28630,28639.85,28630,28639.85,21,0
73,28630,28630,28627.25,28630,84,0
74,28546.2,28630,28546.2,28630,179,0
75,28539.85,28565.9,28539.6,28539.6,83,0
76,28555.95,28557.4,28540,28557.4,104,0
77,28610.05,28610.05,28555.95,28555.95,22,0
78,28601,28622.2,28590,28605.7,42,0
79,28561.1,28608.85,28561.1,28608.75,47,0
80,28560.55,28562.1,28556.85,28557,6,0
81,28550,28579.75,28550,28579.75,10,0
82,28565.3,28566.5,28550,28550,13,0
83,28579.8,28579.8,28566.35,28566.4,6,0
84,28549.9,28566,28535,28566,56,0
85,28560,28560,28546.95,28549.8,12,0
86,28540,28570.65,28536.65,28564.35,20,0
87,28525.05,28539.3,28525.05,28539.3,46,0
88,28531.55,28537.25,28520.3,28537.25,23,0
89,28549.05,28549.05,28532,28532,22,0
90,28587.5,28587.9,28560.8,28560.8,10,0
91,28578,28589.25,28571.25,28589.25,5,0
