EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,161,161.45,161,161,1036,0
1,160.7,161,160.35,161,58,0
2,160.45,160.45,160.35,160.35,61,0
5,161,161,160.4,160.4,653,0
6,160.7,160.75,160.45,160.75,551,0
7,160.3,160.55,160.3,160.55,301,0
9,160.95,160.95,160.45,160.45,26,0
14,160.55,160.55,160.55,160.55,100,0
18,160.75,160.75,160.75,160.75,1,0
19,160.5,160.5,160.5,160.5,25,0
21,160.45,160.45,160.45,160.45,30,0
22,160.45,160.45,160.45,160.45,5,0
23,160.05,160.45,160.05,160.45,987,0
26,160,160,160,160,36,0
28,159.5,159.5,159.5,159.5,266,0
29,159.5,159.5,159.5,159.5,6,0
30,159.05,159.05,159.05,159.05,286,0
31,159.9,159.9,159.9,159.9,100,0
32,159.15,159.15,159.15,159.15,2,0
33,159.05,159.05,159.05,159.05,35,0
34,159.05,159.05,159.05,159.05,25,0
35,159.05,159.05,159.05,159.05,315,0
37,159.15,159.15,159,159,98,0
38,159.5,159.5,159.5,159.5,8,0
39,159,159.05,159,159.05,104,0
41,159,159,159,159,364,0
42,159,159,159,159,64,0
43,159,159,159,159,64,0
44,159,159,159,159,64,0
45,159,159,159,159,50,0
47,159.05,159.05,159,159,66,0
48,159,159,159,159,113,0
49,159.2,159.2,159,159,37,0
50,159,159,159,159,11,0
51,159,159,159,159,176,0
52,158.85,159,158.75,159,85,0
53,158.75,158.8,158.75,158.75,48,0
54,158.75,158.75,158.75,158.75,45,0
55,158.5,158.65,158.5,158.65,83,0
56,158.5,158.5,158.5,158.5,87,0
58,158.5,158.5,158.5,158.5,20,0
63,158.65,158.75,158.65,158.75,20,0
65,158.5,158.5,158.5,158.5,32,0
66,158.7,158.7,158.7,158.7,100,0
68,158.35,158.75,158.35,158.75,46,0
69,158.15,158.3,158.15,158.3,400,0
74,158.15,158.15,158.15,158.15,39,0
78,158.1,158.1,158.1,158.1,200,0
82,158.1,158.1,158.1,158.1,100,0
83,158.05,158.05,158.05,158.05,59,0
