EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531712760,530.95,532.95,530.65,532.95,163,0
1,530.05,531.9,530,531.9,162,0
2,530.95,530.95,526,530.05,907,0
3,530,532.95,530,531.4,643,0
4,529.15,529.5,526.3,529.25,316,0
5,525.85,528.7,525.8,528.5,810,0
6,526.4,527.55,525.9,525.9,567,0
7,526.05,526.05,526.05,526.05,3,0
8,526.1,526.3,526,526,132,0
9,526.6,528,525.65,525.65,277,0
10,526,527,525.25,526.35,223,0
11,527.05,527.05,525.5,526,594,0
12,527.05,527.3,527.05,527.05,350,0
13,527.4,527.4,527,527.05,798,0
14,527,527.35,527,527.35,50,0
15,526.5,527.25,526.5,527,461,0
16,526.5,527,526.5,527,319,0
17,526.55,526.55,526.55,526.55,43,0
18,526.55,526.95,526.55,526.85,136,0
19,526.5,526.85,526.5,526.5,178,0
20,526.7,526.7,526.65,526.65,39,0
21,527.05,527.05,527.05,527.05,1,0
22,527.8,527.8,526.7,526.7,2160,0
23,528.45,528.45,527.2,527.75,121,0
24,528,528.8,528,528.25,252,0
25,527.9,528,527.5,527.55,132,0
26,527.95,528.4,527.95,528,176,0
27,528.2,528.2,527.6,527.6,4,0
28,528.15,528.35,527.7,528.35,58,0
29,528.2,528.2,528.2,528.2,5,0
30,528.15,528.15,528.15,528.15,2,0
32,529,529.05,528.35,528.35,272,0
33,529,529.9,528.2,528.2,124,0
34,528.25,529.3,528.25,529,215,0
35,528.5,529.05,528.5,529.05,67,0
36,527,528.5,526.5,528.5,590,0
37,527.05,528,527.05,527.5,210,0
38,527.05,527.6,527.05,527.3,87,0
39,527.65,528,527.3,527.3,184,0
40,527.8,529,527.8,528.2,209,0
41,527.7,527.75,527.55,527.75,83,0
42,528.05,528.2,527.55,528,114,0
43,528.3,528.3,528,528.25,300,0
44,528.15,528.5,528.15,528.45,335,0
45,528.35,528.95,528.05,528.6,131,0
46,528,528.6,528,528.15,68,0
47,528,528.35,528,528.35,60,0
48,528,528,528,528,80,0
49,527.55,528,527.55,528,555,0
50,527.8,527.8,527.55,527.8,9,0
51,527.55,527.55,527.55,527.55,70,0
53,528.1,528.1,527.55,527.7,234,0
54,528,528,527.55,527.75,268,0
55,528.2,529.35,528.1,529.35,81,0
57,527.7,527.7,527.7,527.7,5,0
59,527.6,527.6,527.6,527.6,1,0
62,528.9,528.9,528.9,528.9,10,0
65,527.6,527.6,527.6,527.6,4,0
68,527.5,528.2,527.5,527.8,59,0
69,527,527.6,527,527.5,1564,0
70,527.35,527.35,526.95,526.95,61,0
72,527,527,527,527,52,0
73,527,527,527,527,55,0
75,527.35,527.35,527.3,527.3,41,0
76,527,527.35,527,527.35,20,0
77,528,528,527.4,527.4,66,0
78,527.95,527.95,527.95,527.95,250,0
79,528.15,528.85,527.55,528,620,0
80,528.2,528.25,527.9,528.2,29,0
81,527.7,527.8,527.7,527.8,4,0
82,528.3,528.3,528.3,528.3,118,0
83,527.8,528.45,527.8,528.3,16,0
84,527.8,527.8,527.8,527.8,6,0
85,527.85,527.85,527.75,527.8,25,0
86,527.75,527.75,527.75,527.75,5,0
87,527.8,527.8,527.75,527.75,9,0
88,527.8,528.15,527.8,527.8,146,0
89,528.5,529,527.85,528.15,160,0
90,528.1,528.5,528.05,528.5,26,0
91,528,528.5,528,528.1,11,0
92,527.8,528,527.8,528,105,0
93,527.8,527.8,527.8,527.8,6,0
94,527.8,528.2,527.8,528.2,47,0
95,527.8,528,527.8,528,8,0
96,527.8,527.8,527.8,527.8,26,0
97,528.1,528.85,528,528,18,0
98,528,528.1,528,528.1,45,0
99,527.8,528.2,527.8,528,35,0
100,527.8,527.8,527.8,527.8,6,0
101,528,528.2,528,528.2,26,0
102,527.85,527.85,527.85,527.85,52,0
103,527.85,527.85,527.85,527.85,23,0
104,527.85,527.85,527.85,527.85,17,0
105,527.85,527.85,527.85,527.85,69,0
106,527.9,528.5,527.85,527.85,25,0
107,527.95,528.5,527.95,528.45,36,0
108,527.2,529,527.1,527.95,555,0
109,527.2,527.2,527.2,527.2,6,0
110,527.15,527.2,527.15,527.2,6,0
111,527.2,527.2,527.15,527.15,26,0
112,527.2,527.6,527.2,527.2,18,0
113,527.2,527.2,527.2,527.2,27,0
114,527.1,527.6,527.1,527.1,73,0
115,527,527.5,527,527.1,57,0
116,527.05,527.5,527,527,25,0
117,527.05,527.25,527,527,60450,0
118,527,527.05,527,527.05,5,0
119,526.6,527,526.5,527,783,0
120,526.6,526.6,526.6,526.6,11,0
121,526.5,526.6,526.5,526.6,6,0
122,526.55,527,526.5,527,99,0
123,527.3,527.6,526.15,526.55,517,0
124,527,527.2,527,527,175,0
125,526.6,527.2,526.5,527,378,0
126,527,527.6,526.55,527,357,0
127,527,527.05,526.65,527,730,0
128,527,527.5,526.65,526.8,186,0
129,526.8,527,526.8,526.8,112,0
