EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1258.75,1258.75,1254,1254.5,50819,0
3,1265.1,1265.1,1260.5,1260.5,234,0
4,1275,1275,1261.5,1265.1,211,0
5,1265.55,1270,1265.55,1270,203,0
6,1269,1275,1265.05,1275,397,0
7,1270.25,1275,1265.25,1275,337,0
8,1272.8,1272.8,1270.6,1270.6,41,0
9,1273.9,1280,1273.9,1274.9,580,0
10,1273.9,1273.9,1273.9,1273.9,1,0
11,1279.8,1280,1271.05,1280,605,0
12,1279.9,1279.9,1274.6,1279.5,217,0
13,1277.3,1289.7,1277.3,1279.45,3445,0
14,1256.9,1279.7,1256.9,1275.95,3767,0
15,1271.85,1274.8,1265,1265,1671,0
16,1265.25,1272.7,1263.35,1272.7,1212,0
17,1261,1265.25,1261,1265.25,509,0
18,1262.1,1262.1,1258,1261,266,0
19,1263.55,1264.2,1260.15,1260.15,64,0
20,1262.75,1262.75,1261.15,1261.15,460,0
22,1265.6,1265.6,1261,1263.7,86,0
23,1261,1261,1260.95,1260.95,52,0
24,1261.15,1261.85,1261,1261,36,0
25,1264.9,1264.9,1261.1,1261.1,106,0
26,1264.55,1264.55,1264.55,1264.55,3,0
27,1262.2,1262.2,1261.75,1261.75,122,0
28,1262.2,1262.2,1261.15,1262.2,12,0
29,1261,1261.55,1261,1261,37,0
30,1262,1262.05,1260.05,1261.55,156,0
32,1265.1,1265.5,1263.5,1263.5,154,0
33,1262.1,1267.9,1262.1,1264.55,89,0
34,1262.45,1264.7,1262.45,1263,94,0
35,1262.55,1264.3,1262.55,1264.3,92,0
36,1263.95,1264,1262.6,1264,43,0
37,1262.55,1264,1262.5,1262.55,43,0
38,1263,1263.65,1262.55,1262.55,182,0
39,1263.95,1263.95,1262.95,1262.95,46,0
40,1263.05,1264,1263.05,1263.9,94,0
41,1268.35,1268.35,1263.05,1263.95,72,0
42,1267.6,1268.35,1267.1,1268.35,196,0
43,1265.25,1267.7,1265.05,1267.1,108,0
44,1266.35,1266.35,1265.4,1265.4,21,0
45,1266.6,1266.65,1266.35,1266.35,146,0
46,1266.25,1266.45,1265.2,1265.25,104,0
47,1262.35,1266.2,1262.35,1266.2,138,0
48,1265,1265,1262.1,1262.75,257,0
49,1265.1,1266,1262.75,1262.75,47,0
50,1264.7,1264.95,1263.8,1263.8,82,0
51,1264.7,1264.7,1264.3,1264.7,58,0
52,1264.7,1266,1264.45,1264.45,142,0
53,1265.95,1266,1264.3,1264.3,43,0
54,1266,1266,1265.05,1265.9,80,0
55,1268,1268,1266.15,1266.15,41,0
56,1266.1,1268,1266.1,1266.55,372,0
57,1268,1268,1268,1268,39,0
58,1268.05,1268.05,1266.95,1266.95,192,0
59,1268.55,1268.55,1268,1268,46,0
60,1267,1268.7,1266.85,1266.85,59,0
61,1268.7,1268.7,1266.85,1268,153,0
62,1268.7,1268.7,1267.95,1267.95,188,0
63,1269,1269,1268.7,1268.7,160,0
64,1270.45,1270.45,1270.45,1270.45,139,0
65,1274.7,1274.75,1269.2,1271.8,351,0
66,1273.2,1273.2,1271.65,1271.65,147,0
67,1273.2,1274.7,1273,1274.5,190,0
68,1274.9,1275,1273.65,1274.65,292,0
69,1275,1275,1272.05,1272.05,152,0
70,1273.7,1275,1271.25,1272,158,0
71,1269.05,1275,1269.05,1272.2,412,0
72,1274.9,1274.9,1272.95,1272.95,152,0
73,1277,1278.5,1276,1276,173,0
74,1276.1,1278.5,1276.1,1278.5,166,0
75,1275.5,1277,1275.05,1276.95,217,0
76,1275.4,1275.5,1275,1275.5,48,0
77,1276.95,1276.95,1276.95,1276.95,12,0
78,1278.95,1278.95,1276.95,1276.95,239,0
79,1278.7,1278.7,1277.25,1277.25,30,0
80,1278,1279,1276.05,1278.7,38,0
81,1277,1279,1277,1279,160,0
82,1278.85,1278.85,1278.1,1278.1,27,0
83,1278.7,1278.8,1277.85,1278.8,15,0
