EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,234.1,234.9,233.1,234,287,0
1,235,235,235,235,36,0
2,235,235.95,235,235.4,79,0
3,234.15,235,234.15,235,101,0
4,234.65,234.95,234.5,234.5,218,0
5,234.65,234.65,234.65,234.65,62,0
8,234.75,234.75,234.75,234.75,10,0
9,234,234,233.8,233.8,105,0
10,234.8,234.8,234.05,234.75,70,0
13,233.8,234.25,233.8,234.25,12,0
14,234,234,234,234,6,0
15,234,234,234,234,1,0
16,234,234,234,234,103,0
17,234.05,234.05,234.05,234.05,1,0
18,234.05,234.05,234.05,234.05,15,0
19,234,234.1,234,234.05,542,0
21,235,235,234,234.5,1882,0
22,236.1,236.1,236.05,236.05,297,0
23,237.2,237.2,236.1,236.1,1458,0
24,238.8,238.8,236.55,236.55,4331,0
25,240,240,238.15,238.8,9379,0
26,240,240,238.85,240,921,0
27,239.95,240.05,239.5,240,426,0
28,239.6,240,239.5,239.5,1871,0
29,239.95,240,238.05,239.55,510,0
30,238.55,239,238.55,239,150,0
31,238.05,238.05,238.05,238.05,4,0
33,238.25,238.25,238.25,238.25,40,0
34,238.05,238.2,238,238.2,1281,0
35,238.05,238.05,238,238,942,0
36,238.05,238.05,238,238,236,0
37,238,238.05,238,238,894,0
38,238,238.05,237,238.05,2644,0
39,238,238,237.1,238,691,0
40,238.7,239.9,237.95,238,3482,0
41,238,238.7,237,238.7,6575,0
42,238,238.45,237.65,238.15,6770,0
43,238,239.4,237.65,238,9520,0
44,237.7,238,237.7,238,2491,0
45,237.7,237.7,237.7,237.7,410,0
46,237.05,237.7,236.95,237.7,1124,0
47,237.95,237.95,237.05,237.1,258,0
48,237.65,237.65,237.65,237.65,20,0
49,237,237.55,237,237.55,1449,0
50,237,237.65,237,237,670,0
51,237.45,237.45,237.45,237.45,1,0
52,237,237,237,237,100,0
53,236.5,236.65,236.5,236.65,4130,0
54,237,237,236.5,236.5,3826,0
55,236.6,237.3,236.5,236.55,3852,0
58,236.6,237,236.55,236.55,401,0
59,236.7,236.7,236.5,236.55,1023,0
60,236.9,236.9,236.9,236.9,1,0
61,236.7,236.9,236.7,236.9,390,0
62,237.45,237.45,236.65,236.65,908,0
63,236.8,236.8,236.8,236.8,6,0
64,236.75,237,236.75,237,32,0
65,236.5,236.5,236.5,236.5,753,0
66,236.95,236.95,236.5,236.5,24,0
67,236.75,236.75,236.75,236.75,1,0
68,236.75,236.75,236.75,236.75,109,0
69,237,237,237,237,11,0
70,236.5,236.5,236.5,236.5,121,0
71,236.5,236.5,236.5,236.5,50,0
74,236.5,236.5,236.5,236.5,100,0
75,236.5,236.5,236.5,236.5,118,0
77,236.5,236.5,236.5,236.5,75,0
79,237,237,237,237,239,0
80,237,237,237,237,261,0
81,236.5,236.5,236.5,236.5,10,0
82,236.95,236.95,236.95,236.95,3,0
83,237,237,237,237,200,0
