EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,86.5,86.5,86.2,86.2,69965,0
1,86.5,86.6,86.4,86.4,59961,0
2,86.5,86.7,86.4,86.5,71408,0
3,87,87,86.55,86.55,128508,0
4,87.05,87.2,87,87,125341,0
5,86.75,87.05,86.7,87.05,62305,0
6,86.8,86.95,86.6,86.75,56979,0
7,86.85,86.95,86.75,86.8,31881,0
8,86.7,86.9,86.7,86.85,52236,0
9,86.8,86.85,86.65,86.75,26907,0
10,86.8,86.9,86.8,86.85,27700,0
11,86.75,86.85,86.75,86.8,25043,0
12,86.75,86.8,86.65,86.8,57499,0
13,86.3,86.75,86.3,86.75,140750,0
14,86.5,86.6,86.3,86.3,23621,0
15,86.1,86.5,86,86.45,172137,0
16,86,86.15,85.85,86.15,148760,0
17,86.3,86.35,85.95,86,83751,0
18,86.35,86.45,86.25,86.35,62247,0
19,86.25,86.35,86.1,86.35,38828,0
20,86.15,86.25,86.15,86.2,8352,0
21,86.35,86.4,86.1,86.2,49946,0
22,86.1,86.35,86.05,86.35,62743,0
23,86.15,86.25,86.1,86.1,21716,0
24,86.2,86.3,86.15,86.2,49189,0
25,86.3,86.3,86.15,86.15,27320,0
26,86.15,86.3,86.1,86.25,13729,0
27,85.85,86.15,85.85,86.15,112292,0
28,85.9,85.95,85.8,85.85,64948,0
29,85.8,85.95,85.8,85.9,109735,0
30,86,86.1,85.85,85.9,90842,0
31,86.15,86.15,85.95,86,26568,0
32,86.15,86.25,86.05,86.15,27778,0
33,86,86.2,86,86.15,17492,0
34,85.9,86.05,85.9,86,35497,0
35,85.85,85.9,85.8,85.9,16615,0
36,85.8,85.9,85.8,85.85,21031,0
37,85.85,85.95,85.8,85.85,15238,0
38,85.9,85.95,85.85,85.9,11684,0
39,85.9,85.95,85.85,85.9,1267,0
40,86,86,85.9,85.95,6331,0
41,85.95,86,85.9,85.95,13981,0
42,85.95,86,85.9,86,2279,0
43,85.95,85.95,85.9,85.95,7517,0
44,85.7,86,85.7,85.95,88040,0
45,85.7,85.75,85.65,85.75,20850,0
46,85.8,85.8,85.7,85.75,7822,0
47,85.8,85.8,85.7,85.8,10649,0
48,85.9,85.9,85.75,85.75,14865,0
49,86,86,85.85,85.9,26065,0
50,86.05,86.05,85.9,85.9,29313,0
51,86,86.05,85.95,86.05,13396,0
52,86,86,85.95,85.95,8221,0
53,86,86.05,85.95,86,9245,0
54,86,86.05,86,86,29205,0
55,85.95,86.05,85.9,86.05,26766,0
56,85.8,85.95,85.75,85.85,7934,0
57,85.75,85.85,85.7,85.8,18426,0
58,85.7,85.75,85.65,85.75,29223,0
59,85.6,85.7,85.55,85.65,45750,0
60,85.45,85.6,85.45,85.6,44873,0
61,85.8,85.8,85.4,85.45,38426,0
62,85.85,85.85,85.7,85.8,7890,0
63,85.8,85.9,85.8,85.85,12879,0
64,85.85,85.85,85.8,85.8,3641,0
65,85.8,85.9,85.8,85.9,6265,0
66,85.7,85.8,85.6,85.8,22957,0
67,85.65,85.7,85.6,85.7,10316,0
68,85.7,85.75,85.6,85.6,29806,0
69,85.75,85.75,85.7,85.75,8681,0
70,85.6,85.7,85.6,85.7,9552,0
71,85.7,85.7,85.55,85.6,7464,0
72,85.65,85.7,85.6,85.7,5272,0
73,85.65,85.7,85.6,85.65,3818,0
74,85.7,85.7,85.6,85.65,12312,0
75,85.8,85.8,85.65,85.65,8256,0
76,85.6,85.8,85.6,85.8,6504,0
77,85.65,85.7,85.65,85.65,14651,0
78,85.8,85.8,85.65,85.65,8943,0
79,85.7,85.85,85.7,85.8,39930,0
80,85.7,85.75,85.65,85.7,2789,0
81,85.75,85.75,85.65,85.7,6707,0
82,85.7,85.75,85.7,85.7,2392,0
83,85.75,85.75,85.65,85.65,1423,0
