EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317620,544,544,544,544,35,0
2,544,544,544,544,2,0
3,543.65,543.65,543.65,543.65,103,0
4,543.65,543.65,543.65,543.65,5,0
7,544,544,544,544,12,0
8,544,544,544,544,1,0
10,545.3,545.3,545.3,545.3,25,0
14,545.3,545.3,545.3,545.3,5,0
21,545.05,545.3,545.05,545.3,25,0
24,545.05,545.05,545.05,545.05,10,0
25,545.05,545.05,545,545.05,30,0
27,545,545.05,545,545.05,48,0
29,545,545,545,545,10,0
30,543.65,545,543.65,545,544,0
31,545,545,544.05,544.7,2706,0
32,545,545,545,545,400,0
34,543.65,543.65,543.65,543.65,22,0
35,544.85,544.85,544.85,544.85,10,0
36,545,545,544.8,544.8,20,0
37,544.8,544.8,544.8,544.8,106,0
39,545,545,545,545,2,0
40,544.8,544.8,544.8,544.8,5,0
42,545,545,544.8,544.8,106,0
43,545,545,545,545,20,0
44,544.8,544.8,544.8,544.8,4,0
45,545,545,545,545,2,0
47,544.8,544.8,544.8,544.8,66,0
48,544,544,544,544,34,0
51,545,545,545,545,8,0
53,545,545,545,545,10,0
58,544.25,544.25,544.25,544.25,50,0
60,544.1,544.1,544.1,544.1,40,0
64,545,545,545,545,173,0
65,545,545,545,545,5,0
66,544.05,544.05,544.05,544.05,200,0
70,544.95,544.95,544.95,544.95,5,0
71,545,545,545,545,18,0
72,544.5,544.5,544.5,544.5,75,0
73,545,545,545,545,2,0
75,545,545,545,545,428,0
77,545,545,545,545,20,0
79,545,545,545,545,15,0
80,545.1,545.1,544.15,545,493,0
