EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,71.25,71.45,71,71.3,35809,0
1,71.5,71.5,71.2,71.2,13100,0
2,71.4,71.5,71.3,71.45,15842,0
3,71.45,71.5,71.3,71.3,11837,0
4,71.4,71.45,71.25,71.45,14284,0
5,71.45,71.45,71.25,71.35,17504,0
6,71.5,71.55,71.4,71.4,18279,0
7,71.85,71.9,71.55,71.55,23649,0
8,71.9,71.95,71.8,71.85,7970,0
9,72,72.15,71.9,71.95,23761,0
10,71.85,72.2,71.75,72,33120,0
11,71.95,72,71.8,71.85,15410,0
12,71.75,71.95,71.75,71.9,17330,0
13,71.85,71.85,71.65,71.75,16864,0
14,71.85,71.95,71.75,71.75,10790,0
15,71.85,71.9,71.85,71.85,7130,0
16,71.95,71.95,71.85,71.85,12969,0
17,71.9,71.95,71.85,71.85,13762,0
18,71.85,71.95,71.85,71.85,4503,0
19,71.75,71.95,71.6,71.95,11225,0
20,71.65,71.7,71.55,71.65,2981,0
21,71.5,71.6,71.35,71.55,10243,0
22,71.35,71.45,71.35,71.45,7636,0
23,71.4,71.5,71.35,71.4,12347,0
24,71.3,71.45,71.3,71.35,2975,0
25,71.4,71.45,71.3,71.35,4429,0
26,71.45,71.5,71.35,71.4,3997,0
27,71.45,71.5,71.4,71.45,3198,0
28,71.65,71.65,71.4,71.4,8387,0
29,71.55,71.7,71.5,71.65,4843,0
30,71.6,71.6,71.5,71.6,2065,0
31,71.5,71.6,71.45,71.5,13718,0
32,71.55,71.7,71.5,71.5,6498,0
33,71.55,71.65,71.45,71.55,4294,0
34,71.5,71.6,71.5,71.55,3638,0
35,71.55,71.6,71.45,71.6,2758,0
36,71.35,71.5,71.35,71.45,3878,0
37,71.15,71.45,71.1,71.35,14276,0
38,71,71.15,70.85,71.15,28467,0
39,70.75,70.95,70.75,70.9,33489,0
40,70.75,70.8,70.7,70.7,12793,0
41,70.6,70.8,70.6,70.8,15758,0
42,70.75,70.8,70.55,70.6,16323,0
43,70.6,70.75,70.55,70.7,7000,0
44,70.65,70.7,70.6,70.6,12461,0
45,70.9,70.9,70.7,70.7,12410,0
46,71.15,71.2,70.85,70.85,24797,0
47,70.85,71.15,70.85,71.15,17705,0
48,70.9,71,70.85,70.9,2389,0
49,70.9,71,70.9,70.95,9722,0
50,70.9,70.95,70.8,70.9,8482,0
51,71,71.05,70.85,70.9,8147,0
52,71,71,70.95,71,2566,0
53,71.1,71.15,71,71,5648,0
54,71,71.15,71,71.1,2979,0
55,71.1,71.15,71,71,4780,0
56,71.1,71.2,71,71.15,19290,0
57,71,71.1,71,71.1,12101,0
58,70.95,71,70.95,70.95,5118,0
59,71,71,70.95,71,3099,0
60,70.95,71,70.85,71,3100,0
61,70.9,70.9,70.85,70.9,2347,0
62,70.85,70.9,70.85,70.9,2915,0
63,70.85,70.9,70.85,70.9,4912,0
64,71,71,70.85,70.9,6117,0
65,71.05,71.05,70.95,71,7108,0
66,71,71.05,70.95,70.95,4694,0
67,70.85,71,70.85,70.95,6859,0
68,70.9,70.9,70.75,70.8,3993,0
69,70.75,70.95,70.7,70.85,10358,0
70,70.75,70.8,70.65,70.75,8370,0
71,70.7,70.75,70.65,70.7,3585,0
72,70.75,70.8,70.65,70.8,2808,0
73,70.85,70.85,70.75,70.8,2543,0
74,70.75,70.85,70.75,70.8,1737,0
75,70.85,70.85,70.7,70.75,2025,0
76,70.75,70.8,70.75,70.8,1103,0
77,70.8,70.8,70.7,70.7,6563,0
78,70.75,70.8,70.7,70.8,2681,0
79,70.95,70.95,70.8,70.8,6176,0
80,71,71,70.9,70.95,8789,0
81,70.95,71,70.9,70.95,2827,0
82,70.9,71,70.9,71,2161,0
83,71,71,70.9,70.9,1504,0
