EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533095160,378.7,378.7,374.9,376.05,17075,0
1,379.75,380.25,378.75,378.8,28477,0
2,380,380,379.35,379.7,17950,0
3,379.75,379.95,379.5,379.9,13559,0
4,379.8,379.95,379.55,379.8,9888,0
5,379.85,379.95,379.65,379.75,7059,0
6,379.95,380,379.8,379.85,6124,0
7,379.95,380,379.4,379.95,13610,0
8,380.75,380.75,379.75,379.85,25753,0
9,381.25,381.8,380.55,380.55,33906,0
10,381.45,381.5,380.85,381.05,21561,0
11,382.4,382.5,381.4,381.5,27801,0
12,380.7,382.2,380.65,382.2,14983,0
13,380.6,381.1,380.35,380.75,9758,0
14,379.95,380.8,379.9,380.75,11585,0
15,380.4,380.4,380,380.35,5524,0
16,379.95,380.5,379.95,380.4,15328,0
17,379.35,380.25,379.35,379.95,9035,0
18,379.9,379.95,379.35,379.4,5938,0
19,378.6,379.95,378.1,379.95,15156,0
20,378.65,378.65,378.55,378.55,3044,0
21,378.7,379.05,378.5,378.65,11415,0
22,378.7,378.75,378.5,378.65,9882,0
23,379.4,380,378.7,378.7,14840,0
24,378.55,379.5,378.5,379.35,15122,0
25,379.7,379.7,378.4,378.6,13026,0
26,379.65,380,379.65,379.75,4436,0
27,379.6,379.75,379.5,379.75,3894,0
28,379.85,379.85,379.65,379.65,679,0
29,379.3,379.85,379.3,379.85,3641,0
30,379.35,379.5,379.2,379.45,1519,0
31,379.3,379.35,379.25,379.35,5036,0
32,378.6,379.3,378.6,379.3,6487,0
33,378.7,378.8,378.55,378.6,6140,0
34,378.8,379,378.8,378.8,1417,0
35,379,379.1,378.75,378.75,814,0
36,378.95,379.1,378.95,379.1,1291,0
37,378.9,379.1,378.9,379,4129,0
38,378.4,378.85,378.25,378.85,11053,0
39,378.5,378.85,378.4,378.6,3056,0
40,377.85,378.65,377.55,378.5,21500,0
41,378.75,378.9,378.05,378.05,3672,0
42,378.15,378.8,378.05,378.8,5630,0
43,379.05,379.75,378.1,378.15,15413,0
44,378.25,379.15,378.1,379.15,2797,0
45,378.1,378.25,377.6,377.8,4919,0
46,377.7,378.15,377.7,378.15,6206,0
47,378.85,379,377.6,377.7,17086,0
48,378.5,378.85,378.1,378.85,7953,0
49,378.3,378.5,378.3,378.5,8551,0
50,378.35,378.65,378.3,378.3,901,0
51,378.2,378.35,378.2,378.35,4530,0
52,378.25,378.25,378.15,378.25,291,0
53,378.25,378.6,378.25,378.25,8128,0
54,378.25,378.3,378.2,378.25,2110,0
55,378.35,378.5,378.35,378.35,2204,0
56,378.05,378.35,378,378.35,4637,0
57,378.3,378.5,378.05,378.05,346,0
58,378.25,378.45,378.25,378.3,2051,0
59,378.35,378.4,378.2,378.25,2145,0
60,378.35,378.5,378.2,378.25,3608,0
61,378.6,378.75,378.3,378.3,3169,0
62,378.3,379,378.1,379,10807,0
63,379.2,379.5,378.35,378.35,5465,0
64,379.15,379.4,379.15,379.25,957,0
65,379.15,379.15,379.1,379.15,1499,0
66,379.4,379.5,379.15,379.15,1705,0
67,379.75,379.75,379.25,379.25,4474,0
68,379.75,380,379.65,379.75,11941,0
69,379.75,379.8,379.75,379.75,1390,0
70,379.55,379.8,379.4,379.8,6817,0
71,379.55,379.6,379.5,379.55,2103,0
72,379.85,380,379.65,379.65,5622,0
73,379.9,380,379.8,379.85,902,0
74,379.85,379.85,379.85,379.85,986,0
75,379.55,379.85,379.5,379.85,4700,0
76,379.4,379.6,379.4,379.5,4088,0
77,379.25,379.4,379.15,379.4,1774,0
78,379.1,379.2,378.9,379.15,2285,0
79,378.5,379.1,378.3,379.05,9440,0
80,377.15,378.7,377,378.5,31650,0
81,376.9,377.55,376.55,377.2,21034,0
82,376.95,377.05,376.7,376.75,3164,0
83,377.15,377.15,376.9,376.9,4024,0
84,377.2,377.2,377.05,377.05,597,0
85,377.7,377.75,377.35,377.55,2516,0
86,377.65,377.75,377.65,377.7,2681,0
87,377.3,377.7,377.3,377.7,4824,0
88,376.8,377.3,376.75,377.3,9697,0
89,376.4,376.95,376,376.8,10523,0
90,376.45,376.5,376.35,376.35,2678,0
91,376.8,376.95,376.45,376.45,1572,0
92,376.95,377,376.95,376.95,2274,0
93,377.5,377.5,376.95,377,5420,0
94,377.5,377.75,377.45,377.5,2474,0
95,376.3,377.25,376.1,377.25,11722,0
96,376.2,376.4,376.15,376.3,2381,0
97,376.5,376.5,376.05,376.15,3826,0
98,376.75,376.75,376.5,376.5,724,0
99,376.85,376.85,376.7,376.8,3190,0
100,376.9,376.95,376.55,376.75,4552,0
101,377.1,377.15,377.05,377.05,1180,0
102,377.25,377.75,377.1,377.1,6100,0
103,377.3,377.35,377.25,377.3,6875,0
104,377.05,377.45,377.05,377.4,4740,0
105,377.05,377.25,377.05,377.05,2156,0
106,376.95,377,376.5,377,5998,0
