EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,273.2,273.2,273.2,273.2,5,0
1,273.2,273.2,273.2,273.2,1,0
3,272.05,272.05,272.05,272.05,5,0
4,273,273,273,273,1,0
7,273.65,273.65,273.65,273.65,120,0
8,273.8,273.8,273.8,273.8,1,0
9,273.8,273.85,273.05,273.05,201,0
11,273,273.1,273,273.1,186,0
12,273.65,273.65,273.65,273.65,50,0
14,272.75,272.75,272.75,272.75,10,0
17,272.7,272.7,272.7,272.7,2,0
18,272.05,272.5,272.05,272.5,249,0
19,272.3,272.3,272.3,272.3,57,0
20,272.5,272.5,272.5,272.5,57,0
21,272.3,272.3,272.3,272.3,8,0
24,272.05,272.5,272.05,272.5,58,0
25,272.2,272.2,272.2,272.2,2,0
27,272.05,272.05,272.05,272.05,1,0
28,272.05,272.05,272.05,272.05,78,0
32,272,272,272,272,117,0
33,271.6,271.6,271.6,271.6,313,0
35,271.6,271.6,271.6,271.6,3,0
39,272,272,272,272,5,0
42,271.65,272,271.65,272,10,0
44,271.6,271.6,271.6,271.6,5,0
45,271.2,271.3,271.2,271.3,250,0
47,272,272,271.8,271.8,270,0
48,272.25,272.25,272.25,272.25,10,0
52,272.25,272.25,272.25,272.25,2,0
53,272.3,272.95,272.3,272.95,35,0
55,272.25,272.25,272.25,272.25,4,0
58,273,273,272.75,272.75,103,0
59,272.25,273,272.25,273,56,0
62,272.25,272.25,272.25,272.25,1,0
68,272.25,272.25,272.25,272.25,6,0
72,272.2,272.25,272.2,272.25,9,0
73,272.25,272.25,272.25,272.25,53,0
74,272.2,272.2,272,272.2,62,0
78,272.2,272.2,272.2,272.2,5,0
81,272.25,272.25,272.25,272.25,4,0
