EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531971960,351,351.1,351,351.05,94,0
1,351,351.05,351,351,40,0
2,351.05,351.05,351.05,351.05,21,0
3,351.05,351.8,351.05,351.8,15,0
4,351.7,351.7,351.65,351.65,108,0
5,351.1,351.1,351.1,351.1,2,0
6,351.2,352.25,351.2,352.25,63,0
7,351.2,351.2,351.2,351.2,17,0
8,351.2,351.2,351.2,351.2,7,0
9,351.2,351.2,351.2,351.2,21,0
10,351.15,351.15,351.15,351.15,16,0
11,351.15,351.15,351.15,351.15,16,0
14,351.65,351.65,351.65,351.65,99,0
15,351.7,351.7,351.7,351.7,1,0
16,351.65,351.65,351.6,351.6,93,0
17,351.15,351.6,351.15,351.6,989,0
18,351.45,351.45,351.45,351.45,26,0
19,351.4,351.5,351.4,351.45,331,0
21,351,351.6,351,351.15,81,0
22,349,350.1,349,350.1,333,0
23,346.65,349,346.65,349,190,0
24,347,348,347,348,27,0
26,347.3,347.3,347.3,347.3,20,0
27,347.35,347.85,347.35,347.85,4,0
28,347,347.3,347,347.3,250,0
29,347.05,347.05,346.75,346.75,60,0
30,346.7,347.1,346.7,347.1,33,0
31,346.65,346.65,346.65,346.65,50,0
33,346.85,346.85,346.65,346.65,12,0
34,346.55,347,346.55,347,72,0
36,347.15,347.15,347.15,347.15,14,0
37,348,348,348,348,26,0
39,347.25,348.35,347.25,348.35,27,0
42,346.55,347.3,346.55,347.3,37,0
43,346.55,347.9,346.55,347.9,26,0
44,347.9,347.9,346.55,346.55,36,0
45,348,348,346.7,346.7,10,0
46,347.95,347.95,347.95,347.95,35,0
47,347.3,347.3,347.3,347.3,5,0
48,346.8,346.8,346.8,346.8,1,0
49,346.8,346.8,346.8,346.8,6,0
51,346.75,346.75,346.75,346.75,20,0
52,345.05,348,345.05,348,306,0
53,345.1,345.1,345.1,345.1,6,0
54,345.1,345.1,345.1,345.1,16,0
55,345.55,345.55,345.1,345.1,177,0
56,346.85,346.85,346.45,346.45,50,0
57,346.9,346.9,346.4,346.4,116,0
58,350,350,348.2,348.2,210,0
61,348.95,348.95,348.95,348.95,80,0
66,347.25,347.25,347.25,347.25,16,0
67,347.45,347.45,347.45,347.45,16,0
68,347.35,347.35,347.35,347.35,7,0
69,349.15,349.15,349.15,349.15,1,0
70,347.55,347.55,347.55,347.55,6,0
73,347.55,347.55,347.55,347.55,5,0
75,347.6,347.6,347.6,347.6,2,0
76,347.6,347.6,347.6,347.6,1,0
77,347.8,347.8,347.5,347.5,9,0
78,347.5,347.5,347.5,347.5,18,0
79,347.45,347.45,347.45,347.45,1,0
80,347.05,347.05,347,347,80,0
81,347.5,347.5,347,347,123,0
82,347.55,347.6,347.25,347.6,57,0
84,348.9,348.9,348.9,348.9,1,0
85,348.9,348.9,348.9,348.9,20,0
86,347.75,347.75,347.75,347.75,16,0
89,348.9,348.9,348.9,348.9,30,0
90,348.9,348.9,348.9,348.9,10,0
92,347.55,347.55,347.55,347.55,5,0
93,347.35,347.35,347.35,347.35,5,0
95,347.55,347.55,347.3,347.3,18,0
96,348,348,348,348,10,0
99,347.45,347.65,347.45,347.65,21,0
100,347.35,347.35,347.35,347.35,16,0
101,349,349,349,349,210,0
102,349,349,349,349,14,0
104,349,349,349,349,2,0
105,347.85,347.85,347.85,347.85,16,0
106,347.35,347.35,347.35,347.35,10,0
109,347.7,347.7,347.7,347.7,5,0
111,347.7,348.75,347.7,348.75,9,0
112,348.9,348.9,347.3,347.3,95,0
113,348.9,348.9,348.9,348.9,24,0
114,348.95,348.95,348.95,348.95,3,0
115,348.9,348.9,348.9,348.9,10,0
116,349,349,348.9,348.9,24,0
117,347.85,347.85,347.65,347.65,23,0
118,349,349,349,349,97,0
119,349,349,349,349,1,0
120,349,349,349,349,6,0
123,349,349,349,349,7,0
124,349.9,349.9,349.9,349.9,4,0
125,349.9,349.9,349.9,349.9,10,0
128,348.2,348.2,348.15,348.15,85,0
130,348.2,348.2,348.2,348.2,17,0
136,347.6,348,347.6,348,105,0
145,347.35,347.6,347.35,347.55,39,0
150,347.35,347.35,347.35,347.35,1,0
157,347.3,347.3,347.25,347.25,116,0
159,347.3,347.3,347.3,347.3,4,0
162,347.25,347.3,347.25,347.25,101,0
163,347.35,347.95,347.35,347.95,15,0
166,347.25,347.25,347.25,347.25,189,0
170,347.25,347.25,347.25,347.25,105,0
172,347.25,347.25,347.25,347.25,17,0
174,347.25,347.25,347.25,347.25,240,0
176,347.55,347.55,347.25,347.25,16,0
177,347.25,347.25,347.25,347.25,19,0
180,347.75,347.75,347.75,347.75,3,0
181,347.25,347.75,347.25,347.75,53,0
186,347.5,347.5,347.5,347.5,16,0
189,347.5,347.5,347.5,347.5,12,0
190,347.5,347.5,347.5,347.5,51,0
195,347.85,347.85,347.85,347.85,1,0
196,347.5,347.5,347.5,347.5,22,0
