EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,6580.6,6580.6,6580.6,6580.6,1,0
2,6600,6600,6598.95,6598.95,10,0
3,6581.9,6600,6581.9,6600,4,0
6,6582.05,6582.05,6582.05,6582.05,2,0
9,6588.15,6600,6588.15,6600,6,0
12,6600,6600,6600,6600,1,0
13,6588.1,6588.1,6588.1,6588.1,9,0
15,6597.5,6597.5,6597.5,6597.5,1,0
16,6576,6580.05,6576,6580,50,0
17,6547.45,6559.1,6530.05,6550,95,0
18,6547.3,6547.3,6547.3,6547.3,6,0
19,6547.3,6547.3,6547.3,6547.3,1,0
21,6547.3,6547.3,6547.3,6547.3,1,0
24,6526.2,6526.2,6526.2,6526.2,35,0
26,6500,6503,6487.25,6500,75,0
27,6491,6500,6491,6499.95,25,0
30,6500,6500,6499.95,6499.95,6,0
31,6499.9,6500,6499,6500,8,0
32,6499.9,6499.95,6499.9,6499.95,13,0
33,6503.95,6503.95,6499.95,6499.95,19,0
34,6500,6503.95,6500,6503.95,7,0
35,6500,6500,6500,6500,69,0
36,6499,6499,6499,6499,11,0
37,6488,6500,6488,6500,62,0
38,6499.85,6499.95,6499.85,6499.95,4,0
40,6499.9,6499.9,6499.85,6499.85,6,0
41,6488,6488,6488,6488,4,0
42,6499.75,6499.75,6499.75,6499.75,4,0
45,6498.9,6498.9,6498.9,6498.9,1,0
46,6495,6495.05,6495,6495.05,2,0
47,6496,6498.8,6490.1,6496.05,17,0
48,6488.05,6498.7,6488.05,6496,3,0
50,6498.8,6498.8,6498,6498,11,0
51,6498.95,6498.95,6498.95,6498.95,2,0
52,6498.95,6498.95,6498.95,6498.95,5,0
54,6498.95,6498.95,6498.95,6498.95,1,0
55,6498.95,6498.95,6498.95,6498.95,1,0
56,6500,6502.25,6500,6501.35,10,0
57,6499,6500,6499,6500,14,0
58,6499,6501.9,6499,6501.9,22,0
59,6492,6492,6492,6492,11,0
65,6500,6500,6500,6500,25,0
66,6500,6500,6499.95,6499.95,20,0
67,6500,6500,6500,6500,1,0
68,6500.3,6500.3,6500.3,6500.3,2,0
70,6494.55,6500.25,6494.55,6500.25,63,0
79,6497.45,6497.45,6497.2,6497.2,5,0
80,6500.35,6500.35,6500.35,6500.35,12,0
81,6497.5,6501,6497.5,6500.35,18,0
83,6500,6500,6500,6500,2,0
