EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317620,2774.15,2774.15,2774.15,2774.15,2,0
2,2764,2764,2764,2764,5,0
4,2781,2781,2773.05,2773.05,6,0
5,2780.05,2780.05,2780.05,2780.05,100,0
7,2786,2786,2783.75,2783.75,47,0
8,2785,2785,2785,2785,20,0
9,2786,2786,2786,2786,100,0
11,2785,2785,2785,2785,102,0
12,2786,2786,2786,2786,263,0
16,2785.9,2785.9,2785.9,2785.9,5,0
18,2785.3,2785.3,2785.3,2785.3,5,0
20,2787.4,2789,2787.4,2788.95,7,0
31,2790.7,2790.7,2790.7,2790.7,25,0
32,2785.45,2790.7,2785.45,2790.7,9,0
34,2786,2786,2786,2786,5,0
35,2787.95,2787.95,2787.9,2787.9,3,0
37,2791.05,2791.05,2790.65,2790.65,15,0
38,2790,2790,2790,2790,79,0
40,2790.4,2790.4,2790.4,2790.4,1,0
42,2794,2794,2794,2794,9,0
43,2790,2790,2790,2790,10,0
48,2790.15,2790.15,2790.15,2790.15,2,0
54,2790.3,2790.3,2790.3,2790.3,1,0
56,2790.25,2790.25,2790.25,2790.25,11,0
60,2790.3,2790.3,2790.3,2790.3,3,0
63,2790.25,2790.3,2790.25,2790.3,5,0
64,2790.25,2790.25,2790.25,2790.25,1,0
65,2790.25,2790.25,2790.25,2790.25,5,0
67,2790,2790,2790,2790,10,0
72,2790,2790,2790,2790,83,0
74,2789.7,2789.7,2789.7,2789.7,2,0
77,2789.7,2789.7,2789.7,2789.7,2,0
79,2789.85,2789.85,2789.85,2789.85,5,0
82,2789.85,2789.85,2789.85,2789.85,2,0
