EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,17.85,17.9,17.8,17.9,98548,0
1,18,18,17.9,17.9,190354,0
2,18,18,17.95,18,17516,0
3,18,18,17.95,18,38929,0
4,18.05,18.1,18,18,167365,0
5,18,18.05,18,18.05,62782,0
6,18.05,18.05,18,18.05,185172,0
7,17.95,18,17.95,18,76938,0
8,18,18,17.95,18,96734,0
9,18,18.05,17.95,18.05,120611,0
10,18,18,17.95,18,30663,0
11,17.95,18,17.95,17.95,31933,0
12,18,18,17.95,18,907,0
13,17.95,18,17.95,18,6282,0
14,18,18,17.95,18,73102,0
15,18.05,18.05,18,18,9168,0
16,18,18.05,18,18,34773,0
17,18,18,18,18,31646,0
18,18,18.05,17.95,18,144836,0
19,18,18.05,18,18.05,11253,0
20,18.05,18.05,18,18.05,131426,0
21,18,18.05,18,18,17045,0
22,18,18.05,18,18,3132,0
23,18,18.05,18,18,50211,0
24,18,18,18,18,34525,0
25,18,18.05,17.95,18.05,95642,0
26,18,18,17.95,18,1959,0
27,17.95,18,17.95,18,515,0
28,18,18,17.95,17.95,5085,0
29,17.95,18,17.95,18,58756,0
30,17.95,18,17.95,18,18375,0
31,18,18,17.95,18,60237,0
33,17.95,18,17.95,18,3458,0
34,17.95,18,17.9,18,163687,0
35,17.95,17.95,17.9,17.95,4014,0
36,18,18,17.95,17.95,41811,0
37,18,18,17.9,18,52920,0
38,17.9,18,17.9,18,2634,0
39,17.95,17.95,17.9,17.95,260,0
40,17.95,17.95,17.9,17.9,10309,0
41,17.95,17.95,17.95,17.95,309,0
42,17.95,17.95,17.9,17.95,1181,0
43,17.95,17.95,17.9,17.95,12525,0
44,17.95,17.95,17.9,17.95,7813,0
45,17.95,17.95,17.9,17.9,55341,0
46,17.95,17.95,17.9,17.95,982,0
47,17.95,17.95,17.9,17.95,1466,0
48,17.95,17.95,17.9,17.95,4628,0
49,17.95,17.95,17.9,17.95,7248,0
50,18,18,17.9,17.9,229067,0
51,17.95,18,17.95,18,1563,0
52,18,18,17.95,18,704,0
53,17.95,18,17.95,17.95,87970,0
54,17.95,18,17.9,18,274217,0
55,17.95,18,17.9,18,48477,0
56,17.9,17.95,17.9,17.95,6846,0
57,17.95,17.95,17.9,17.95,22500,0
58,17.95,17.95,17.9,17.9,4155,0
59,17.95,17.95,17.9,17.95,8146,0
60,17.95,17.95,17.9,17.95,31448,0
61,17.95,17.95,17.9,17.95,16777,0
62,17.95,18,17.95,17.95,30986,0
63,18,18,17.9,17.95,3868,0
64,17.9,18,17.9,18,3305,0
65,18,18,18,18,464,0
66,18,18,17.9,18,648,0
68,18,18,17.9,17.9,19497,0
69,18,18,17.9,18,1016,0
70,17.9,18,17.9,18,4097,0
71,17.95,17.95,17.9,17.9,4304,0
72,17.9,17.95,17.9,17.95,23729,0
73,18,18,17.9,18,7569,0
74,17.95,18,17.9,18,622,0
75,17.95,18,17.9,17.9,1448,0
76,17.9,17.95,17.9,17.9,125,0
77,17.9,17.95,17.9,17.9,1350,0
78,17.9,18,17.9,17.95,17894,0
79,17.95,18,17.9,17.95,2579,0
80,17.9,18,17.9,17.9,47,0
81,18,18,17.9,17.95,73681,0
82,18,18,17.9,18,5121,0
83,17.9,17.95,17.9,17.95,126,0
