EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,706,708,703,703,867,0
1,706.55,706.95,705.05,706.65,245,0
2,705.1,707,705.1,707,605,0
3,706.45,706.45,706,706,95,0
4,706.9,706.9,706.45,706.45,668,0
5,703.35,706.8,703.35,706.8,1176,0
6,703.1,704.95,703.05,703.05,412,0
7,703,704.75,703,703.45,183,0
8,704.1,704.1,702.6,702.7,184,0
9,705,707.05,703.8,704.4,5480,0
10,705.55,707.25,705.35,705.35,644,0
11,703,705.55,703,705.55,218,0
12,702.95,703.45,701.6,703.15,854,0
13,695.6,702.05,695.35,702.05,1818,0
14,697,697,694.05,695.15,3600,0
15,695.95,697,695.95,697,902,0
16,698.75,698.85,697,697,585,0
17,697.55,698.9,697.55,698.9,572,0
18,698.2,698.75,697.55,697.55,90,0
19,698,698.8,697.7,697.7,205,0
20,698,698.35,698,698,180,0
21,698.45,698.45,697.7,698.3,1134,0
22,698.8,698.8,698.8,698.8,25,0
23,699.9,699.9,698.4,699.2,954,0
24,703,703.05,699.9,699.9,977,0
25,703.05,704.2,702.15,703.65,390,0
26,703.25,703.25,701.15,703,366,0
27,702.85,703.15,701.5,703.15,110,0
28,702.8,702.8,701.9,701.9,251,0
29,705.6,705.6,702.25,702.9,337,0
30,704.95,705.7,703.65,705.6,874,0
31,703.75,704.95,703.2,704.65,954,0
32,714,716.8,703.1,703.1,12300,0
33,715,716.6,713,713,3838,0
34,713.75,715,712.75,714.1,1979,0
35,714.9,714.9,712,713.7,1640,0
36,726.7,728.3,716,716,19435,0
37,726,727.8,725,726.8,10973,0
38,724.05,726.85,723.4,726.85,2627,0
39,727.8,727.9,723.1,724,5386,0
40,728,728.05,725.2,727.5,4915,0
41,730,731.15,726.05,728.25,9480,0
42,729,731.65,728.4,729.8,3103,0
43,728.5,730,728.1,729,3725,0
44,730.35,731,728.6,729.55,1863,0
45,728.5,732.35,728,731.45,5521,0
46,728,730,728,729.5,2942,0
47,728.05,729.3,727.1,728,2018,0
48,727.7,729,727.45,727.7,1755,0
49,727.1,727.7,727,727.65,329,0
50,730.9,731.3,727.05,727.5,3503,0
51,730,732.3,729.3,730.9,3138,0
52,733.8,733.95,730,730.7,4562,0
53,734,734.5,731.4,732.9,2678,0
54,734.65,734.7,732.95,734,3597,0
55,731.95,734.5,731.2,734.45,3765,0
56,730,731.15,728.8,730.8,4024,0
57,728.65,730.8,727.05,730,5331,0
58,729.7,732.4,728,728.65,6323,0
59,731,732.3,729,730.8,2772,0
60,729.5,731.4,728.1,729.05,2984,0
61,729.1,729.5,728.25,728.85,730,0
62,728.1,729.1,727.4,728.05,1368,0
63,729.45,732,728,728.1,4847,0
64,729.5,730.95,729,730.2,2877,0
65,731.5,732,729.5,730.55,1537,0
66,730.95,732,730.95,731.5,884,0
67,731.8,732,730.4,730.95,794,0
68,734.8,734.9,730.7,731.15,2859,0
69,736,736,733.9,734.8,9084,0
70,735,736,733.45,735.75,3459,0
71,735,735.65,735,735,1903,0
72,732.9,735.6,732,735.05,3586,0
73,732.8,733.5,732,732.9,1121,0
74,733.95,735.05,733.3,734.6,5279,0
75,735.75,737,734.55,737,1985,0
76,736,736.5,735.1,735.75,4191,0
77,735.5,736.5,735.5,736,1634,0
78,735.8,736,734.7,734.7,1356,0
79,736,736.5,735.05,735.05,1705,0
80,736,736.45,735.55,736.45,406,0
81,735.9,736.45,735.35,735.65,539,0
82,736.45,736.45,735.5,735.5,2757,0
83,735.5,736.4,735.5,736.4,485,0
