EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,593.9,594,592.25,594,2437,0
1,593.65,594.85,593.5,593.5,544,0
2,592.9,593.95,592.5,593.95,1743,0
3,593.5,594,592.2,592.85,2331,0
4,591.8,593.3,591.2,593.05,628,0
5,590.65,591.8,590.35,591.8,1228,0
6,591.55,591.7,590.2,590.2,2379,0
7,591.25,591.6,591.2,591.2,411,0
8,592,592.35,591.95,591.95,2113,0
9,593,593,592.45,592.45,253,0
10,593,593,592.6,592.7,182,0
11,593.45,593.5,592.8,593,1174,0
12,593.3,594.45,593.15,593.6,1123,0
13,593.95,593.95,593.75,593.75,280,0
14,594.5,594.75,593.75,593.9,359,0
15,593.35,594.5,593.35,594.5,467,0
16,593.75,593.8,592.9,593.1,162,0
17,593.75,593.95,593.25,593.25,355,0
18,592.8,593.1,592.8,593.1,572,0
19,593.1,593.1,592.75,592.75,82,0
20,592.6,593.2,592.6,593.2,1144,0
21,592.75,592.75,592.75,592.75,177,0
22,592.15,593.35,591.25,592.55,1014,0
23,591.75,592.65,591.75,592.65,243,0
24,591.65,592,591.65,591.9,533,0
25,592.2,592.35,592.1,592.35,17,0
26,592.4,592.45,592.4,592.45,275,0
27,592.45,592.45,592.25,592.4,185,0
28,592.6,592.75,592.6,592.75,131,0
29,592.3,592.55,592.05,592.15,296,0
30,591.55,592.15,591.55,592,212,0
31,592,592,591.55,592,67,0
32,591.65,592.35,591.65,591.95,755,0
33,591.7,591.7,591.7,591.7,51,0
34,591.85,591.85,591.55,591.55,400,0
35,592.25,592.25,592,592,20,0
36,591.65,592.15,591.65,592.15,163,0
37,591.5,592,591.5,592,384,0
38,590.55,592.65,590.55,591,149787,0
39,590.55,591,590.55,591,110,0
40,590.5,590.55,590.5,590.55,182,0
41,590,590.5,590,590.5,377,0
42,590.2,590.2,590.2,590.2,100,0
43,591.05,591.05,590.1,590.1,525,0
44,589.55,590.45,589.55,589.85,1589,0
45,589.95,589.95,589.85,589.85,209,0
46,590,590.35,590,590,325,0
47,589.35,589.55,589.35,589.55,140,0
48,589.05,589.35,589.05,589.05,537,0
49,589.3,589.3,589,589,1183,0
50,590,590.4,590,590,613,0
51,590,590,590,590,17,0
52,589.65,589.65,589.65,589.65,150,0
53,589.45,589.5,589.45,589.5,450,0
55,589.5,589.5,589.5,589.5,9,0
56,589.5,589.5,589.5,589.5,16,0
57,589.65,589.8,589.45,589.8,158,0
58,589.2,589.25,589.2,589.25,530,0
59,589.55,589.55,589.25,589.25,16,0
60,589.2,589.2,589.2,589.2,160,0
61,589.4,589.4,588.25,589,2315,0
62,588.15,589.05,588.15,589.05,121,0
63,588,588.15,588,588.1,518,0
64,587.8,588.6,587.6,588.1,1040,0
65,587.75,588,587.75,588,45,0
66,587.1,587.5,587.1,587.5,726,0
67,587,587.2,587,587.2,53,0
68,587.05,587.3,587,587,793,0
69,587.3,587.3,587.25,587.25,51,0
70,586.5,587,585.55,587,1998,0
71,586.4,586.45,585.8,586.45,441,0
72,586.6,586.6,586.6,586.6,5,0
73,586.75,586.85,586.05,586.6,249,0
74,587.15,587.15,586.75,586.75,260,0
75,587.15,587.15,587.15,587.15,100,0
76,587.55,587.55,586.75,586.8,592,0
77,587.4,587.4,587.4,587.4,5,0
78,587.45,587.45,587.45,587.45,367,0
79,587.7,587.7,587.6,587.6,1358,0
80,587.05,587.65,587.05,587.65,3097,0
81,586.5,587.35,586.5,587.35,15,0
82,586.65,586.7,586.65,586.7,285,0
83,586.85,586.85,586.4,586.4,6,0
