EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,669,669,658.05,658.05,752,0
1,667.2,669,666,669,272,0
2,666.05,667.2,666,667.2,576,0
3,666.05,666.75,666,666,145,0
4,666.1,666.1,666.1,666.1,9,0
5,662.3,666,662.3,666,219,0
6,663,663,661.85,661.85,194,0
7,663.2,663.6,662.6,663.6,85,0
8,662.45,662.45,662.45,662.45,18,0
9,662.4,662.4,661.65,661.65,214,0
10,663.05,663.05,663.05,663.05,25,0
12,662.9,662.9,662.4,662.4,12,0
13,662,662.9,661.7,662.9,86,0
14,663,663,663,663,1,0
16,663.7,663.7,663,663,65,0
17,663.75,663.75,663,663,22,0
18,663,663,663,663,100,0
19,663.5,663.5,663.4,663.4,263,0
20,662.6,662.6,662.6,662.6,10,0
22,663,663,663,663,200,0
23,663,663,663,663,10,0
24,662.5,662.5,662.5,662.5,99,0
27,662.1,662.1,662.1,662.1,30,0
28,661.25,661.8,661.25,661.6,261,0
29,661.75,661.75,661.75,661.75,49,0
30,661.75,661.75,661.75,661.75,51,0
32,661.25,661.25,661.25,661.25,25,0
33,661.1,661.5,661.1,661.5,505,0
34,659,660.2,659,660.1,401,0
35,658.15,660.75,658.15,659.05,350,0
36,657.5,658.7,657.5,658.7,407,0
37,656,657.9,656,657.9,457,0
38,656.05,656.55,656,656.55,316,0
39,657.05,658,656.65,658,234,0
40,658.75,659.1,656.85,656.85,437,0
41,657,657,657,657,294,0
42,657.45,657.65,657.45,657.45,11,0
43,657.65,657.65,657.65,657.65,1,0
45,657.45,657.45,657.45,657.45,20,0
46,657,657.7,657,657.3,97,0
47,657,657.8,657,657.8,59,0
48,657.7,657.7,657.7,657.7,5,0
49,656,657.4,656,657,1709,0
50,656,656.55,656,656,38,0
51,656.5,656.5,656,656.5,119,0
52,656.9,656.9,656.9,656.9,86,0
54,656.5,656.5,656.5,656.5,96,0
55,656.5,656.5,656.5,656.5,4,0
56,656,656,656,656,1,0
59,656.1,656.7,656.1,656.7,59,0
60,656,656,656,656,474,0
61,656.05,656.95,656,656,139,0
62,656,656.7,656,656.7,11,0
63,656,656,656,656,1,0
64,655.55,656.85,655.55,656.7,384,0
65,653.1,655.55,653.1,655.55,248,0
66,653.45,653.45,651.5,653,832,0
67,653.15,654.7,652.9,652.9,125,0
68,652,652,652,652,313,0
70,652,652,652,652,6,0
71,652.8,652.8,652,652,178,0
72,652,652.8,652,652.8,72,0
74,653.3,653.3,653.3,653.3,100,0
75,652.15,652.15,652.15,652.15,25,0
76,653.4,653.4,653.1,653.1,44,0
79,651.8,651.8,651.8,651.8,200,0
80,651.1,651.1,651.1,651.1,90,0
81,651.95,651.95,651.95,651.95,20,0
83,651.75,651.75,651.1,651.1,550,0
