EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,92,92.35,91.75,92.35,67087,0
1,92.25,92.3,92,92,44778,0
2,92.35,92.35,92.2,92.25,41136,0
3,91.55,92.45,91.55,92.35,67652,0
4,91.65,91.8,91.5,91.65,13293,0
5,91.95,92.5,91.85,91.85,117342,0
6,91.85,92,91.75,91.95,18014,0
7,91.7,92,91.7,92,30229,0
8,92.3,92.3,91.65,91.75,81293,0
9,92.25,92.4,92.1,92.4,44949,0
10,92.45,92.65,92.3,92.35,82406,0
11,92,92.7,91.9,92.5,100078,0
12,92.2,92.35,91.75,92,52347,0
13,92.35,92.5,91.9,92.1,61194,0
14,91.95,92.5,91.8,92.25,60150,0
15,91.7,92.05,91.7,92,17733,0
16,91.65,91.75,91.5,91.7,28479,0
17,92,92.15,91.9,92.1,37886,0
18,92.35,92.45,92,92.1,53251,0
19,93.2,93.3,92.3,92.3,220059,0
20,92.75,93.4,92.7,93.3,115008,0
21,92.85,93.2,92.65,92.7,137824,0
22,92.75,92.95,92.7,92.8,37282,0
23,92.7,92.85,92.65,92.7,26513,0
24,92.65,92.8,92.4,92.7,53091,0
25,92.7,92.85,92.6,92.65,10163,0
26,92.75,92.85,92.65,92.65,11418,0
27,92.8,92.8,92.65,92.7,10117,0
28,92.65,92.8,92.6,92.8,11407,0
29,92.6,92.75,92.6,92.6,9073,0
30,92.6,92.7,92.5,92.6,11636,0
31,92.5,92.7,92.5,92.5,5443,0
32,92.65,92.7,92.5,92.5,2481,0
33,92.55,92.7,92.55,92.55,2271,0
34,92.55,92.65,92.55,92.6,1405,0
35,92.6,92.6,92.55,92.6,1874,0
36,92.6,92.6,92.5,92.5,12912,0
37,92.4,92.6,92.4,92.6,4892,0
38,92.1,92.35,92.1,92.15,33776,0
39,91.75,92.15,91.6,92.15,67552,0
40,92.25,92.25,91.7,91.85,24088,0
41,92.3,92.35,92.05,92.1,4532,0
42,92,92.3,92,92.3,11685,0
43,92.1,92.1,91.9,91.95,7158,0
44,92.15,92.15,92,92.1,12893,0
45,92.3,92.4,92.1,92.2,8803,0
46,92.3,92.4,92.3,92.3,2241,0
47,92,92.4,92,92.35,4410,0
48,92.3,92.35,92,92,3173,0
49,92.3,92.35,92.2,92.3,3312,0
50,92.15,92.25,92.1,92.25,17269,0
51,92.1,92.2,92.1,92.1,10673,0
52,92.15,92.2,92.1,92.1,3087,0
53,91.95,92.15,91.95,92.15,11461,0
54,92.15,92.15,91.95,91.95,5774,0
55,92.1,92.25,92.1,92.15,4465,0
56,92.1,92.25,92.1,92.25,2249,0
57,92.05,92.15,92.05,92.1,2863,0
58,92.15,92.15,92.05,92.05,3155,0
59,91.9,92.15,91.9,92.15,13148,0
60,92.15,92.15,91.75,91.85,17794,0
61,92.15,92.25,92,92.1,10138,0
62,91.6,92.05,91.6,92,34628,0
63,91.45,91.7,91.3,91.7,86868,0
64,91.4,91.65,91.3,91.45,100104,0
65,91.7,91.9,91.35,91.35,22659,0
66,91.45,91.75,91.4,91.75,9129,0
67,91.5,91.6,91.45,91.45,19164,0
68,91.6,91.65,91.45,91.65,6781,0
69,91.55,91.6,91.5,91.55,10672,0
70,91.55,91.6,91.55,91.55,4460,0
71,91.9,91.9,91.5,91.55,13821,0
72,91.8,92,91.75,91.85,24096,0
73,91.6,91.6,91.4,91.6,22216,0
74,91.6,91.6,91.55,91.55,3269,0
75,91.5,91.6,91.5,91.55,1792,0
76,91.45,91.6,91.45,91.6,13636,0
77,91.5,91.65,91.45,91.5,10187,0
78,91.75,91.75,91.5,91.5,13676,0
79,91.55,91.75,91.55,91.75,13768,0
80,91.55,91.6,91.55,91.55,1264,0
81,91.5,91.65,91.5,91.6,10914,0
82,91.55,91.55,91.5,91.5,6155,0
83,91.55,91.65,91.55,91.65,10709,0
