EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533095160,1022,1024.05,1017.1,1024.05,1765,0
1,1027,1027,1022,1022,5024,0
2,1024.75,1028,1022.4,1028,2969,0
3,1028.1,1028.1,1024.75,1024.8,1198,0
4,1024.85,1028.15,1024.8,1028.15,449,0
5,1026.4,1027,1025.3,1025.95,382,0
6,1028,1028,1026.45,1026.45,1695,0
7,1025.2,1027.65,1024.1,1027.65,1052,0
8,1026.85,1026.85,1025,1025.2,1011,0
9,1025.55,1026.9,1025.55,1026.85,279,0
10,1024.15,1026.15,1024.15,1025.6,952,0
11,1027.4,1028.8,1023.9,1024.1,3533,0
12,1026.7,1028.75,1025.9,1027.4,2392,0
13,1028.55,1028.75,1026,1026.7,1722,0
14,1027.65,1028.55,1025.3,1028.55,2801,0
15,1028.1,1029.95,1027.1,1027.2,3982,0
16,1030,1030.05,1027,1027.3,4237,0
17,1032.9,1033,1030.6,1031,3322,0
18,1035,1035,1032,1032.7,3205,0
19,1034.25,1035.1,1034,1034.85,4148,0
20,1037,1037,1034.35,1035.05,8234,0
21,1035.2,1037,1034,1036.8,3160,0
22,1032,1035.2,1032,1035.2,2109,0
23,1029.8,1032,1029,1032,6319,0
24,1026.7,1029.75,1026.55,1027.5,3572,0
25,1030.05,1030.05,1027.5,1027.9,1738,0
26,1032,1032,1030.1,1030.7,2720,0
27,1032,1032.45,1030.6,1031.95,968,0
28,1030.6,1032.8,1030.6,1032,1903,0
29,1032.5,1032.85,1031.95,1031.95,359,0
30,1031.3,1033.15,1031.3,1032.8,503,0
31,1031.8,1032.5,1031.2,1031.4,210,0
32,1032.5,1032.5,1031.6,1032.35,173,0
33,1030,1032.8,1030,1032.8,1802,0
34,1031.4,1031.95,1029.75,1031.2,1047,0
35,1030.15,1031.35,1029.9,1031.35,459,0
36,1030.1,1030.9,1030,1030.9,388,0
37,1030.35,1030.9,1030.1,1030.9,166,0
38,1030.9,1031,1030.15,1030.35,1628,0
39,1031,1031.85,1030.9,1030.9,629,0
40,1032,1032,1031,1031.7,80,0
41,1031.25,1032.05,1031.25,1032,730,0
42,1031.7,1031.8,1030.95,1031.6,215,0
43,1031,1032,1031,1031.75,494,0
44,1030.8,1032,1030.8,1031.05,178,0
45,1031.8,1031.85,1030.85,1031.75,124,0
46,1030.5,1031.85,1030.25,1031.8,469,0
47,1031,1031.6,1030.2,1030.5,30,0
48,1030.55,1031,1029.25,1031,817,0
49,1030,1031,1030,1030.5,1326,0
50,1030.35,1030.35,1030,1030,208,0
51,1030.2,1030.5,1029.4,1030.5,142,0
52,1029.45,1030.2,1029.45,1030.2,65,0
53,1029.25,1030,1029.25,1029.85,583,0
54,1029.75,1029.85,1029.25,1029.25,233,0
55,1029.45,1029.5,1028,1029.5,591,0
56,1029.6,1029.65,1028.5,1029.35,343,0
57,1028.7,1029.75,1028,1029.65,199,0
58,1028,1028.7,1028,1028.7,109,0
59,1027,1028.4,1027,1028.4,968,0
60,1026.9,1028,1026.05,1027,494,0
61,1027.5,1028.7,1026.85,1028,994,0
62,1029.65,1029.65,1028.35,1028.35,135,0
63,1029.4,1029.45,1028.45,1029.45,45,0
64,1029.9,1030,1028.4,1029.4,279,0
65,1029,1030,1028.65,1029.85,325,0
66,1028.95,1029.1,1028.6,1029.05,23,0
67,1029.15,1029.9,1029.15,1029.15,170,0
68,1029.65,1029.85,1029.65,1029.85,118,0
69,1029.7,1030,1028.7,1028.7,245,0
70,1029.25,1029.95,1028.1,1029.45,900,0
71,1028.5,1029.65,1028.5,1029.05,269,0
72,1029,1029,1028.5,1028.5,93,0
73,1029,1029,1028.4,1029,142,0
74,1028.05,1029,1028.05,1029,210,0
75,1028.05,1028.9,1028.05,1028.4,159,0
76,1028.9,1029,1028.05,1028.5,408,0
77,1029,1029,1028.15,1028.95,22,0
78,1027.75,1028.95,1027.75,1028.25,660,0
79,1028.75,1028.75,1027.45,1028,408,0
80,1028.5,1028.55,1027.55,1028.55,36,0
81,1028,1028.9,1028,1028.5,90,0
82,1028,1028.95,1028,1028.95,302,0
83,1028.6,1029,1027.7,1028.65,77,0
84,1028.95,1029.45,1028,1028.6,668,0
85,1029.45,1029.45,1029,1029.45,92,0
86,1029.5,1029.5,1028.95,1029.5,85,0
87,1030,1030,1029.5,1029.5,290,0
88,1030,1030,1030,1030,167,0
89,1030,1030,1029.5,1030,573,0
90,1029.5,1029.9,1029.5,1029.9,242,0
91,1029.5,1030,1029.5,1030,45,0
92,1030,1030,1029.5,1030,838,0
93,1030,1030,1029.5,1030,177,0
94,1030,1030.5,1029.8,1030,3085,0
95,1029.8,1030.5,1029.8,1030.5,214,0
96,1028.95,1029.6,1027,1029.6,5988,0
97,1030.9,1030.9,1028,1028.95,10466,0
98,1029.9,1031,1029.35,1030.9,5574,0
