EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317680,144.1,144.35,144,144,205,0
1,144.15,144.15,143.95,144.15,383,0
2,143.8,144.6,143.8,144.5,2746,0
3,145.05,145.35,144.4,144.5,5931,0
4,145.05,145.45,145.05,145.05,510,0
5,145.35,145.45,145.05,145.05,1499,0
6,145.25,145.5,145.25,145.5,210,0
7,145,145.2,145,145.2,2250,0
8,145.1,145.15,145,145,433,0
9,145.2,145.2,145.1,145.1,200,0
10,145.1,145.1,145.1,145.1,150,0
11,145,145,145,145,401,0
12,145.85,145.85,145.3,145.3,7219,0
13,145.5,145.5,145.5,145.5,20,0
14,145.5,145.5,145.3,145.5,442,0
15,145.3,145.9,145.3,145.65,1570,0
16,145.5,145.5,145.4,145.4,1712,0
17,145.5,145.5,145.5,145.5,107,0
18,145.2,145.5,145.2,145.5,767,0
19,145.65,145.65,145.2,145.2,765,0
20,145.55,145.55,145.5,145.5,151,0
21,145.55,145.55,145.55,145.55,311,0
22,145.5,145.55,145.5,145.55,317,0
23,145.45,145.5,145.45,145.5,1654,0
24,145.6,145.6,145.45,145.45,430,0
25,145.45,145.45,145.45,145.45,100,0
26,145.4,145.5,145.4,145.5,401,0
27,145.05,145.25,144.3,145.25,6541,0
28,145.1,145.1,145.05,145.05,84,0
29,145.25,145.25,145.05,145.05,405,0
30,145.05,145.25,145.05,145.25,112,0
31,145,145.1,145,145.1,501,0
32,145.1,145.1,145.1,145.1,80,0
33,145,145,145,145,20,0
34,145,145.1,145,145.1,802,0
35,144.8,145.2,144.75,145.2,1502,0
36,145,145.1,144.9,145,1509,0
37,145,145,145,145,430,0
38,145.1,145.1,145,145,949,0
39,145,145.1,144.85,145.1,300,0
40,145,145.15,144.75,145.05,1867,0
41,145,145.05,144.85,145.05,685,0
42,144.85,145.05,144.8,144.85,292,0
43,144.75,144.8,144.75,144.8,525,0
44,144.7,144.85,144.6,144.75,1016,0
45,144.65,144.8,144.65,144.8,1617,0
46,144.65,144.65,144.5,144.5,531,0
47,144.5,144.55,144.5,144.55,320,0
48,144.5,144.5,144.5,144.5,140,0
49,144.6,144.65,144.45,144.5,821,0
50,144.5,144.55,144.5,144.55,2560,0
51,144.5,144.55,144.5,144.55,550,0
52,144.55,144.55,144.5,144.5,300,0
53,144.5,144.55,144.5,144.5,788,0
54,144.5,144.7,144.5,144.5,347,0
55,144.5,144.5,144.5,144.5,326,0
56,144.5,144.5,144.5,144.5,159,0
58,144.5,144.5,144.5,144.5,492,0
59,144.3,144.5,144.3,144.5,415,0
60,144.5,144.5,144.5,144.5,405,0
61,144.5,144.5,144.25,144.5,1459,0
62,144.5,144.5,144.5,144.5,450,0
63,144.5,144.5,144.5,144.5,722,0
64,144.25,144.25,144.25,144.25,1000,0
65,144.5,144.5,144.25,144.45,558,0
66,144.5,144.5,144.5,144.5,103,0
68,144.25,144.5,144.25,144.5,517,0
69,144.5,144.5,144.35,144.35,181,0
70,144.5,144.5,144.5,144.5,100,0
71,144.6,144.6,144.5,144.5,230,0
72,144.5,144.5,144.5,144.5,500,0
74,144.5,144.5,144.5,144.5,49,0
75,144.7,144.7,144.5,144.5,210,0
76,144.7,144.7,144.7,144.7,75,0
77,144.55,144.55,144.55,144.55,10,0
78,144.7,144.7,144.7,144.7,16,0
79,144.5,144.7,144.5,144.7,156,0
80,144.5,144.5,144.5,144.5,180,0
81,144.5,144.5,144.5,144.5,100,0
