EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,198.4,198.4,198.4,198.4,1,0
1,196.75,198.4,196.75,198.4,1001,0
2,197,197,196.75,197,70,0
4,197,197,196.95,197,140,0
6,197,197,197,197,292,0
7,196,196,196,196,1095,0
8,196,196,196,196,10,0
10,195.6,196,195.6,196,550,0
11,195.65,195.65,195.65,195.65,40,0
12,195.95,195.95,195.6,195.6,200,0
13,195,195,195,195,305,0
14,195.2,195.2,195.2,195.2,93,0
15,195.3,195.3,195.2,195.2,107,0
16,194.95,194.95,194.05,194.9,778,0
17,195,195,195,195,10,0
18,195.6,195.6,195.6,195.6,5,0
19,195.9,195.9,195.5,195.5,180,0
20,195.85,195.85,195.05,195.05,50,0
21,195.8,195.8,195.8,195.8,2,0
22,195.2,195.9,195.2,195.85,42,0
23,195.9,195.9,195.85,195.85,170,0
24,195.9,195.9,195.9,195.9,100,0
26,195.1,195.1,195.1,195.1,100,0
27,194.95,195,194.95,195,199,0
28,195,195,194.95,194.95,65,0
29,194.95,195,194.95,195,67,0
30,194.95,194.95,194.95,194.95,35,0
31,194.95,194.95,194.95,194.95,10,0
32,194.95,194.95,194.95,194.95,5,0
33,194.95,194.95,194.75,194.75,115,0
35,195.05,195.05,194.95,194.95,388,0
37,194.6,195.05,194.6,195.05,164,0
39,195.95,195.95,195.4,195.4,214,0
41,195.8,195.8,195.4,195.4,3,0
42,195.4,195.4,195.4,195.4,5,0
43,195.7,195.7,195.7,195.7,22,0
45,195,195.7,194.8,195.4,151,0
46,195.65,195.65,195.65,195.65,10,0
47,195,195,195,195,16,0
48,195.65,195.65,195.65,195.65,32,0
50,195.7,195.7,195.7,195.7,61,0
52,194.9,195.85,194.9,195.75,318,0
54,195.95,195.95,195.95,195.95,20,0
56,195.35,195.5,195.25,195.25,44,0
57,195.45,195.45,195.35,195.45,156,0
58,195.5,195.5,195.5,195.5,3,0
60,195.7,195.7,195.7,195.7,60,0
61,195.35,195.35,195.35,195.35,100,0
62,195.3,195.3,195.3,195.3,40,0
63,196.05,196.05,195.65,195.65,510,0
64,196.25,196.3,196.25,196.3,6,0
65,196.25,196.25,196.25,196.25,100,0
66,196.95,196.95,196.35,196.35,202,0
67,196.55,196.55,196.55,196.55,3,0
69,196.55,196.55,196.55,196.55,2,0
70,196.55,196.55,196.55,196.55,1,0
71,196.6,196.6,196.6,196.6,1,0
72,196.55,196.55,196.55,196.55,115,0
73,197,197,196.65,196.65,352,0
74,197,197,197,197,120,0
75,196.55,197,196.55,197,65,0
76,196.55,196.55,196.55,196.55,29,0
77,196.55,196.55,196.55,196.55,36,0
78,197,197,197,197,105,0
79,196.55,196.55,196.55,196.55,22,0
80,196.55,196.55,196.55,196.55,13,0
82,197,197,197,197,3,0
83,196.55,196.55,196.55,196.55,100,0
