EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,102.3,102.3,101.85,102.3,12550,0
1,101.95,102.25,101.6,102.25,9836,0
2,102,102.5,101.95,101.95,27053,0
3,102.4,102.45,101.8,102,11857,0
4,101.6,102.5,101.6,102.4,10153,0
5,102.1,102.15,101.6,101.6,7256,0
6,102.15,102.15,102.05,102.15,4235,0
7,102.4,102.45,102.05,102.2,7895,0
8,102.45,102.45,102.3,102.4,2985,0
9,102.3,102.45,102.3,102.4,2788,0
10,102.1,102.4,102.1,102.4,2419,0
11,102,102.15,102,102.1,2213,0
12,101.65,102,101.6,102,7863,0
13,101.7,101.75,101.5,101.7,3372,0
14,101.9,101.95,101.65,101.65,4004,0
15,102.4,102.4,101.5,101.8,33271,0
16,102.35,102.4,102.05,102.4,3965,0
17,102.4,102.4,102.2,102.3,3377,0
18,102.5,102.55,102.3,102.35,2985,0
19,102.3,102.55,102.3,102.55,5575,0
20,102.35,102.45,102.3,102.45,3603,0
21,102.3,102.4,102.15,102.4,595,0
22,102.15,102.4,102.15,102.4,2112,0
23,102.25,102.3,102.1,102.1,4451,0
24,102.15,102.25,102.15,102.25,529,0
25,102.45,102.5,102.1,102.25,7302,0
26,102.25,102.55,102.25,102.55,1835,0
27,102.4,102.5,102.4,102.5,1957,0
28,102.45,102.55,102.45,102.45,436,0
29,102.45,102.5,102.4,102.5,1290,0
30,102.4,102.5,102.4,102.4,316,0
31,102.3,102.55,102.3,102.55,1304,0
32,102.45,102.55,102.35,102.35,26,0
33,102.5,102.5,102.5,102.5,605,0
34,102.45,102.55,102.4,102.5,1503,0
35,102.4,102.5,102.4,102.5,22,0
36,102.3,102.4,102.3,102.4,134,0
37,102.2,102.4,102.2,102.4,6689,0
38,102.6,102.7,102.25,102.3,37930,0
39,102.6,102.75,102.6,102.65,12525,0
40,102.45,102.7,102.35,102.65,27976,0
41,102.05,102.35,102,102.35,21207,0
42,102.5,102.6,101.7,102,60223,0
43,102.45,102.6,102.45,102.5,16206,0
44,103.05,103.05,102.4,102.4,12338,0
45,103.1,103.45,103.05,103.05,29208,0
46,103.2,103.3,103.15,103.15,16136,0
47,103.2,103.25,103.1,103.25,4815,0
48,103.35,103.4,103.15,103.15,7527,0
49,103.5,103.5,103.35,103.35,10836,0
50,103.5,103.55,103.45,103.45,8183,0
51,103.5,103.55,103.5,103.55,5892,0
52,103.6,103.6,103.5,103.5,3531,0
53,103.65,103.7,103.6,103.6,2546,0
54,103.5,103.6,103.45,103.6,7939,0
55,103.5,103.55,103.4,103.5,6025,0
56,103.3,103.5,103.3,103.5,13406,0
57,103.25,103.35,103.25,103.25,1815,0
58,103.25,103.3,103.25,103.25,643,0
59,103.2,103.35,103.2,103.35,1599,0
60,103,103.35,103,103.2,7453,0
61,103.15,103.2,102.9,103,9985,0
62,103.15,103.15,103.1,103.15,3469,0
63,103,103.3,103,103.15,674,0
64,103.05,103.15,103.05,103.15,226,0
65,103,103.2,103,103.2,1402,0
66,103.05,103.1,103,103.1,4359,0
67,103,103.1,102.95,103.05,364,0
68,103.05,103.05,102.95,103,1829,0
69,102.9,103.1,102.9,103.1,549,0
70,103,103.1,102.9,103,2199,0
71,103.05,103.05,102.9,102.9,675,0
72,103,103,102.95,102.95,3848,0
73,102.95,103,102.95,103,446,0
74,102.8,102.95,102.8,102.95,6270,0
75,102.95,102.95,102.8,102.85,1738,0
76,102.75,102.9,102.75,102.9,1841,0
77,102.75,102.85,102.75,102.85,907,0
78,102.75,102.75,102.7,102.75,836,0
79,102.7,102.75,102.65,102.75,14118,0
80,102.65,102.75,102.65,102.7,2226,0
81,102.65,102.7,102.55,102.7,3849,0
82,102.6,102.6,102.6,102.6,295,0
83,102.75,102.75,102.65,102.65,751,0
