EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317620,6439.95,6439.95,6439.95,6439.95,2,0
1,6480,6480,6441,6441,14,0
2,6499.7,6499.7,6454.65,6489.95,16,0
3,6501.7,6528.9,6490.85,6499.7,17,0
4,6506.65,6506.65,6500,6500,6,0
5,6508.3,6508.3,6508.3,6508.3,2,0
6,6506.7,6506.7,6506.7,6506.7,3,0
7,6500.05,6500.05,6500.05,6500.05,20,0
8,6466.1,6500,6466.1,6500,33,0
10,6474.85,6474.85,6474.85,6474.85,1,0
11,6470,6476.65,6470,6476.65,10,0
13,6492.05,6492.05,6470,6470,2,0
14,6470,6470,6470,6470,7,0
16,6470.05,6470.05,6470.05,6470.05,1,0
20,6470,6481.65,6470,6481.65,54,0
21,6445,6470,6445,6470,64,0
22,6442.25,6456.8,6442.25,6445,5,0
23,6439.8,6439.8,6438.25,6439.75,23,0
25,6457.95,6457.95,6451.05,6451.05,2,0
26,6460.95,6469.15,6460.95,6469.15,2,0
27,6460,6467,6460,6467,8,0
28,6460,6460,6460,6460,15,0
30,6463.25,6463.25,6463.25,6463.25,1,0
31,6468.2,6468.2,6463.3,6463.3,3,0
32,6465.65,6465.65,6465.65,6465.65,2,0
33,6459.4,6459.4,6459.4,6459.4,2,0
35,6459.55,6459.55,6459.45,6459.45,3,0
36,6466,6467.75,6465.65,6465.65,8,0
37,6465.3,6465.3,6465.3,6465.3,1,0
39,6468.45,6468.45,6468.45,6468.45,1,0
42,6474.4,6474.4,6474.4,6474.4,1,0
43,6460,6462,6460,6462,12,0
44,6460,6460,6460,6460,1,0
45,6460,6460,6460,6460,3,0
46,6460,6460,6460,6460,5,0
47,6462.4,6462.4,6460,6460,4,0
48,6465.15,6465.15,6465.15,6465.15,1,0
51,6465.15,6465.15,6465.15,6465.15,2,0
53,6474.4,6474.4,6474.4,6474.4,3,0
54,6474.6,6474.6,6474.6,6474.6,6,0
55,6474.6,6474.6,6474.6,6474.6,1,0
57,6485.05,6485.05,6484.95,6484.95,17,0
58,6494.9,6494.9,6494.9,6494.9,1,0
60,6495,6495,6495,6495,2,0
62,6495,6495.2,6495,6495.2,5,0
64,6462.4,6494.95,6462.4,6494.95,13,0
65,6462.05,6462.05,6462.05,6462.05,4,0
69,6462.45,6462.45,6462.45,6462.45,1,0
70,6473.8,6473.8,6462,6462,7,0
73,6473.8,6481,6473.8,6481,6,0
74,6473.8,6473.8,6473.8,6473.8,11,0
75,6459,6461.1,6459,6461.1,6,0
77,6461.15,6461.15,6461.15,6461.15,22,0
78,6459.8,6459.8,6459.8,6459.8,1,0
81,6460,6460,6460,6460,2,0
