EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,446.55,448.85,446.05,446.05,98,0
1,444.1,447.35,444.1,447.35,295,0
2,444.1,444.1,444.1,444.1,60,0
3,444.8,444.8,444,444,51,0
4,443.3,444.9,443.1,444.85,72,0
5,444.85,444.85,444.85,444.85,10,0
6,445.1,445.45,444.9,444.9,366,0
7,447.45,447.45,447,447,430,0
8,448.05,448.45,447.35,447.35,643,0
9,447.15,449.45,447.15,448.95,241,0
10,448.9,448.9,448.9,448.9,125,0
11,450,450,449.8,449.8,325,0
12,449,449.75,449,449.75,292,0
13,451.1,452,449.3,449.3,462,0
14,451,452,451,452,270,0
15,452.4,452.4,451,451.95,382,0
16,454.2,454.8,452.6,452.6,965,0
17,453.5,454.1,453,454.1,254,0
18,453,453.9,453,453.9,578,0
19,452.15,453.5,452.15,453.5,140,0
20,451.9,452.85,451.85,452.85,519,0
21,451,452.15,451,452.15,925,0
22,450,451,450,450.95,992,0
23,450,450.5,450,450.5,310,0
24,450.5,450.5,450,450,716,0
25,450,450,450,450,20,0
26,450,450,450,450,35,0
27,450,450,450,450,25,0
28,449.05,449.05,449.05,449.05,100,0
29,448.5,449,448.5,449,299,0
30,449,449,448.5,448.5,217,0
31,450,450,448.25,448.25,609,0
32,449.05,450,449.05,450,87,0
33,450.45,450.5,449.05,449.05,98,0
35,451,451,450.8,450.8,440,0
36,450.1,451.9,450.1,450.15,106,0
37,453,453.9,450.15,450.15,939,0
38,453.9,453.9,453.7,453.75,394,0
39,454.5,454.5,452.65,453.9,895,0
40,454.7,454.8,454,454.6,358,0
41,454.65,454.65,454,454.65,36,0
42,454.3,454.4,453.5,454.35,345,0
43,454.4,454.4,453.6,454.3,562,0
44,456.6,457.65,454.3,454.4,3434,0
45,457.6,457.6,456.5,457.5,1243,0
46,459.2,459.2,457.5,457.65,1473,0
47,459.9,459.9,458.5,459.4,1064,0
48,461.75,462.25,459.45,459.9,2616,0
49,458.9,461.75,457.95,461.75,2782,0
50,462.25,462.25,459.35,459.35,1937,0
51,463.4,463.45,461.05,462,1325,0
52,460.05,464,460.05,463,857,0
53,459.4,460,459.4,459.9,278,0
54,459.25,459.85,459.25,459.85,664,0
55,458,459.15,458,459.15,316,0
56,457.3,458,456.25,458,223,0
57,457.9,458,456.55,457.2,338,0
58,457,457.05,456.75,456.75,211,0
59,457.75,457.75,457,457,170,0
60,458.15,458.15,457.15,457.15,218,0
61,461.85,461.85,458.15,459,1721,0
62,462.5,462.5,461.5,461.5,814,0
63,460.55,462.9,460.55,462.5,1305,0
64,461.5,462,460.05,460.5,674,0
65,460.9,461.45,459.6,461.45,582,0
66,460.9,460.9,459,460.9,646,0
67,460.8,460.8,460.8,460.8,100,0
68,459.25,459.25,459.25,459.25,17,0
69,459,459.05,459,459.05,167,0
70,457.6,458.1,457.25,458.1,393,0
71,457.2,457.5,457.2,457.5,72,0
72,457,457.3,457,457.3,125,0
73,456.6,457.2,456.6,457.2,36,0
74,456.3,456.95,456.3,456.55,243,0
75,456.75,456.75,455.65,456.3,2179,0
76,456.05,458,455.45,457,904,0
77,456.4,456.4,456,456,461,0
78,457.35,457.35,456.05,456.05,60,0
83,456.2,456.6,456.2,456.6,60,0
