EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,17.8,18,17.6,18,41526,0
1,17.65,17.8,17.65,17.8,4316,0
2,17.8,17.95,17.7,17.75,60198,0
3,17.75,17.9,17.7,17.9,13547,0
4,17.65,17.8,17.65,17.75,4607,0
5,17.65,17.75,17.65,17.65,12255,0
6,17.6,17.65,17.55,17.6,8196,0
7,17.7,17.75,17.6,17.6,25462,0
8,17.7,17.7,17.6,17.6,8785,0
9,17.65,17.7,17.65,17.65,4971,0
10,17.7,17.7,17.7,17.7,6630,0
11,17.65,17.7,17.65,17.7,5150,0
12,17.65,17.7,17.65,17.65,2120,0
13,17.65,17.65,17.65,17.65,461,0
14,17.65,17.7,17.6,17.7,8683,0
15,17.6,17.7,17.6,17.7,7050,0
16,17.3,17.6,17.3,17.55,8823,0
17,17.1,17.3,17.05,17.3,35544,0
18,16.9,17.1,16.9,17.1,20407,0
19,16.9,17,16.9,16.9,11297,0
20,17.1,17.1,16.9,16.9,8504,0
21,17.1,17.1,17.1,17.1,18004,0
22,17.05,17.1,17,17.1,18852,0
23,17.1,17.15,17.05,17.1,17861,0
24,17.15,17.15,17.15,17.15,121,0
25,17.2,17.2,17.15,17.15,1889,0
26,17.3,17.3,17.2,17.2,3600,0
27,17.2,17.3,17.2,17.3,520,0
28,17.2,17.25,17.2,17.25,11865,0
29,17.2,17.2,17.2,17.2,300,0
31,17.1,17.2,17.1,17.15,6226,0
32,17.2,17.2,17.2,17.2,1000,0
34,17.2,17.2,17.2,17.2,101,0
35,17.2,17.2,17.15,17.15,2775,0
36,17.15,17.2,17.15,17.15,2050,0
37,17.15,17.15,17.15,17.15,60,0
38,17.2,17.2,17.15,17.15,1192,0
39,17.2,17.2,17.2,17.2,88,0
40,17.15,17.2,17.1,17.1,1268,0
41,17.15,17.15,17.15,17.15,489,0
42,17.2,17.2,17.15,17.2,521,0
43,17.2,17.2,17.15,17.2,121,0
45,17.15,17.15,17.15,17.15,20,0
46,17.15,17.2,17.15,17.15,3494,0
47,17.2,17.2,17.2,17.2,24,0
48,17.2,17.2,17.2,17.2,1,0
49,17.2,17.2,17.2,17.2,736,0
50,17.15,17.2,17.15,17.2,2695,0
51,17.1,17.15,17.1,17.15,10701,0
52,17.1,17.1,17.1,17.1,66,0
53,17,17,17,17,5250,0
54,17,17,17,17,30,0
55,17.1,17.1,17.1,17.1,350,0
56,17.05,17.05,17.05,17.05,57,0
57,17.05,17.05,17,17,5402,0
58,17.05,17.1,17.05,17.05,389,0
59,17,17,17,17,60,0
60,16.95,17,16.95,17,5826,0
61,17,17,16.95,16.95,486,0
62,16.9,17,16.9,17,1300,0
63,17.1,17.1,16.95,16.95,3881,0
64,17.1,17.1,17,17.05,870,0
65,17,17,16.95,16.95,1129,0
66,16.95,16.95,16.95,16.95,1000,0
67,16.95,16.95,16.85,16.85,9742,0
68,16.95,16.95,16.95,16.95,466,0
69,16.9,16.95,16.9,16.95,1352,0
70,16.85,16.85,16.85,16.85,1000,0
71,16.8,16.9,16.8,16.9,2136,0
72,16.75,16.85,16.55,16.8,34280,0
73,16.8,16.8,16.7,16.75,7506,0
74,16.75,16.75,16.75,16.75,16,0
75,16.85,16.85,16.8,16.8,2042,0
76,16.8,16.85,16.8,16.85,189,0
77,16.75,16.8,16.75,16.75,861,0
78,16.85,16.85,16.8,16.8,152,0
79,16.85,16.85,16.85,16.85,700,0
80,16.75,16.8,16.75,16.8,230,0
81,16.8,16.8,16.75,16.75,398,0
82,16.8,16.8,16.8,16.8,364,0
83,16.8,16.8,16.8,16.8,89,0
