EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317620,630,630,630,630,300,0
1,633.25,633.25,631.45,631.45,44,0
2,633.3,633.3,633.3,633.3,2,0
4,633.55,633.55,633.45,633.45,55,0
8,632.3,632.3,632.3,632.3,1,0
9,633,633,632.25,632.25,6,0
10,639.15,639.15,633,633,130,0
14,639,639,639,639,3,0
16,639.05,639.05,639.05,639.05,277,0
19,639.05,639.05,639.05,639.05,9,0
20,642.3,642.3,642.3,642.3,3,0
21,640.75,640.75,640.75,640.75,3,0
23,639,639,639,639,100,0
26,639.9,639.9,639,639,37,0
27,642.35,642.35,642.35,642.35,106,0
28,639.9,639.9,639.9,639.9,48,0
29,639.95,643.1,639.95,643.1,4,0
32,643.95,643.95,640,640,61,0
33,640.95,643.95,636.15,643.95,204,0
35,641,641.5,638.5,638.5,4,0
36,639.8,639.8,636.15,636.15,113,0
39,640.65,640.65,639.05,639.05,2,0
40,639,639,639,639,1,0
41,639.65,639.65,639.65,639.65,1,0
43,639,639,639,639,9,0
44,638.85,638.85,638.8,638.8,10,0
45,638.9,638.9,638.9,638.9,1,0
47,638.9,638.9,638,638.05,48,0
48,638.9,638.9,638.9,638.9,1,0
52,638.9,638.9,638.9,638.9,1,0
53,638.05,638.05,636.2,636.2,43,0
54,638.25,638.25,638.25,638.25,1,0
55,638.85,638.85,638.85,638.85,1,0
56,637.3,637.3,637.3,637.3,3,0
58,638.25,638.25,638.25,638.25,1,0
60,636,637,636,637,32,0
63,635.15,635.15,635.15,635.15,25,0
64,634.05,635,633,634.95,134,0
65,631.75,633.95,631.75,633.95,172,0
66,633,633,631.75,631.75,163,0
68,633.05,633.05,633.05,633.05,1,0
69,633.45,633.45,633.45,633.45,1,0
70,633,633.3,633,633.3,52,0
71,634,634,633.5,633.5,4,0
72,634.5,634.5,634.5,634.5,1,0
74,635.9,635.9,635.9,635.9,10,0
75,635.5,635.5,635.05,635.05,2,0
76,632.1,635.55,632.1,635.55,56,0
77,634,634,634,634,1,0
