EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531971960,1995.6,2004.9,1995,2000,50641,0
1,1995.85,1999,1995,1995.1,11526,0
2,1993.95,1995.8,1992.8,1995.8,6956,0
3,1992.95,1993.95,1992,1993.9,3547,0
4,1989.7,1993,1989.25,1992.95,13196,0
5,1990,1992.15,1990,1990,17899,0
6,1992.8,1992.9,1990.05,1990.05,10818,0
7,1995,1995.2,1992.8,1992.8,5340,0
8,1994.8,1995,1993.4,1995,8115,0
9,1995.5,1995.5,1994,1994.8,9005,0
10,1997.25,1997.25,1995.5,1995.5,5197,0
11,1997.25,1997.25,1996.05,1997.25,4547,0
12,1997.9,1997.9,1997.1,1997.15,5440,0
13,1996.2,1997.95,1996.2,1997.65,6077,0
14,1996.85,1997,1996,1996.2,4652,0
15,1997.45,1997.8,1996.7,1996.85,3372,0
16,1996,1997.3,1996,1997.3,4234,0
17,1993.75,1996.35,1993.55,1996,6166,0
18,1996.1,1996.1,1993.25,1993.75,3381,0
19,1994,1996.1,1994,1996,7902,0
20,1993.2,1994.85,1993.2,1994.2,2251,0
21,1993,1993.6,1992.6,1993.2,2425,0
22,1994,1994,1992.85,1993,2355,0
23,1992.25,1995.15,1992,1994,6125,0
24,1993.35,1993.35,1992.25,1992.25,2654,0
25,1993.9,1994,1993.35,1993.35,2005,0
26,1996,1996.1,1994.3,1995,2486,0
27,1995.95,1996,1995.25,1995.75,1791,0
28,1995.5,1996,1995.5,1996,1650,0
29,1995,1995.75,1995,1995.75,1868,0
30,1995.15,1995.45,1995,1995,1692,0
31,1993,1995.25,1993,1995.15,2160,0
32,1994,1994.35,1992.7,1993,4420,0
33,1994.5,1994.5,1994,1994,1293,0
34,1995.6,1995.65,1994.35,1994.35,1718,0
35,1996.1,1996.6,1995.6,1995.6,4854,0
36,1996,1996.8,1996,1996.6,3009,0
37,1996.6,1996.7,1996,1996.35,737,0
38,1996.6,1996.75,1996.6,1996.6,550,0
39,1996,1996.7,1995.55,1996.65,4021,0
40,1995.55,1996,1995,1996,2868,0
41,1994.4,1995.4,1994.1,1995.4,2738,0
42,1995.4,1995.5,1994.05,1994.35,2655,0
43,1994.85,1995.2,1994.5,1994.95,2716,0
44,1994.85,1994.85,1994.35,1994.7,1712,0
45,1996.7,1996.7,1994.85,1994.85,8929,0
46,1994.15,1996.7,1994.05,1996.5,8462,0
47,1994,1994.45,1993.35,1994.1,5861,0
48,1993.5,1995.45,1993.5,1994,7821,0
49,1993.65,1993.85,1993.05,1993.5,1012,0
50,1993.15,1993.5,1993.05,1993.05,696,0
51,1993.3,1993.3,1993.1,1993.3,462,0
52,1992.45,1993.3,1992.15,1993,2266,0
53,1992.1,1992.7,1992,1992.45,705,0
54,1992.45,1992.6,1992.25,1992.35,497,0
55,1993.6,1993.75,1992.25,1992.25,2709,0
56,1993.95,1993.95,1993.6,1993.6,1113,0
57,1993.7,1993.85,1992.45,1993.35,3415,0
58,1993.85,1993.85,1993.05,1993.6,1968,0
59,1993.3,1993.85,1993,1993.85,1120,0
60,1993.35,1993.35,1993,1993.3,551,0
61,1993.5,1993.75,1993.3,1993.35,925,0
62,1993.35,1993.5,1993.35,1993.5,828,0
63,1992.8,1993.5,1992,1993.35,2794,0
64,1992.7,1992.8,1992.35,1992.8,1674,0
65,1992.4,1992.65,1992,1992.5,1468,0
66,1989.1,1991,1989.1,1991,9241,0
67,1986.9,1988.15,1986.9,1988.15,5850,0
68,1987.15,1987.15,1983.4,1987.1,14809,0
69,1987.15,1987.15,1986.8,1987.1,8058,0
70,1984.5,1987.15,1984.5,1987.15,8598,0
71,1984.55,1984.6,1984,1984.5,5236,0
72,1984.55,1985.2,1984.55,1984.55,3219,0
73,1984.6,1985.8,1984.2,1984.45,3973,0
74,1982.6,1984.7,1982.6,1984.55,8220,0
75,1979.5,1982.6,1978.95,1982.6,11240,0
76,1982.35,1982.35,1979.5,1979.5,7671,0
77,1984.05,1984.65,1982.35,1982.35,3825,0
78,1984.5,1984.5,1983.8,1984.35,4024,0
79,1983.45,1984.65,1983.05,1984.3,12010,0
80,1984.45,1984.65,1983.05,1983.05,4827,0
81,1984.55,1984.65,1984.2,1984.6,4310,0
82,1984.65,1984.65,1984.35,1984.4,7523,0
83,1984.6,1984.65,1983.95,1984.65,3166,0
84,1984.4,1984.65,1984,1984,1997,0
85,1983.8,1984.55,1983.8,1984.55,3118,0
86,1983.1,1983.8,1983.1,1983.8,2117,0
87,1982.65,1983.75,1981.4,1983.15,3256,0
88,1981.9,1982.95,1981.9,1982.35,2241,0
89,1982.4,1982.5,1981,1981.95,2477,0
90,1982,1982.65,1981.4,1982.5,3591,0
91,1982.5,1982.5,1981.75,1981.8,1269,0
92,1983.15,1983.45,1982,1982.1,3357,0
93,1982.5,1983,1982.1,1983,2702,0
