EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531971900,2183,2183,2183,2183,69,0
1,2181.45,2186,2180.25,2183.65,30302,0
2,2181.5,2181.5,2178.3,2181.35,8166,0
3,2175.15,2180.95,2175.15,2180.95,6660,0
4,2179.5,2180.45,2175.15,2175.2,4679,0
5,2176.7,2179.7,2176.7,2179.5,5828,0
6,2180.25,2180.8,2176.75,2176.75,3729,0
7,2179.05,2181,2179,2180.3,2960,0
8,2179.7,2180,2179.05,2179.25,3249,0
9,2180.4,2181.95,2179.7,2180,3600,0
10,2183,2183,2180.4,2181,3498,0
11,2183.65,2184,2182.3,2182.75,4308,0
12,2183.2,2184,2182.85,2183.05,6112,0
13,2183.3,2183.9,2182.6,2183.4,3154,0
14,2182.8,2183.3,2182.25,2183.3,1275,0
15,2183.4,2183.5,2181.85,2183,4163,0
16,2181.9,2183.4,2181.9,2183.4,1439,0
17,2180.05,2182.05,2178.1,2181.85,13080,0
18,2178.4,2180.7,2178.4,2179.8,4603,0
19,2179.4,2180,2178.45,2178.45,1063,0
20,2178,2180,2177.4,2179.45,862,0
21,2179.4,2179.4,2177.45,2178,2884,0
22,2180,2180,2178.8,2178.8,2262,0
23,2181.9,2182,2179.9,2180,1194,0
24,2181.55,2183.2,2181.5,2182.5,4480,0
25,2183,2183,2181.5,2182,7166,0
26,2182.6,2184,2182.3,2184,1208,0
27,2182.4,2183,2182.35,2182.7,1376,0
28,2181.95,2182.4,2181.75,2182.35,788,0
29,2181.65,2181.95,2181.65,2181.75,1313,0
30,2180.55,2181.65,2180.55,2181.65,956,0
31,2179.9,2180.6,2179.9,2180.55,4604,0
32,2179.65,2180,2179.65,2179.9,2052,0
33,2181.9,2182,2179.65,2179.85,7589,0
34,2181.5,2183.85,2181.25,2181.25,5649,0
35,2181.4,2181.4,2180,2181.4,1153,0
36,2181.4,2182.1,2180.3,2181.4,4408,0
37,2181.6,2181.9,2181,2181.2,1640,0
38,2181.4,2181.9,2181.3,2181.4,977,0
39,2181.8,2182,2181.5,2181.5,3830,0
40,2182,2182.7,2181.4,2182.4,3234,0
41,2182,2182,2181.8,2182,937,0
42,2181.9,2182,2181.8,2181.95,2747,0
43,2181.1,2181.9,2181,2181.9,843,0
44,2180.25,2181,2180.1,2181,4509,0
45,2178.85,2180.15,2178.15,2180,4432,0
46,2179.5,2180.35,2178.85,2178.85,1735,0
47,2179.1,2179.6,2179.05,2179.5,1276,0
48,2178.3,2179.5,2177.35,2179.1,4455,0
49,2177.7,2178.6,2177,2178.3,4566,0
50,2176.15,2178,2176.1,2177.7,2722,0
51,2175.5,2176.2,2175,2176.15,5839,0
52,2177,2177.4,2175.5,2175.5,14024,0
53,2175,2176.3,2174.9,2176.05,5079,0
54,2175.4,2175.85,2175,2175.2,1992,0
55,2175.35,2175.5,2175.35,2175.5,873,0
56,2176,2176.35,2175.5,2175.5,1492,0
57,2177.45,2177.45,2176,2176,811,0
58,2177.5,2178,2176.95,2177.6,2317,0
59,2178.45,2178.75,2177.5,2177.5,4276,0
60,2177.7,2178.5,2176.4,2178.5,2540,0
61,2176.55,2177.8,2176.2,2177.8,3641,0
62,2176.8,2177,2176.45,2176.55,1187,0
63,2178,2178.85,2176.8,2177,6790,0
64,2178,2179.7,2176.8,2179.35,3315,0
65,2177.75,2177.95,2176.95,2177,1290,0
66,2178.05,2178.9,2178.05,2178.5,983,0
67,2176.85,2178.2,2176.5,2178.05,3279,0
68,2176.95,2176.95,2176,2176.85,1763,0
69,2176.2,2177,2175.3,2176.15,2729,0
70,2176.4,2176.5,2176.2,2176.2,819,0
71,2176.5,2176.7,2176.45,2176.5,939,0
72,2176.45,2176.55,2176.4,2176.5,1256,0
73,2175.1,2176.45,2175,2176.45,8362,0
74,2175.6,2176.1,2175,2175,3318,0
75,2175.65,2176.5,2175.65,2175.65,529,0
76,2175.45,2175.7,2175.45,2175.7,977,0
77,2175.2,2175.45,2175.15,2175.45,1781,0
78,2175.4,2175.4,2175.2,2175.3,670,0
79,2175,2175.35,2175,2175.35,1976,0
80,2173.35,2175.55,2173.35,2175.2,5846,0
81,2174.25,2174.3,2173.55,2173.55,1627,0
82,2172.45,2174.3,2172.2,2174.3,2291,0
83,2171.4,2172.35,2171.1,2172.1,6527,0
84,2171.8,2172,2171.3,2171.5,2445,0
85,2172.7,2172.7,2171.7,2171.85,2723,0
86,2172.05,2172.6,2172,2172.05,2336,0
87,2171.1,2172.25,2171,2172.05,1766,0
88,2171.9,2172,2171,2171.05,3486,0
89,2171.95,2171.95,2171.8,2171.95,1156,0
90,2172.05,2172.05,2171.9,2171.95,1269,0
91,2173,2173.1,2172,2172.05,1857,0
92,2172.85,2173,2172.85,2173,946,0
93,2173.25,2173.35,2172.85,2173,1775,0
94,2173.35,2173.4,2173.2,2173.35,1435,0
