EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,4180.1,4185.15,4169.9,4172,4767,0
1,4156.4,4180.6,4152,4180.6,4078,0
2,4156.5,4163.95,4145.3,4156.45,4432,0
3,4167.85,4167.85,4155.05,4161,596,0
4,4170.55,4170.55,4165.05,4169.65,2653,0
5,4165,4171,4162.05,4171,1594,0
6,4142.15,4164.9,4142.15,4162.1,1490,0
7,4125.25,4149,4125,4149,3248,0
8,4099.35,4122,4099.35,4122,2015,0
9,4060,4100,4055,4100,2851,0
10,4075,4086.85,4063.55,4063.55,1884,0
11,4082,4085.3,4064,4072.45,2601,0
12,4089,4095,4082,4082,2159,0
13,4116.8,4116.8,4087.85,4088,1212,0
14,4112,4125.75,4110,4115,2027,0
15,4100.05,4112.95,4092.3,4110.8,788,0
16,4119.45,4119.9,4103,4103,932,0
17,4126.3,4126.7,4120,4120.1,953,0
18,4121.15,4130,4120,4127.15,496,0
19,4117,4121.15,4113,4121.15,927,0
20,4114,4117,4111.05,4117,267,0
21,4126,4126,4113.95,4113.95,1652,0
22,4120,4126,4120,4126,1092,0
23,4124,4124,4120,4120,316,0
24,4122,4124.95,4121,4124.95,354,0
25,4121.15,4123.95,4115,4120,510,0
26,4120,4124,4120,4121,610,0
27,4125,4125.1,4120,4120,439,0
28,4130.05,4142.2,4123,4123,1009,0
29,4145.8,4145.8,4129.6,4133.4,523,0
30,4144,4145.8,4140,4145.8,354,0
31,4148.95,4148.95,4138.05,4144,296,0
32,4145.3,4149,4145.3,4148.95,801,0
33,4165,4169.95,4145.3,4147.95,2832,0
34,4169,4169,4159.55,4166,1103,0
35,4169,4169,4166,4166,587,0
36,4158,4165,4155.45,4165,535,0
37,4155,4160,4155,4156.05,344,0
38,4150,4155,4145.3,4155,867,0
39,4149.8,4150,4146.7,4146.7,430,0
40,4145.3,4150,4145.3,4146,597,0
41,4137,4146.95,4136,4145.3,640,0
42,4138,4139.9,4137.55,4139.9,232,0
43,4140.15,4140.8,4135.5,4137.65,377,0
44,4141,4149,4141,4146.65,38,0
45,4138,4139.75,4135.15,4135.75,190,0
46,4121,4138,4121,4135.4,1130,0
47,4124,4126.95,4121,4123.6,117,0
48,4118.65,4124,4111.7,4124,505,0
49,4117,4120,4115.95,4115.95,513,0
50,4117.95,4120,4115,4115.95,682,0
51,4117.95,4118,4117,4117.95,208,0
52,4118.2,4120,4118.1,4120,651,0
53,4115,4118.75,4112,4117.95,209,0
54,4119.9,4120,4113.1,4113.1,345,0
55,4117.9,4118.2,4115,4118.2,62,0
56,4110.2,4117,4108.05,4117,755,0
57,4097.2,4110,4096.45,4107.45,998,0
58,4096,4100,4096,4099.95,140,0
59,4098.95,4099,4095,4096.05,174,0
60,4099.3,4099.95,4095.25,4096.45,149,0
61,4100,4100,4096.7,4096.7,303,0
62,4107.1,4109.95,4098.65,4100,919,0
63,4108.05,4110,4107,4107.1,286,0
64,4108.5,4110,4108.5,4110,371,0
65,4109,4110,4108,4108.5,168,0
66,4110,4110,4107,4107,145,0
67,4106,4110,4106,4107.8,130,0
68,4106.15,4108,4106,4108,59,0
69,4106.45,4109.7,4106.2,4106.2,40,0
70,4108,4108,4106.2,4108,155,0
71,4110.75,4115,4106.5,4106.5,766,0
72,4111,4112,4111,4111,99,0
73,4106,4112,4106,4111,228,0
74,4109.75,4109.85,4106,4109.85,100,0
75,4113.35,4113.65,4106.05,4106.1,201,0
76,4113.45,4114.7,4113.4,4113.4,98,0
77,4115,4115,4111.65,4111.65,208,0
78,4114,4115,4114,4114,49,0
79,4114.95,4115,4111.55,4112.75,57,0
80,4112.05,4114,4112.05,4114,7,0
81,4115,4115,4114,4114,202,0
82,4112,4114,4112,4114,20,0
83,4116,4116,4113.2,4113.2,65,0
