EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,555.4,555.4,555.4,555.4,10,0
1,555.4,555.4,555.4,555.4,34,0
2,557.9,557.9,557.9,557.9,10,0
3,556.95,556.95,556.95,556.95,6,0
4,557,559,557,559,23,0
8,557,561.35,557,559.95,228,0
9,562.05,562.05,561.25,561.25,127,0
10,563,563,562.05,562.05,44,0
11,566.55,566.55,564.1,564.1,86,0
12,568,568,568,568,83,0
13,568,568,568,568,45,0
14,568.25,568.25,568,568,53,0
15,568.55,568.55,568.05,568.05,21,0
16,567.6,568.05,567.6,568.05,50,0
17,566.5,567.05,566.5,567.05,64,0
18,565,565,563.55,565,99,0
19,564,564,564,564,1,0
20,563.95,563.95,563.95,563.95,1,0
21,565,565,564,564,44,0
22,564,564,564,564,6,0
23,562.25,562.25,562.25,562.25,44,0
30,562,562,562,562,52,0
35,565,565,564,564,50,0
41,564,564,564,564,3,0
42,563.8,563.8,563.8,563.8,5,0
47,563.9,563.9,563.9,563.9,6,0
49,563.9,563.9,563.9,563.9,11,0
52,564,564,564,564,2,0
59,563.9,563.9,563.9,563.9,1,0
60,563.05,563.05,563.05,563.05,9,0
61,562.15,563,562.15,563,55,0
63,562.25,562.25,562,562,81,0
64,562,562,562,562,50,0
65,566.25,566.25,563,563,95,0
66,567,567.15,567,567,439,0
67,564.9,564.95,564.8,564.8,24,0
69,563.55,563.55,563.55,563.55,50,0
70,560.1,561.45,560.1,561.45,247,0
71,560.1,560.1,560.1,560.1,2,0
74,560.95,560.95,560.95,560.95,1,0
75,560.9,560.9,560.9,560.9,41,0
77,560.95,560.95,560.95,560.95,9,0
78,560.95,560.95,560.95,560.95,5,0
80,560.95,560.95,560.95,560.95,1,0
81,561,561,561,561,15,0
83,561,561,561,561,15,0
