EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,3207.9,3209.95,3205.4,3209.95,2876,0
1,3202,3212.45,3202,3207.6,1995,0
2,3199.1,3204.6,3192.85,3204.6,3001,0
3,3202.3,3202.95,3198.5,3198.5,1330,0
4,3204.45,3206.95,3201,3203.4,1225,0
5,3201.1,3210.75,3201.1,3208,4692,0
6,3210,3210.8,3205.35,3205.35,1080,0
7,3209,3209.95,3205.15,3209.5,794,0
8,3208.9,3209.85,3208.65,3209,350,0
9,3206,3210.6,3206,3209.4,3249,0
10,3209.75,3210,3205.8,3205.8,2577,0
11,3209.7,3210.35,3209.35,3210,388,0
12,3210,3210.5,3209.75,3210.05,851,0
13,3215,3215,3210.5,3210.5,2570,0
14,3227.2,3228.75,3215,3215,4454,0
15,3225.7,3229.1,3224,3228.9,2383,0
16,3226,3226.55,3220.05,3226.55,1207,0
17,3225,3226,3222.2,3226,771,0
18,3222.5,3225.5,3221.5,3224.15,1173,0
19,3222.95,3223.4,3217.3,3222,1488,0
20,3226,3228,3219.05,3222.95,4250,0
21,3225.5,3228.5,3220,3226,1309,0
22,3226.8,3227,3225.3,3226.15,360,0
23,3227,3228.5,3225.3,3226.6,1587,0
24,3231.55,3234,3227,3227,4538,0
25,3232,3234.5,3230.45,3231.55,4497,0
26,3230.05,3233,3230.05,3231.75,1077,0
27,3230.5,3232.5,3230,3231.2,2989,0
28,3230.9,3231.45,3228.4,3230.05,1131,0
29,3230.5,3231,3230,3230.45,935,0
30,3230.5,3230.6,3229,3230.55,2055,0
31,3230.15,3230.5,3229.75,3229.75,1806,0
32,3230.5,3230.65,3229.85,3230.15,1219,0
33,3230.45,3231,3230,3230.25,1292,0
34,3230.05,3230.75,3230,3230.5,2032,0
35,3230.3,3231,3230,3230.05,1979,0
36,3233,3233,3229.15,3231,1326,0
37,3240.95,3240.95,3232,3233,4407,0
38,3245.95,3246.4,3240.95,3242,5818,0
39,3245.1,3247,3244.55,3245,2129,0
40,3247,3247,3245.05,3245.55,2059,0
41,3246,3247,3245.05,3247,1683,0
42,3251,3251,3245.05,3245.05,7642,0
43,3251.05,3256,3250,3251,4301,0
44,3253,3253.55,3250,3251.3,1846,0
45,3249.5,3252.75,3249.5,3252.75,3760,0
46,3251.95,3252,3249,3249,1879,0
47,3251.5,3252,3250,3251,721,0
48,3251.6,3253,3250,3251.4,968,0
49,3251,3252,3250,3252,607,0
50,3250.25,3251.4,3249.05,3251.4,1214,0
51,3251,3251,3250,3250.95,1643,0
52,3243.25,3251,3242.25,3251,2989,0
53,3247.05,3248.1,3242.6,3243,2168,0
54,3250,3250.45,3247.15,3247.15,2380,0
55,3251.85,3252,3250,3251,996,0
56,3248.4,3251.9,3248.4,3251.5,562,0
57,3250,3251,3247.15,3247.5,1610,0
58,3250,3251,3245.8,3250.6,3918,0
59,3250.1,3251,3249,3250.55,1502,0
60,3243.05,3250.4,3243.05,3250.1,3434,0
61,3237.6,3244.6,3233.6,3244.6,3215,0
62,3239.2,3239.85,3238.05,3238.8,1098,0
63,3238,3241,3233.4,3239.55,1619,0
64,3236.55,3238.15,3236.55,3238.1,1669,0
65,3241.85,3242.3,3236.6,3236.6,590,0
66,3238,3242.1,3238,3242.1,842,0
67,3238,3239,3238,3239,896,0
68,3232.9,3238.25,3232,3238.25,827,0
69,3235,3236.35,3232.5,3233.2,1467,0
70,3235,3238,3233,3235,3171,0
71,3236.4,3237,3235,3235.5,908,0
72,3236.05,3237.35,3236.05,3237.35,415,0
73,3236.25,3236.6,3235,3236.6,933,0
74,3237.5,3237.9,3236,3237.2,451,0
75,3237.5,3237.5,3236,3237.1,441,0
76,3238.5,3239,3237.05,3237.3,401,0
77,3239,3239.45,3237,3238.4,3647,0
78,3240,3245,3239,3240,4170,0
79,3244.85,3248,3240,3242.35,9103,0
80,3243.95,3244.85,3239.2,3244.85,1438,0
81,3243.15,3244.15,3242,3242.85,830,0
82,3245,3246.95,3242.1,3243.1,3953,0
83,3244.8,3245.5,3244.8,3245.5,2443,0
84,3245.05,3245.25,3244.75,3245,3134,0
85,3245,3245.5,3242.55,3245.05,1601,0
86,3243.75,3245.5,3242,3245,1169,0
87,3243.15,3244.15,3241.1,3242.75,797,0
88,3244.2,3246,3241.15,3244.65,2048,0
89,3245.6,3245.6,3243.75,3245.05,2045,0
90,3245.5,3246.95,3244.45,3246.15,492,0
91,3245.5,3245.5,3245,3245.4,396,0
92,3245.7,3246,3244.7,3245,389,0
93,3245,3246,3245,3245.75,1303,0
94,3246,3246,3245.05,3245.05,185,0
95,3245.95,3246,3245,3245.65,769,0
96,3245.55,3246,3245.2,3245.95,346,0
97,3245,3246,3243.7,3245.45,1299,0
98,3245.55,3246,3245.2,3246,138,0
99,3245.7,3246,3244.45,3246,1331,0
100,3246,3246,3245,3245.15,239,0
