EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533095160,213.3,214.75,213,214.35,129635,0
1,214.4,214.4,213.1,213.25,76114,0
2,213.3,214.4,213.3,214.25,87335,0
3,213.85,213.85,213.05,213.35,47185,0
4,213.75,214.15,213.6,213.9,63832,0
5,213,213.75,212.85,213.75,99782,0
6,212.7,213.1,212.6,213,33169,0
7,212.45,212.85,212.15,212.8,71752,0
8,212.5,212.6,212.3,212.35,26059,0
9,212.25,212.65,212.05,212.45,102298,0
10,212.2,212.35,211.55,212.15,108085,0
11,212.65,212.95,212.05,212.15,41267,0
12,212.65,213.05,212.5,212.65,28967,0
13,212.5,212.8,212.15,212.8,36074,0
14,212,212.5,211.7,212.35,57851,0
15,211.9,212.1,211.6,211.95,25766,0
16,212.05,212.15,211.75,212,28893,0
17,212,212.2,211.8,212.2,30577,0
18,212.35,212.35,211.85,211.9,25806,0
19,212.05,212.35,211.9,212.35,16341,0
20,211.9,212.05,211.8,212,19093,0
21,211.6,211.9,211.45,211.9,57909,0
22,211.35,211.65,211.25,211.6,30486,0
23,211.25,211.4,211.1,211.35,26492,0
24,211.05,211.3,211,211.25,57401,0
25,211.1,211.45,210.9,211.05,37760,0
26,211.25,211.4,211.1,211.25,24345,0
27,211.5,211.6,211.15,211.2,28509,0
28,211.6,212,211.5,211.5,63712,0
29,211.9,212.1,211.5,211.65,47690,0
30,211.95,212,211.7,211.75,6901,0
31,212.1,212.15,211.9,211.95,18861,0
32,212.7,212.7,212.05,212.05,32273,0
33,212.65,212.75,212.45,212.75,25878,0
34,212.65,212.65,212.45,212.55,19972,0
35,212.85,212.95,212.65,212.65,29776,0
36,212.9,212.95,212.8,212.85,18761,0
37,212.8,212.9,212.7,212.8,14088,0
38,212.5,212.8,212.5,212.75,64250,0
39,211.8,212.4,211.8,212.35,89901,0
40,211.95,212.1,211.7,211.85,17698,0
41,211.8,211.95,211.6,211.95,14538,0
42,211.8,211.85,211.55,211.8,12583,0
43,211.95,211.95,211.6,211.8,15176,0
44,211.8,212,211.75,211.95,9610,0
45,212,212,211.75,211.8,7328,0
46,211.9,212,211.8,211.95,19223,0
47,212,212,211.65,211.9,58293,0
48,211.3,212,211.3,211.95,84956,0
49,211.55,211.6,211.3,211.4,14712,0
50,211.6,211.75,211.5,211.5,7696,0
51,211.6,211.9,211.6,211.6,24488,0
52,211.75,211.8,211.6,211.8,7559,0
53,211.7,211.9,211.6,211.7,23202,0
54,211.25,211.7,211.05,211.65,56512,0
55,212.05,212.15,211.25,211.4,47513,0
56,212.5,212.75,212,212.05,54682,0
57,212.4,212.6,212.35,212.6,18410,0
58,212.35,212.45,212.25,212.35,17746,0
59,212.4,212.45,212.2,212.35,11941,0
60,212.15,212.35,212.15,212.3,4775,0
61,212.1,212.2,212,212.2,21076,0
62,211.85,212.15,211.75,212.15,11499,0
63,211.75,211.95,211.7,211.95,10666,0
64,212.1,212.15,211.75,211.75,19175,0
65,211.95,212.1,211.9,212.05,9423,0
66,211.9,212.1,211.9,211.95,7218,0
67,211.8,211.9,211.75,211.85,5293,0
68,212.05,212.25,211.7,211.8,15792,0
69,212.1,212.2,212,212.2,5062,0
70,212.15,212.3,212.1,212.15,8852,0
71,212.2,212.4,212.15,212.15,21143,0
72,212.25,212.35,212.2,212.2,14898,0
73,212.2,212.4,212.2,212.35,4690,0
74,212.1,212.3,212.05,212.3,17557,0
75,211.9,212.05,211.85,212.05,8505,0
76,212,212,211.8,211.9,4921,0
77,212,212.1,211.85,212,11604,0
78,211.9,212,211.9,212,12594,0
79,212,212,211.85,211.9,7614,0
80,211.95,212.1,211.85,212,7111,0
81,211.9,212.1,211.9,211.95,3698,0
82,211.9,212.1,211.9,212,2511,0
83,212.25,212.3,211.95,211.95,10147,0
84,212.3,212.45,212.25,212.35,8270,0
85,212.3,212.4,212.25,212.3,5826,0
86,212.7,212.9,212.2,212.3,78064,0
87,212.95,213,212.7,212.85,43999,0
88,213,213.1,212.9,212.9,62929,0
89,213.25,213.25,213.05,213.1,30369,0
90,213.35,213.5,213.1,213.25,38676,0
91,213.65,213.8,213.35,213.4,65773,0
92,213.7,213.85,213.5,213.55,104262,0
93,213.25,213.7,213.25,213.7,51692,0
94,212.8,213.3,212.8,213.3,43858,0
95,212.75,212.9,212.7,212.8,22033,0
96,212.6,212.8,212.55,212.7,15882,0
97,212.85,213,212.55,212.55,19460,0
98,212.8,212.9,212.75,212.75,5138,0
99,212.55,212.85,212.55,212.85,9666,0
100,212.55,212.6,212.4,212.6,11793,0
101,212.65,212.65,212.45,212.5,7095,0
102,212.8,212.85,212.6,212.65,4329,0
103,212.65,212.8,212.55,212.8,10837,0
104,212.35,212.6,212.35,212.6,18303,0
105,212.45,212.45,212.3,212.35,14629,0
106,212.4,212.5,212.35,212.45,4500,0
