EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,54.55,54.55,54.15,54.2,7418,0
1,54.6,54.85,54.6,54.65,7101,0
2,54.35,54.8,54.3,54.55,4411,0
3,54.6,54.6,54.35,54.35,915,0
4,54.35,54.55,54.35,54.5,1101,0
5,54.45,54.45,54.35,54.35,615,0
6,54.5,54.5,54.4,54.45,2545,0
7,54.5,54.55,54.35,54.5,2413,0
8,54.4,54.5,54.4,54.5,1119,0
9,54.4,54.55,54.3,54.35,9421,0
10,54.45,54.65,54.45,54.55,3989,0
11,54.55,54.55,54.45,54.55,3970,0
12,54.6,54.6,54.45,54.55,3413,0
13,54.55,54.6,54.5,54.6,1459,0
14,54.7,54.7,54.5,54.65,6780,0
15,54.45,54.6,54.45,54.6,2248,0
16,54.6,54.6,54.45,54.6,3902,0
17,54.6,54.6,54.45,54.45,2729,0
18,54.6,54.6,54.55,54.6,1151,0
19,54.4,54.5,54.4,54.5,4652,0
20,54.4,54.45,54.4,54.45,2253,0
21,54.45,54.45,54.4,54.4,1153,0
22,54.35,54.45,54.3,54.4,3886,0
23,54.4,54.5,54.4,54.4,2897,0
24,54.45,54.5,54.35,54.4,425,0
25,54.3,54.4,54.3,54.4,2554,0
26,54.25,54.3,54.25,54.3,5585,0
27,54.25,54.25,54.25,54.25,108,0
28,54.3,54.3,54.2,54.25,2159,0
29,54.2,54.35,54.2,54.35,1029,0
30,54.15,54.2,54.15,54.2,702,0
31,54.15,54.15,54.15,54.15,767,0
32,54.15,54.15,54.15,54.15,120,0
33,54.25,54.25,54.15,54.2,3471,0
34,54.25,54.25,54.15,54.15,141,0
35,54.2,54.25,54.2,54.25,505,0
36,54.25,54.25,54.2,54.2,731,0
37,54.25,54.25,54.15,54.2,718,0
38,54.15,54.2,54.15,54.2,680,0
39,54.15,54.2,54.15,54.15,485,0
40,54.15,54.2,54.15,54.2,534,0
41,54.1,54.15,54.1,54.15,896,0
42,54.2,54.2,54.1,54.1,1796,0
43,54.1,54.1,54.1,54.1,794,0
44,54.1,54.1,54.1,54.1,688,0
45,54.05,54.1,54,54.1,1582,0
46,54.15,54.15,54,54,3617,0
47,53.85,54.2,53.75,54.05,8602,0
48,53.95,54.05,53.75,53.75,9991,0
49,54.05,54.1,53.95,54,11370,0
50,54.05,54.1,54,54.05,1777,0
51,54,54.1,54,54.05,2032,0
52,53.95,54,53.75,54,6404,0
53,54,54.05,53.95,53.95,2572,0
54,54.05,54.1,54,54,5347,0
55,54.05,54.1,54.05,54.1,1189,0
56,54.05,54.05,54.05,54.05,353,0
57,54,54.05,54,54.05,15,0
58,54.05,54.05,54.05,54.05,10859,0
59,54,54.1,53.95,54.1,4590,0
60,54,54,54,54,100,0
61,54,54,53.95,53.95,3819,0
62,54,54.05,54,54,5870,0
63,54,54,54,54,542,0
64,54.05,54.05,54,54,1267,0
65,54,54.05,54,54.05,1657,0
66,54,54,53.95,54,1931,0
67,54.05,54.05,53.95,53.95,6516,0
68,54,54.05,54,54,350,0
69,54.1,54.1,54,54,217,0
71,54.05,54.05,54.05,54.05,342,0
72,54.05,54.05,54.05,54.05,584,0
73,54.05,54.05,54.05,54.05,171,0
74,54.1,54.1,54,54,497,0
76,54.1,54.1,54.1,54.1,768,0
77,54.2,54.2,54,54,2656,0
78,54.15,54.2,54.15,54.15,594,0
79,54.15,54.15,54.05,54.05,51,0
81,54.15,54.15,54.1,54.15,204,0
83,54.05,54.1,54.05,54.1,1225,0
84,54.15,54.15,54.05,54.05,1767,0
