EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532922360,287.5,287.8,284.55,284.55,50381,0
1,287.3,288.65,287.25,287.85,31054,0
2,287.95,287.95,286.1,286.9,20509,0
3,288.4,288.5,287.75,287.9,36690,0
4,287.85,288.5,287.25,288.35,20285,0
5,287.1,288.2,286.95,287.8,45602,0
6,287.85,287.85,287.15,287.2,15394,0
7,288.35,288.55,287.8,287.8,34243,0
8,288.85,289.6,288.3,288.5,53665,0
9,288.5,289.25,288.1,288.9,24339,0
10,288.9,289.35,288.55,288.7,19563,0
11,288.2,289,288,289,14807,0
12,289.2,289.25,288.25,288.25,37261,0
13,289.3,289.8,289.1,289.25,34482,0
14,289,289.8,288.9,289.3,39378,0
15,289,289.05,288.75,288.8,17839,0
16,290.2,290.2,288.85,289,73139,0
17,291.35,291.45,290.05,290.05,87688,0
18,291.5,291.8,291.1,291.5,43043,0
19,292.7,292.85,291.5,291.5,98294,0
20,292.95,293.15,292.65,292.65,128548,0
21,292.95,293,292.7,293,64453,0
22,293.05,293.35,292.8,292.85,57440,0
23,293.25,293.5,293.05,293.1,56832,0
24,292.6,293.35,292.6,293.35,55701,0
25,292.8,293.15,292.45,292.8,45318,0
26,292.9,293,292.65,292.8,20870,0
27,292.65,292.95,292.5,292.7,72223,0
28,292.5,293,292.5,292.65,52049,0
29,292.9,292.95,292.5,292.7,21313,0
30,293,293.2,292.75,292.95,61861,0
31,292.3,293.1,291.9,293,70530,0
32,291.55,292.15,291.4,292.1,33912,0
33,291.55,291.6,291.1,291.45,28253,0
34,292,292,291.4,291.55,10043,0
35,292.5,292.55,291.9,291.9,19590,0
36,292.2,292.55,292.05,292.55,18236,0
37,291.5,292.2,291.45,292,21724,0
38,291.8,292,291.45,291.5,13178,0
39,292.05,292.35,291.65,291.8,15826,0
40,292,292.3,291.85,292.25,16105,0
41,291.7,292.15,291.6,292.1,13076,0
42,291.1,291.75,291.1,291.75,21763,0
43,291.8,291.85,291.1,291.15,12580,0
44,292,292,291.65,291.65,7127,0
45,292.05,292.2,291.85,292,10632,0
46,291.85,292.15,291.8,292.15,9539,0
47,291.2,291.95,291.2,291.9,11550,0
48,290.95,291.4,290.25,291.2,65090,0
49,291,291.4,290.75,291.2,16652,0
50,290.95,291.2,290.5,290.8,48027,0
51,290.85,291,290.7,290.85,8334,0
52,290.85,291,290.6,290.8,15161,0
53,290.95,291.3,290.8,290.85,21685,0
54,290.55,290.9,290.45,290.85,15371,0
55,290.65,290.9,290.6,290.65,11541,0
56,290.6,290.75,290.55,290.65,13081,0
57,290,290.7,290,290.6,33155,0
58,290.05,290.35,290,290.05,24451,0
59,290.2,290.5,289.75,290.1,39784,0
60,290.05,290.3,289.85,290.2,22233,0
61,289.6,290.05,289.35,289.9,31309,0
62,290,290,289.5,289.5,21115,0
63,290.4,290.45,289.55,289.95,20430,0
64,290.15,290.45,290,290.25,18117,0
65,290.55,290.85,290.15,290.25,18495,0
66,290.65,290.75,290.2,290.7,14024,0
67,290.2,290.7,290.2,290.45,12869,0
68,290.4,290.4,290.2,290.35,14455,0
69,290,290.4,289.75,290.25,14906,0
70,289.9,290,289.75,289.8,14804,0
71,290,290,289.8,289.85,4628,0
72,289.95,290.4,289.8,289.95,18026,0
73,289.95,290,289.8,289.9,5581,0
74,289.95,290.25,289.8,289.95,14195,0
75,289.85,290.1,289.65,290.1,19208,0
76,290,290,289.7,289.7,16976,0
77,289.75,290.2,289.5,290,32161,0
78,290.3,290.35,289.7,289.95,14692,0
79,290.55,290.55,290.2,290.2,9872,0
80,290.7,290.75,290.4,290.5,8984,0
81,290.6,290.85,290.6,290.75,9798,0
82,290.65,290.8,290.3,290.6,6862,0
83,291.5,291.7,290.45,290.6,44820,0
84,291.5,291.75,291.1,291.45,17500,0
85,291.7,292,291.4,291.45,21449,0
86,291.7,291.8,291.4,291.8,16840,0
87,291.25,291.75,291.05,291.65,13458,0
88,291.05,291.25,291,291.25,6836,0
89,290.95,291.05,290.8,291.05,10246,0
90,290.85,291,290.85,291,7275,0
91,291.2,291.2,290.7,290.85,12283,0
92,291.4,291.45,291.05,291.2,7172,0
