EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1668,1670.1,1665.05,1667.65,13790,0
1,1667.95,1668.35,1665.55,1667.2,4041,0
2,1667.2,1667.55,1666,1667.05,4956,0
3,1667.35,1670.2,1667.25,1667.25,12983,0
4,1667.65,1668,1666.55,1667.3,2772,0
5,1667.1,1668.65,1666.8,1667.85,2315,0
6,1668,1668.9,1666.25,1667.15,4136,0
7,1663.5,1668.75,1663.5,1668.75,5453,0
8,1661.1,1664.4,1660.6,1663.45,6738,0
9,1663.5,1663.6,1661.1,1661.1,2877,0
10,1664,1664.8,1662.85,1662.9,2400,0
11,1665.8,1666.2,1664,1664.05,2400,0
12,1665.9,1667.15,1664.75,1665.2,3704,0
13,1665.55,1666.85,1665,1665,1686,0
14,1667.25,1667.9,1665.55,1665.8,2219,0
15,1667.5,1668.65,1667.25,1667.45,2929,0
16,1666.05,1667.85,1665.85,1667.75,1632,0
17,1666.15,1667.5,1666,1667.1,2045,0
18,1665.75,1666.15,1665.5,1666,1054,0
19,1664.05,1665.75,1664,1665.75,1263,0
20,1664,1664.3,1663.2,1664.05,1630,0
21,1665.25,1665.25,1663.7,1663.75,1330,0
22,1665.6,1666.2,1664.95,1665.25,1870,0
23,1666.6,1668,1663.7,1664,2760,0
24,1668,1668.4,1666.25,1667.1,745,0
25,1668.05,1668.8,1667.2,1668.4,5161,0
26,1666.1,1669.3,1666.1,1667.8,6206,0
27,1666.5,1666.5,1664,1666.05,4227,0
28,1667.1,1668.5,1666.55,1666.9,4761,0
29,1667.55,1668,1666.75,1667.15,2644,0
30,1665.4,1666.85,1665.4,1666.85,2505,0
31,1665.35,1665.45,1664.2,1665,1941,0
32,1667.5,1667.5,1665.05,1665.05,832,0
33,1666.95,1667.95,1666.4,1667.5,1929,0
34,1667.95,1667.95,1667.05,1667.75,637,0
35,1667.3,1668.45,1667.15,1667.95,2296,0
36,1666.25,1667.2,1666.15,1667.2,996,0
37,1667.4,1667.4,1666.25,1667.05,466,0
38,1669.3,1670.7,1667.25,1667.5,5233,0
39,1669.55,1671.5,1669,1669.3,4134,0
40,1669.5,1670,1668.6,1669.85,1303,0
41,1669.9,1670,1669.05,1669.9,1040,0
42,1669.7,1670,1669.4,1669.9,2013,0
43,1670,1670,1669.7,1669.7,2820,0
44,1670,1670,1669.65,1670,3521,0
45,1669.5,1670,1668.65,1669.7,3080,0
46,1670,1670,1669.5,1669.5,2090,0
47,1669.7,1670,1669.7,1669.85,2147,0
48,1669.95,1670.05,1669.65,1669.8,2684,0
49,1670,1670,1669.75,1669.75,1039,0
50,1670,1670.7,1669.85,1669.85,1084,0
51,1669.8,1670,1669.25,1670,988,0
52,1669.6,1670,1669.6,1669.9,1372,0
53,1669.2,1669.9,1669,1669.6,1998,0
54,1669.3,1669.85,1669,1669.2,705,0
55,1669.3,1669.8,1669.1,1669.3,582,0
56,1668.05,1669.8,1668.05,1669.45,2664,0
57,1666.3,1668.65,1666.3,1668.3,1756,0
58,1663.55,1666.5,1663,1666.5,5575,0
59,1665.85,1665.85,1663.7,1663.7,4288,0
60,1666.5,1666.75,1665.75,1665.75,1529,0
61,1666.9,1667,1666.2,1667,807,0
62,1667.5,1667.5,1666.45,1666.9,1841,0
63,1667.45,1667.65,1666.7,1667.5,1344,0
64,1671,1671,1667.3,1667.3,3097,0
65,1668.9,1671,1668.65,1670.55,4742,0
66,1669.75,1669.75,1667.15,1668,1551,0
67,1667.6,1670,1667.6,1669.3,4444,0
68,1668.95,1669,1667.45,1667.45,633,0
69,1669.85,1670,1668.95,1668.95,1507,0
70,1668.45,1669.85,1668.35,1669.85,1857,0
71,1669.65,1669.85,1668.4,1668.4,818,0
72,1669.8,1669.85,1669.5,1669.7,938,0
73,1670,1670,1669.7,1669.85,1191,0
74,1668.3,1669.95,1667.75,1669.95,1394,0
75,1668.3,1669.4,1668,1669.35,1954,0
76,1669,1669.35,1668.3,1668.3,1986,0
77,1669.45,1670.05,1668.8,1669,1448,0
78,1669.9,1670.05,1669.5,1669.5,894,0
79,1670,1670.25,1669.5,1669.9,1180,0
80,1669.1,1670.75,1669.1,1670,1653,0
81,1669.1,1669.5,1669.1,1669.1,1185,0
82,1669.45,1669.65,1668.75,1669.1,1559,0
83,1669.7,1670.5,1668.95,1669.45,3700,0
84,1670,1670,1668.95,1669.75,876,0
