EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,19296.4,19380,19296.3,19380,4,0
1,19386.95,19386.95,19300,19300,2,0
2,19450,19450,19385,19385,58,0
3,19732.95,19875,19479,19480,78,0
4,19901.05,19991,19861.75,19861.75,42,0
5,20500,20500,19999,19999,123,0
6,20350,20550,20220.7,20501,59,0
7,20400,20600,20302.35,20350,92,0
8,20581.4,20600,20499,20590,50,0
9,19990.8,20599,19990.8,20555,385,0
10,19863.65,20000,19863.65,19989.25,192,0
11,19847.25,19967,19800,19967,29,0
12,19944,19944,19820,19820,40,0
13,19949,19949,19833.05,19928,27,0
14,19945,19949,19945,19948.95,13,0
15,19900,19940,19883.75,19940,31,0
16,19900,19900,19900,19900,14,0
17,19900,19900,19865,19865,50,0
18,19900,19900,19800.05,19865,48,0
19,19899.8,19899.8,19899.8,19899.8,1,0
20,19898.2,19898.2,19898.2,19898.2,3,0
21,19850,19896.9,19850,19890,7,0
22,19850,19894.95,19850,19894.95,3,0
23,19887.95,19887.95,19887.95,19887.95,1,0
24,19900,19900,19898,19898,15,0
25,19800,19800,19800,19800,36,0
26,19842.05,19899,19842.05,19899,18,0
27,19893.2,19897,19879.95,19897,14,0
28,19900,19900,19871.95,19893.2,62,0
29,19894.35,19900,19894.35,19900,3,0
31,19900,19900,19900,19900,15,0
33,19900,19900,19900,19900,62,0
34,19900,19900,19900,19900,6,0
36,19900,19900,19900,19900,35,0
38,19900,19900,19900,19900,13,0
39,19900,19900,19850.05,19900,9,0
40,19850,19850,19850,19850,9,0
42,19920,19920,19851.05,19900,4,0
44,19919,19919,19919,19919,5,0
45,19901.65,19950,19901.65,19950,5,0
47,19900,19900,19900,19900,3,0
49,19900.05,19900.05,19900.05,19900.05,2,0
50,19920,19920,19920,19920,4,0
51,19900.55,19900.55,19900.55,19900.55,1,0
53,19995.2,19996,19995.2,19996,5,0
54,20000,20000,19995.95,19996,166,0
55,20000,20000,19926.95,20000,177,0
56,19999.95,20000,19999.95,20000,104,0
57,19920.45,19920.45,19920.45,19920.45,12,0
58,19960,20000,19960,20000,6,0
59,20000,20014.95,19980,20014.95,33,0
60,19941.05,19941.05,19941.05,19941.05,1,0
61,20000,20000,19941.05,19941.05,2,0
62,19901,19901,19901,19901,2,0
65,19900.5,19900.55,19900.5,19900.55,2,0
67,19900.5,19920,19900.5,19920,3,0
70,19920,19920,19900.5,19900.5,2,0
71,19920,19920,19920,19920,4,0
73,19910,19910,19910,19910,2,0
75,19901.05,19901.05,19901.05,19901.05,1,0
76,19900.1,19901.05,19900.1,19901.05,6,0
77,19900.1,19900.1,19900.1,19900.1,5,0
81,19920,19920,19920,19920,4,0
