EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,147.5,148.3,147.5,148.3,14900,0
1,148.6,148.85,147.55,147.6,11026,0
2,147.85,148.6,147.75,148.6,6822,0
3,149.1,149.15,147.6,147.7,14343,0
4,149.3,149.3,148.6,149.25,22000,0
5,148.4,149.15,148.4,149.15,6829,0
6,148.55,148.95,148.35,148.4,9103,0
7,148.35,148.7,148.25,148.55,4440,0
8,148.75,148.95,148.45,148.5,4320,0
9,149.1,149.15,148.65,148.75,5064,0
10,149.6,149.8,149.15,149.15,22628,0
11,150,150.25,149.7,149.7,39761,0
12,149.95,150.15,149.8,150,21412,0
13,150.45,150.55,150,150,13494,0
14,150.2,150.45,150.05,150.3,14945,0
15,149.8,150.2,149.6,150.05,13246,0
16,149.65,149.8,149.5,149.7,8217,0
17,149.7,149.75,149.65,149.65,1250,0
18,149.8,149.8,149.65,149.7,10383,0
19,149.3,149.65,149.2,149.55,8283,0
20,149.2,149.35,149.1,149.3,3256,0
21,149.45,149.55,149.15,149.2,7204,0
22,149.15,149.45,149.15,149.45,3542,0
23,148.7,149.2,148.7,149.15,10764,0
24,149.35,149.35,148.95,149,8185,0
25,149.3,149.7,149.3,149.4,5229,0
26,149.65,149.8,149.35,149.35,6083,0
27,149.65,149.8,149.65,149.65,2453,0
28,149.8,149.8,149.6,149.65,694,0
29,149.65,149.8,149.65,149.8,2751,0
30,149.35,149.6,149.35,149.6,1632,0
31,149.2,149.6,149,149.35,5325,0
32,149.7,149.7,149.25,149.4,5632,0
33,149.2,149.55,149.2,149.45,1330,0
34,149.3,149.4,149.1,149.2,3127,0
35,149.3,149.35,149.2,149.2,2513,0
36,149.1,149.35,148.85,149.35,5491,0
37,149,149.35,149,149.35,3552,0
38,148.9,149.1,148.85,149.1,2085,0
39,148.75,148.85,148.6,148.8,6131,0
40,148.95,148.95,148.6,148.75,3195,0
41,148.65,148.9,148.6,148.9,2054,0
42,148.8,148.9,148.6,148.65,9462,0
43,148.65,148.75,148.65,148.75,861,0
44,148.6,148.65,148.5,148.65,1241,0
45,148.45,148.6,148.45,148.6,5182,0
46,148.55,148.6,148.3,148.3,3215,0
47,148.5,148.7,148.3,148.65,8120,0
48,148.6,148.8,148.25,148.3,8509,0
49,148.75,148.95,148.4,148.55,2775,0
50,148.75,148.9,148.7,148.85,1343,0
51,148.65,148.8,148.65,148.8,1430,0
52,148.75,148.9,148.65,148.75,846,0
53,149.2,149.2,148.65,148.65,3552,0
54,149.35,149.35,149.05,149.2,3823,0
55,149.95,150,149.2,149.2,16802,0
56,149.5,150,149.5,149.95,4663,0
57,148.95,149.5,148.95,149.5,5107,0
58,148.9,148.95,148.8,148.9,977,0
59,148.65,149,148.6,149,8744,0
60,148.65,148.65,148.45,148.6,3365,0
61,148.8,148.8,148.6,148.6,1408,0
62,149.3,149.3,148.7,148.8,4745,0
63,149.1,149.25,149.1,149.1,411,0
64,149.1,149.2,148.65,149.2,3816,0
65,148.7,149,148.7,149,253,0
66,148.9,148.9,148.65,148.7,651,0
67,148.75,148.8,148.55,148.8,4754,0
68,148.6,148.75,148.6,148.65,595,0
69,148.6,148.75,148.6,148.65,815,0
70,148.5,148.65,148.35,148.55,4497,0
71,148.4,148.55,148.35,148.5,2052,0
72,148.6,148.6,148.35,148.4,2435,0
73,148.55,148.7,148.4,148.4,2902,0
74,149.65,149.9,148.6,148.6,15727,0
75,149.5,149.9,149.5,149.65,5199,0
76,149.1,149.5,149,149.5,1788,0
77,149.2,149.25,149.05,149.1,1540,0
78,149.1,149.3,149,149.3,1830,0
79,149.25,149.25,149,149,1941,0
80,149.5,149.5,149.25,149.25,2571,0
81,149.25,149.45,149.15,149.4,635,0
82,149.15,149.3,149,149.1,880,0
83,149,149.25,149,149.05,1192,0
84,149.1,149.15,149.1,149.15,175,0
