EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,505,505,504.8,504.8,462,0
1,509.8,509.8,508,508,899,0
2,511,511,509,509,9710,0
3,511,513.95,511,511,628,0
4,513.95,514.9,509,514,3510,0
5,512,513,510,513,83,0
6,512,512,510.1,510.1,540,0
7,510.3,510.3,510.3,510.3,245,0
8,509,512,509,512,806,0
9,510,512,509,509,91,0
10,508,509,508,509,734,0
11,510,510,508.95,508.95,3259,0
12,512,513.5,512,512,4708,0
13,512,513.5,512,513,2503,0
14,510,512.5,510,512.5,844,0
15,505,508.25,505,508.25,520,0
16,509.9,510,506,506,1003,0
17,506.2,506.2,506.2,506.2,12,0
19,512,512,507,507,4250,0
20,509,512,507,509,463,0
21,507,511.95,507,511.95,42,0
22,506.05,506.05,506,506,62,0
23,505.1,508,505.1,508,300,0
24,505,505.15,505,505.15,4881,0
25,508,508,505,505,470,0
26,505.25,505.25,505.1,505.1,60,0
27,505.25,505.25,505.25,505.25,16,0
28,505.25,507,505.25,507,141,0
29,507,507,505.25,505.25,443,0
30,507,509.95,507,508,850,0
31,505.5,509.9,505.5,509.9,11,0
32,509.85,509.85,509.85,509.85,1,0
33,509.85,509.85,509.85,509.85,100,0
34,505.75,509,505.75,509,85,0
35,506,509,505.6,509,313,0
36,508.95,508.95,508.95,508.95,10,0
37,510,510,506,508.95,2053,0
38,509,509.8,506,506,29,0
39,506,506,506,506,120,0
40,506.1,506.1,506.1,506.1,4,0
41,509.7,509.7,506.1,506.1,115,0
43,511,511.75,510,510,3795,0
44,507,507,507,507,250,0
45,509,509,507,507,100,0
46,509.8,509.8,509.8,509.8,1,0
47,509,509.8,506.2,509.8,54,0
48,509,509,506.3,506.3,4,0
49,506.8,506.8,506.8,506.8,10,0
50,509,509,507,508.5,5013,0
51,509,509.7,507,507,515,0
53,510,510,510,510,185,0
55,509.9,509.9,509.9,509.9,13,0
57,510,510,509.9,509.9,200,0
58,506.5,509.9,506.5,509.9,222,0
59,506.5,506.5,506.5,506.5,57,0
60,509.5,509.5,509,509,17,0
61,506.5,506.5,506.5,506.5,35,0
62,509.9,509.9,509,509.9,140,0
63,509.9,509.9,509.9,509.9,20,0
64,506.5,506.5,506.5,506.5,75,0
65,506.5,507.95,506.5,506.5,251,0
66,506.5,508,506.5,506.5,141,0
67,506.5,508,506.5,508,53,0
68,506.5,506.5,506.5,506.5,295,0
69,508,508,508,508,25,0
70,508,508,506.5,506.5,540,0
71,508,508,508,508,1,0
72,509.6,509.6,509.6,509.6,50,0
73,508,508,508,508,2,0
74,506.5,506.5,506.5,506.5,50,0
75,506.5,508,506.5,506.5,42,0
77,508,508,508,508,26,0
78,509,509,509,509,25,0
79,506.5,508,506.5,508,50,0
80,506.5,506.5,506.5,506.5,1,0
81,507,507,506.5,506.5,130,0
83,508.95,508.95,508,508,182,0
84,510,510,508.9,508.9,4884,0
