EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,766.6,769.75,766.15,769.75,330,0
1,767.65,767.9,767,767,210,0
2,767.8,767.9,766.6,767.9,259,0
3,767.8,769.95,767.8,767.85,365,0
4,767.8,769.75,767.8,769.4,361,0
5,769.7,769.85,769.7,769.75,260,0
6,769.6,769.6,769.05,769.05,153,0
7,769.5,769.9,767.75,769.05,1266,0
8,770.1,770.6,770.05,770.6,76,0
9,772.5,772.5,770.65,770.65,390,0
10,773.3,773.3,772.55,772.55,771,0
11,773.65,773.9,773.3,773.3,320,0
12,771.4,773.95,771.4,773.3,1363,0
13,771.7,772.4,771.45,772.4,147,0
14,773.9,773.9,772,772,422,0
15,774.2,774.4,773.7,773.9,593,0
16,773.5,773.5,773,773,212,0
17,773.9,774.9,773.05,773.5,114,0
18,773.5,773.9,773,773.9,426,0
19,773,773.5,773,773.5,239,0
20,773.2,773.2,773.2,773.2,30,0
21,773,773.7,773,773,721,0
22,773.45,773.45,772.5,772.5,23,0
23,773.65,773.65,773.15,773.3,157,0
24,774.35,774.35,773.65,773.65,109,0
25,777.75,777.75,774.35,774.35,695,0
26,777.8,777.8,777,777.4,432,0
27,776.3,777.8,776.3,777.55,162,0
28,777,777.35,777,777,126,0
29,776,777,776,777,261,0
30,775.5,775.7,775,775.35,351,0
31,777.8,777.8,776.1,776.1,98,0
32,778.55,778.55,777.8,777.8,131,0
33,778,778.65,778,778,172,0
34,781.25,781.25,778.6,778.6,893,0
35,782.75,782.75,780.8,780.8,164,0
36,781.65,783.5,781.65,783,1239,0
37,779.2,781.8,778.75,781.25,405,0
38,781.05,781.05,779.2,779.2,48,0
39,784.15,784.15,781.6,781.6,129,0
40,783.4,784.35,781.3,784.35,659,0
41,783,783.9,782.8,782.8,49,0
42,782.15,783.2,782.15,783.15,199,0
43,780.95,781.25,780.95,781.25,12,0
44,780,781.5,780,780.95,319,0
45,780.75,781.35,780.05,780.05,180,0
46,777.65,780,776.15,780,234,0
47,777.5,777.5,777.05,777.05,54,0
48,778.15,778.3,777.5,777.5,162,0
49,777.7,778,776,778,146,0
50,776.9,776.9,776.15,776.15,43,0
51,777.9,778,777.3,777.3,77,0
52,776.2,778,776.15,777.9,89,0
53,777.05,777.05,775.3,776.7,141,0
54,775,777.05,775,777.05,409,0
55,775.95,775.95,775.25,775.25,162,0
56,776,776.15,776,776.15,78,0
57,776.15,776.15,776,776,94,0
58,776.6,776.7,776,776.3,89,0
59,775.7,775.7,775,775,704,0
60,775.95,775.95,775.95,775.95,3,0
61,775.5,775.55,775,775.55,641,0
62,776.35,776.35,775.3,775.5,61,0
63,776.65,776.65,775.9,775.9,86,0
64,776.6,776.95,776.6,776.95,166,0
66,775.3,776,775.3,775.7,43,0
67,775,775.5,775,775,176,0
68,775.05,775.05,775.05,775.05,39,0
69,775,775.85,775,775.85,135,0
70,776,776,775.05,775.05,47,0
71,776,776,776,776,11,0
72,775,776,775,776,80,0
74,775.7,775.7,775.7,775.7,25,0
75,775,775,775,775,50,0
76,775.5,775.5,775.5,775.5,70,0
77,775,775.15,775,775.15,56,0
78,775.9,775.9,775,775,75,0
79,775,775.95,775,775.95,79,0
81,775.7,775.7,775.1,775.1,45,0
83,775.95,775.95,775.85,775.85,9,0
84,775,776,775,776,289,0
