EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,81.45,82,81.45,82,5400,0
1,81.4,81.45,81.4,81.4,921,0
2,81.15,81.7,81.15,81.45,6968,0
3,81.5,81.5,81.1,81.1,1167,0
4,81.5,81.5,81.5,81.5,130,0
5,81.55,81.55,81.25,81.5,303,0
6,81.4,81.5,81.2,81.5,162,0
7,81.25,81.4,81.25,81.4,412,0
8,81.2,81.4,81.2,81.4,51,0
9,81.7,81.7,81.25,81.25,6557,0
10,81.65,81.75,81.4,81.7,525,0
11,81.7,81.7,81.55,81.55,1302,0
12,81.9,81.9,81.7,81.7,3367,0
13,82.1,82.3,81.9,81.9,2120,0
14,81.85,82,81.85,82,3368,0
15,81.7,81.85,81.7,81.85,273,0
16,81.85,82,81.85,82,1000,0
17,82.15,82.2,81.85,81.85,1791,0
18,82.15,82.15,82.15,82.15,101,0
19,81.9,81.9,81.9,81.9,4,0
21,81.9,81.9,81.9,81.9,15,0
22,81.9,81.9,81.9,81.9,22,0
23,81.8,81.9,81.8,81.9,1109,0
25,81.65,81.65,81.65,81.65,500,0
26,81.85,81.85,81.85,81.85,250,0
27,81.75,81.75,81.75,81.75,100,0
29,81.9,81.9,81.75,81.75,551,0
31,81.75,81.75,81.75,81.75,118,0
32,81.6,81.6,81.6,81.6,500,0
33,81.65,81.85,81.65,81.85,34,0
34,81.65,81.65,81.65,81.65,300,0
35,81.65,81.65,81.65,81.65,18,0
36,81.65,81.65,81.6,81.6,394,0
37,81.6,81.6,81.6,81.6,280,0
38,81.7,81.8,81.7,81.8,562,0
40,81.7,81.7,81.7,81.7,263,0
41,81.7,81.7,81.7,81.7,369,0
42,81.7,81.7,81.7,81.7,138,0
43,81.7,81.7,81.7,81.7,93,0
44,81.65,81.7,81.65,81.7,369,0
45,81.5,81.65,81.5,81.55,2988,0
46,81.1,81.5,81.1,81.5,6094,0
47,81.3,81.3,81.1,81.3,267,0
48,81.25,81.25,81.15,81.15,127,0
49,81.3,81.3,81.25,81.25,143,0
50,81.3,81.45,81.25,81.3,510,0
51,81.3,81.45,81.3,81.3,221,0
52,81.35,81.35,81.35,81.35,101,0
53,81.3,81.35,81.3,81.35,155,0
54,81.35,81.35,81.3,81.35,188,0
55,81.3,81.3,81.3,81.3,1175,0
56,81.35,81.35,81.3,81.3,35,0
57,81.35,81.35,81.35,81.35,100,0
59,81.2,81.25,81.2,81.2,481,0
62,81.2,81.2,81.2,81.2,89,0
64,81.15,81.2,81.1,81.2,456,0
66,81.2,81.2,81.2,81.2,452,0
67,81.1,81.25,81.1,81.2,614,0
68,81.2,81.2,81.2,81.2,20,0
69,81.1,81.1,81.1,81.1,45,0
70,81.1,81.2,81.1,81.2,208,0
73,81.2,81.2,81.2,81.2,65,0
74,81.5,81.5,81.3,81.3,738,0
75,81.25,81.35,81.25,81.35,105,0
76,81.5,81.5,81.5,81.5,235,0
77,81.45,81.45,81.45,81.45,20,0
78,81.5,81.5,81.5,81.5,180,0
80,81.4,81.6,81.4,81.5,671,0
81,81.6,81.6,81.35,81.35,205,0
82,81.6,81.65,81.6,81.6,312,0
83,81.65,81.65,81.5,81.5,1200,0
