EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,56.3,56.45,55.45,56.05,1518635,0
1,56.7,56.8,56.25,56.35,765852,0
2,56.45,56.75,56.3,56.65,644654,0
3,56.75,56.85,56.4,56.45,396365,0
4,56.8,56.8,56.55,56.75,281326,0
5,57.3,57.45,56.7,56.8,691100,0
6,57.7,57.75,57.1,57.3,764824,0
7,57.5,57.7,57.3,57.6,609622,0
8,57.55,57.65,57.45,57.5,337375,0
9,57.4,57.6,57.35,57.6,269038,0
10,57.35,57.45,57.25,57.4,144852,0
11,57.2,57.4,57.1,57.35,167098,0
12,56.9,57.3,56.9,57.2,168150,0
13,56.85,57.05,56.85,57,233571,0
14,56.9,56.9,56.8,56.9,126317,0
15,56.6,56.95,56.55,56.9,428487,0
16,56.65,56.7,56.5,56.5,147493,0
17,56.75,56.8,56.6,56.7,119544,0
18,56.85,56.9,56.7,56.8,252389,0
19,57.1,57.15,56.8,56.85,315120,0
20,57,57.15,56.9,57.15,210049,0
21,56.9,57.05,56.75,56.95,188604,0
22,56.85,56.9,56.8,56.85,91048,0
23,56.8,56.85,56.75,56.8,103948,0
24,56.6,56.8,56.55,56.75,363508,0
25,56.65,56.7,56.55,56.65,70555,0
26,56.4,56.7,56.35,56.7,344594,0
27,56.5,56.5,56.3,56.3,176006,0
28,56.35,56.45,56.35,56.45,119876,0
29,56.35,56.4,56.3,56.3,162847,0
30,56.3,56.35,56.2,56.35,268444,0
31,56.1,56.3,56,56.25,520038,0
32,56.4,56.4,56.1,56.1,211877,0
33,56.35,56.45,56.35,56.4,88799,0
34,56.25,56.4,56.25,56.35,69990,0
35,56.2,56.3,56.15,56.25,71196,0
36,56.25,56.25,56.15,56.2,92262,0
37,56.15,56.25,56.1,56.2,104184,0
38,56.05,56.15,56,56.15,209140,0
39,56,56.1,55.9,56.05,159008,0
40,56.05,56.05,55.9,56,235627,0
41,56,56.05,55.9,56,168296,0
42,56.05,56.1,55.95,56,196582,0
43,55.95,56.1,55.95,56.1,271740,0
44,55.9,55.95,55.85,55.95,77486,0
45,56.05,56.05,55.85,55.9,106660,0
46,56,56.05,55.95,56.05,130753,0
47,55.9,56,55.55,56,515287,0
48,55.85,56,55.8,55.85,114701,0
49,55.95,56,55.9,55.9,73232,0
50,55.9,55.95,55.9,55.95,55554,0
51,55.85,55.9,55.8,55.9,85451,0
52,55.85,55.9,55.8,55.85,74680,0
53,55.9,55.95,55.8,55.85,99070,0
54,55.9,55.95,55.85,55.9,70189,0
55,55.9,55.9,55.85,55.9,33368,0
56,55.95,55.95,55.85,55.85,71941,0
57,55.9,56,55.85,55.95,211021,0
58,55.85,55.95,55.85,55.85,116694,0
59,55.9,55.95,55.8,55.85,40324,0
60,55.85,55.95,55.85,55.95,75585,0
61,55.9,55.95,55.8,55.9,33606,0
62,55.85,55.95,55.85,55.95,63407,0
63,55.8,55.9,55.8,55.9,36875,0
64,55.9,55.95,55.8,55.8,43939,0
65,55.9,55.9,55.7,55.9,185098,0
66,55.9,56,55.85,55.85,291029,0
67,55.9,55.95,55.85,55.95,37037,0
68,55.9,55.95,55.85,55.9,20902,0
69,55.95,55.95,55.85,55.9,57201,0
70,55.95,56,55.9,55.95,44101,0
71,55.9,56,55.85,55.95,80704,0
72,55.9,55.95,55.85,55.9,137782,0
73,55.9,56,55.9,56,106938,0
74,55.9,55.95,55.85,55.9,89142,0
75,55.85,55.95,55.85,55.9,74248,0
76,55.8,55.9,55.8,55.9,141197,0
77,55.85,55.9,55.8,55.85,87574,0
78,55.9,55.9,55.8,55.9,36039,0
79,55.75,55.85,55.7,55.8,182322,0
80,55.7,55.75,55.6,55.75,119110,0
81,55.55,55.7,55.5,55.7,283724,0
82,55.6,55.6,55.55,55.6,73232,0
83,55.75,55.8,55.6,55.65,103599,0
84,55.75,55.8,55.65,55.8,69670,0
85,55.75,55.8,55.7,55.8,91613,0
86,55.6,55.8,55.6,55.75,60773,0
87,55.3,55.65,54.8,55.65,1400439,0
88,55.15,55.4,55.05,55.3,306949,0
89,54.95,55.15,54.8,55.1,219663,0
90,55.05,55.15,54.8,54.95,361499,0
91,55,55.15,54.95,55.15,191794,0
92,55.05,55.1,55,55,170568,0
93,55.05,55.1,54.95,55.1,134767,0
94,55,55.1,55,55.05,77497,0
95,55,55.1,55,55,176431,0
96,55.05,55.1,55,55,74506,0
97,55.05,55.05,54.95,55.05,76587,0
98,55,55.05,55,55.05,71271,0
99,55,55.05,55,55.05,69862,0
100,55.1,55.1,55,55,55963,0
101,55.05,55.1,55,55.1,53989,0
102,55.05,55.1,55,55.1,57202,0
103,55.25,55.3,55.05,55.1,263749,0
104,55.15,55.25,55.1,55.25,49615,0
105,55.15,55.2,55.1,55.1,32124,0
106,55.3,55.3,55.15,55.15,56737,0
107,55.25,55.3,55.2,55.25,39041,0
