EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,43.85,44.1,43.8,44,12157,0
1,44.1,44.1,43.9,43.9,11463,0
2,44,44.05,43.9,43.95,11950,0
3,44.05,44.05,44,44.05,2107,0
4,44,44,44,44,214,0
5,43.95,44.05,43.9,44,26073,0
6,43.9,44,43.9,43.95,10446,0
7,43.85,43.9,43.85,43.9,10385,0
8,43.8,43.9,43.75,43.9,40061,0
9,43.8,43.85,43.8,43.85,6552,0
10,43.75,43.8,43.7,43.8,33749,0
11,43.65,43.75,43.65,43.75,940,0
12,43.7,43.7,43.65,43.7,3232,0
13,43.65,43.7,43.6,43.7,4679,0
14,43.65,43.65,43.55,43.6,7560,0
15,43.55,43.65,43.55,43.6,11285,0
16,43.6,43.6,43.55,43.55,11178,0
17,43.55,43.6,43.55,43.6,815,0
18,43.55,43.6,43.55,43.55,628,0
19,43.6,43.6,43.55,43.55,3300,0
20,43.6,43.6,43.6,43.6,215,0
21,43.6,43.6,43.6,43.6,200,0
22,43.65,43.7,43.55,43.6,41567,0
23,43.75,43.75,43.65,43.65,1399,0
24,43.75,43.75,43.7,43.75,256,0
25,43.75,43.75,43.7,43.75,5428,0
26,43.7,43.75,43.7,43.7,1481,0
27,43.65,43.75,43.65,43.75,23,0
28,43.65,43.7,43.65,43.65,257,0
29,43.7,43.7,43.65,43.7,1328,0
30,43.7,43.75,43.7,43.75,86,0
31,43.75,43.75,43.7,43.7,2816,0
32,43.75,43.75,43.7,43.75,618,0
33,43.85,43.9,43.8,43.8,22045,0
34,43.9,43.9,43.85,43.85,1251,0
35,43.85,43.9,43.8,43.9,7559,0
36,43.75,43.8,43.7,43.8,3318,0
37,43.75,43.75,43.75,43.75,2658,0
38,43.7,43.75,43.7,43.75,3297,0
39,43.75,43.75,43.75,43.75,800,0
40,43.75,43.75,43.7,43.75,1631,0
41,43.75,43.75,43.75,43.75,150,0
42,43.65,43.7,43.65,43.7,20178,0
44,43.75,43.75,43.7,43.7,520,0
45,43.75,43.75,43.75,43.75,855,0
46,43.75,43.85,43.75,43.75,7513,0
47,43.75,43.8,43.75,43.8,300,0
48,43.75,43.8,43.75,43.75,1025,0
49,43.85,43.85,43.75,43.75,4961,0
50,43.85,43.85,43.85,43.85,5428,0
51,43.95,44.05,43.85,43.85,27323,0
52,43.95,44,43.95,43.95,13930,0
53,43.95,44,43.95,44,5994,0
54,43.95,43.95,43.95,43.95,575,0
55,43.85,43.95,43.85,43.9,10293,0
56,43.75,43.8,43.75,43.8,3587,0
57,43.7,43.7,43.7,43.7,50,0
58,43.7,43.7,43.7,43.7,5088,0
59,43.5,43.7,43.5,43.7,28102,0
60,43.55,43.55,43.45,43.5,21459,0
61,43.5,43.5,43.4,43.5,6544,0
62,43.5,43.55,43.5,43.5,2502,0
63,43.5,43.6,43.5,43.5,5221,0
64,43.55,43.6,43.55,43.55,1066,0
65,43.55,43.6,43.55,43.55,1857,0
66,43.6,43.6,43.6,43.6,15,0
67,43.6,43.65,43.5,43.5,34995,0
68,43.6,43.6,43.55,43.6,15150,0
69,43.55,43.55,43.55,43.55,91,0
70,43.55,43.55,43.55,43.55,151,0
71,43.55,43.6,43.55,43.6,294,0
72,43.6,43.6,43.6,43.6,50,0
73,43.6,43.6,43.55,43.6,734,0
75,43.6,43.6,43.55,43.55,710,0
76,43.6,43.6,43.55,43.55,6228,0
77,43.55,43.55,43.55,43.55,135,0
78,43.65,43.65,43.6,43.6,2890,0
79,43.6,43.6,43.6,43.6,50,0
80,43.65,43.65,43.65,43.65,101,0
81,43.7,43.7,43.7,43.7,1146,0
83,43.7,43.7,43.65,43.65,1735,0
84,43.7,43.7,43.7,43.7,4372,0
