EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,624.3,624.3,624.3,624.3,10,0
1,624,624,624,624,7,0
2,627.75,627.75,627.65,627.65,46,0
3,628.8,629.1,628.45,629.1,5,0
4,629.7,630.85,628,629.1,374,0
5,629.9,629.9,629.9,629.9,10,0
6,629.85,629.85,629.85,629.85,2,0
10,628.2,629,628.2,629,69,0
11,627.45,627.45,627.45,627.45,5,0
12,622.2,626.6,622.2,626.6,501,0
13,622.05,622.45,622,622.4,116,0
14,625.85,625.85,621.2,621.2,118,0
16,624.5,625,624.5,624.5,73,0
21,624.6,625.05,623.3,623.3,120,0
22,625,625,625,625,22,0
23,621,622.7,621,622.7,356,0
24,622.95,622.95,622.45,622.95,68,0
25,624.45,624.45,623,623,29,0
26,625.1,625.45,623.55,623.95,97,0
27,621.65,622.85,621.65,622.35,302,0
29,620.9,621,620.9,621,83,0
30,620.7,621.1,620,620.05,213,0
31,620.15,620.2,620.15,620.2,14,0
32,621.5,621.5,621.5,621.5,22,0
33,621.15,621.15,621.15,621.15,8,0
36,622.85,623.55,622,622.15,101,0
37,621.7,621.8,621.7,621.8,24,0
38,621,621,621,621,48,0
39,621,621,621,621,159,0
40,621.35,621.35,621,621,88,0
41,622.95,623,621.6,621.6,126,0
42,622.45,622.8,621.75,622.8,40,0
43,622.1,624.35,621.65,621.85,171,0
44,621,622.3,621,622.3,129,0
45,625.5,625.55,621.85,622,274,0
46,620,625.7,620,625.3,623,0
47,621.35,621.4,620,620,62,0
48,621.3,622.2,621.3,622.2,77,0
49,621.4,621.4,621.4,621.4,24,0
50,621.95,621.95,621.2,621.2,35,0
51,621.05,621.35,621.05,621.35,44,0
52,621,621.05,621,621.05,52,0
53,620.15,621,620.15,621,35,0
54,620.6,620.6,620.1,620.15,57,0
55,620.3,621.55,620.2,620.2,149,0
56,620.25,620.3,620.25,620.3,95,0
58,620,620.55,620,620.25,68,0
60,621.55,621.55,620.8,620.8,99,0
61,621.6,621.6,621.6,621.6,30,0
62,621,621,621,621,20,0
63,619.75,621,619.75,620.8,1117,0
64,620.7,620.7,620,620,34,0
65,620,620.05,620,620.05,157,0
66,621.05,622.8,619.75,620,377,0
68,620,621,620,621,778,0
69,620,620,620,620,10,0
74,620,620,620,620,6,0
75,620,620,620,620,6,0
76,620,620,620,620,5,0
78,620.6,620.6,620.6,620.6,19,0
81,620,620,620,620,6,0
83,620.6,620.6,620,620,38,0
84,620,620,620,620,127,0
