EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,923.05,940.15,923.05,939.95,236386,0
1,929.35,930.4,916.75,923.35,225209,0
2,923.55,931.35,920.95,931.05,154020,0
3,924.4,928.95,923.95,923.95,97430,0
4,919.6,925,919.6,924.9,112766,0
5,917,925,917,920.45,119802,0
6,922.6,923.35,917,917.85,110327,0
7,919.65,924.9,919.5,922.9,66282,0
8,912.7,919.3,911.85,919.3,164529,0
9,910,913.05,906.1,913.05,218587,0
10,913.55,913.65,905.2,909.5,199585,0
11,907.35,914,906.85,913.2,92312,0
12,908.6,909.2,905.1,907,81399,0
13,906,913.35,905.7,908.5,89933,0
14,903.35,907.25,901.4,903.75,121096,0
15,902.55,904.7,901.35,903.4,114605,0
16,898,905.85,897.35,902.8,103074,0
17,899.6,902.6,897.65,897.8,92830,0
18,896,899.3,894.6,898.55,111285,0
19,896.7,899.9,895,895.95,66321,0
20,894,896.55,891.25,896.55,115406,0
21,896.8,897.95,893.5,894.1,60791,0
22,898.65,899,896.5,896.5,57198,0
23,895.1,901.55,894.1,899.3,96501,0
24,895.7,896.7,893.35,895.5,45120,0
25,898.65,899.9,895.5,896,47408,0
26,898.25,899.1,895.5,898.7,24537,0
27,898.5,899,897.75,898.25,25898,0
28,900.3,903.1,898,899,62490,0
29,899.5,900.05,898.35,900,34633,0
30,905.6,905.6,899.1,899.5,58758,0
31,902.05,905.8,902,904.5,51359,0
32,902.8,902.8,900.5,902,18840,0
33,900.1,903.05,900.1,903.05,23843,0
34,899,901.4,898.3,900.95,34949,0
35,897.8,899.5,897,899.2,32409,0
36,900,901,897.3,897.3,23218,0
37,900,900.15,898.3,899.7,12514,0
38,899.6,900,897.5,899.4,16055,0
39,902.2,903.5,898.7,899.5,32014,0
40,904,904,901.05,901.9,20547,0
41,909,909,904.2,904.4,68533,0
42,906.15,909.4,905.4,908.95,46219,0
43,903.9,906.5,903.5,906.5,27346,0
44,907.25,907.95,903.3,904.45,28376,0
45,908.75,909.55,907.05,907.7,35752,0
46,909,909.35,906.65,908.55,40229,0
47,912.5,912.85,908.7,909,99279,0
48,908.65,913.7,908.65,912.5,53647,0
49,909.7,910.95,909,909,24424,0
50,910.35,911.05,909.7,910,19701,0
51,912.4,913,910,910.65,20662,0
52,910.7,912.4,910,912.05,21731,0
53,909,910.9,909,910.7,21241,0
54,908.6,909.25,908,908.6,21722,0
55,909.7,909.95,908.55,908.75,16427,0
56,912.6,912.9,909.5,909.65,26363,0
57,911.4,913.55,911.4,912.25,24359,0
58,911.55,911.95,910.35,911.9,11593,0
59,912.9,913,911.1,911.55,13362,0
60,910.55,912.7,909.3,912.7,41494,0
61,909.3,910.9,909,910.25,15070,0
62,911.25,911.9,909.15,909.3,14753,0
63,911.1,911.9,911,911.85,6242,0
64,912,912.4,911.1,911.1,13188,0
65,910.3,912.3,910,912.2,13212,0
66,909.3,911.25,909.3,910.85,11253,0
67,908.15,909.5,906.5,909.5,39623,0
68,907.3,908.5,906.5,907.6,19281,0
69,907,907.75,906.4,907.6,21126,0
70,908.6,910,906.5,907.45,15543,0
71,908.4,909,908.15,908.75,9541,0
72,911,911,907.5,908.6,25274,0
73,911.65,911.8,910.15,911.45,15654,0
74,911.8,912,910.65,911.5,22545,0
75,910.9,911.8,910.65,911.8,10015,0
76,911.45,911.7,909.1,910.65,13757,0
77,915.4,916.95,911.05,911.55,76201,0
78,916.65,917.1,915,915.35,37538,0
79,914.5,917.55,914.5,916.65,45301,0
80,915.05,916,914.3,915,20701,0
81,914.05,916.2,914,915.15,26463,0
82,915.55,915.95,914.05,914.7,21147,0
83,916.55,917,915.15,915.65,22186,0
84,916,917,915.9,916.9,22970,0
85,915,915.8,915,915.15,12668,0
86,915.65,916.3,915,915.05,26550,0
87,918,918,916.05,916.2,32524,0
88,918.5,919.8,916.3,918,51519,0
89,920.95,923.5,918.5,918.65,84298,0
90,920.55,921,919.65,921,40167,0
91,920.5,920.5,918.6,919.65,33104,0
92,920.2,922,920,920.5,23761,0
93,920.75,921.25,920,921.25,22891,0
94,920.3,921.2,920,921.2,16356,0
95,920.55,921.4,920.3,920.3,16298,0
96,921.25,921.65,920.35,921,12325,0
97,921,922,920,921.75,22474,0
98,920.65,921,920,921,12530,0
99,919.7,920.65,919,920.65,36951,0
100,919.75,920.15,919,919.85,18678,0
101,919,920,918.15,919.45,36542,0
102,916.6,918.65,916.1,918.55,45539,0
103,919.75,919.75,914.9,917,61420,0
104,920.1,921.5,919,919,28325,0
105,922.4,923,920.4,921.05,34195,0
106,920.95,922.55,920.25,922.55,11885,0
107,921,921.3,920.25,920.8,9892,0
108,920.6,921,920.2,920.6,5721,0
109,920.75,920.8,920,920.2,7644,0
110,920.5,921.25,920,920.7,4903,0
111,921.35,921.35,920.05,920.7,5511,0
112,923,923.9,921,921.45,31675,0
