EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,169.05,170,167.55,168.35,259464,0
1,169.05,170.3,168.15,168.15,273558,0
2,170.7,170.8,169,169.1,98170,0
3,172,172,170.5,170.5,151140,0
4,169.45,172.45,169.25,171.45,162649,0
5,169.55,170,168.3,169.8,62314,0
6,169.25,169.95,168.8,169.5,221892,0
7,169.6,169.85,169.15,169.25,71843,0
8,168.85,169.75,168.85,169.55,40182,0
9,168.35,168.85,168.35,168.7,29781,0
10,168.5,168.65,168.35,168.35,6760,0
11,168.25,168.65,168.25,168.5,13756,0
12,167.1,168.25,167,168.25,32867,0
13,166.5,167.35,166.5,167.1,51757,0
14,166.65,166.8,166.5,166.55,5602,0
15,166.8,167.05,166.6,166.6,5723,0
16,166.8,166.9,166.7,166.8,11307,0
17,166.55,167,166.5,167,10513,0
18,166.3,166.55,166.2,166.5,15520,0
19,165.1,166.3,164.85,166.3,295765,0
20,165,165.45,164.65,165.15,34821,0
21,165.25,165.25,164.95,165.05,11490,0
22,165.05,165.2,165,165.2,18035,0
23,165.1,165.2,165.05,165.1,3274,0
24,165.15,165.35,165.1,165.15,6396,0
25,165.2,165.2,165.1,165.15,3035,0
26,165.2,165.25,165.1,165.25,6719,0
27,165.3,165.35,165.2,165.2,5609,0
28,165.3,165.55,165.15,165.3,16102,0
29,165,165.2,165,165.2,11235,0
30,165.25,165.25,164.6,165,24560,0
31,164.9,165.15,164.8,165.15,9620,0
32,164.7,164.8,164.6,164.8,7023,0
33,164.9,164.9,164.6,164.65,19013,0
34,164.6,164.8,164.6,164.8,9542,0
35,164.35,164.6,164.3,164.6,10347,0
36,164.6,164.95,164.4,164.4,14920,0
37,164.95,165,164.75,164.75,5288,0
38,164.75,164.95,164.75,164.95,9318,0
39,164.9,165,164.55,164.75,17511,0
40,165,165.05,164.9,164.9,5462,0
41,165.1,165.15,165,165,8708,0
42,165.35,165.4,165.1,165.1,4141,0
43,165.2,165.35,165.05,165.35,5148,0
44,165.2,165.2,165.1,165.2,4457,0
45,164.65,165.25,164.65,165.2,49164,0
46,165,165.05,164.65,164.65,28259,0
47,164.6,165,164.35,165,91212,0
48,164.8,165.1,164.45,164.65,23929,0
49,164.7,164.8,164.5,164.8,10493,0
50,164.75,164.9,164.75,164.75,6890,0
51,164.9,164.9,164.75,164.8,4317,0
52,164.65,165,164.6,164.9,8635,0
53,164.75,165,164.65,164.65,8991,0
54,164.7,164.9,164.7,164.75,3674,0
55,164.8,164.95,164.7,164.75,5073,0
56,164.95,164.95,164.85,164.85,635,0
57,164.85,165.05,164.75,165.05,2627,0
58,164.9,165,164.85,164.85,11590,0
59,164.9,165,164.8,164.8,5514,0
60,165,165.05,164.85,164.9,2451,0
61,165.2,165.3,165,165,3014,0
62,165.25,165.3,165.2,165.2,3692,0
63,165.3,165.45,165.25,165.25,6558,0
64,165.2,165.3,165.15,165.3,8853,0
65,165.1,165.2,165,165.2,23950,0
66,165.15,165.2,165.1,165.1,3300,0
67,165,165.25,165,165.15,4549,0
68,165,165.15,165,165,4959,0
69,164.9,165.2,164.6,165,14057,0
70,165.05,165.05,164.7,164.75,3285,0
71,164.75,165.1,164.7,165.05,4211,0
72,164.45,165,164.35,164.6,5018,0
73,164.25,164.6,164.25,164.45,4543,0
74,164.6,165.05,164.25,164.25,23346,0
75,164.7,164.75,164.6,164.6,33569,0
76,165,165.05,164.6,164.7,4064,0
77,164.85,165.1,164.7,165.05,2754,0
78,165.25,165.25,164.75,164.85,3618,0
79,165,165.25,165,165.1,11767,0
80,165,165,164.85,165,19012,0
81,165,165,165,165,1160,0
82,164.75,165.05,164.65,165,16823,0
83,164.75,164.8,164.65,164.75,2790,0
84,164.75,164.85,164.75,164.75,2255,0
