EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533095160,286.85,287.75,285.75,287,27386,0
1,288.85,288.85,286.6,287.05,17160,0
2,288.75,288.95,288.3,288.6,10986,0
3,288.7,289.7,288.55,288.75,19535,0
4,288.6,289.15,288.35,289,10099,0
5,289.35,289.9,288.4,288.6,7030,0
6,289.7,289.7,289.05,289.35,6873,0
7,288.2,289.9,288.2,289.7,6509,0
8,289.5,289.5,288.2,288.3,6407,0
9,288,289.5,287.85,289.5,5247,0
10,289.4,289.4,287.95,288,4264,0
11,289.25,289.45,288.95,289.4,4807,0
12,289,289.4,289,289.25,1800,0
13,289.4,289.45,288.9,289,1542,0
14,289.45,289.5,289.1,289.4,2283,0
15,289.45,289.7,289.35,289.35,5340,0
16,288.9,289.2,288.6,289.1,3329,0
17,289.35,289.45,288.75,288.9,3405,0
18,289.55,289.55,289.25,289.4,3443,0
19,289.4,289.55,289.4,289.55,2347,0
20,289.35,289.5,289.25,289.4,9435,0
21,288.2,289.55,288.2,289.35,7231,0
22,288.8,288.8,288.2,288.25,2215,0
23,288.3,288.8,288.3,288.8,2722,0
24,288.65,288.65,288.25,288.25,2902,0
25,288.6,289.1,288.45,288.65,6860,0
26,288.5,288.8,288.25,288.6,2456,0
27,288.15,288.5,288,288.4,8028,0
28,288.5,288.5,288.2,288.2,3744,0
29,289,289,288.45,288.5,2507,0
30,288.95,289,288.8,289,2048,0
31,289.4,289.4,288.95,288.95,4845,0
32,288.9,289.4,288.75,289.4,4490,0
33,289.4,289.4,288.9,288.95,2525,0
34,289.4,289.5,289.3,289.4,1126,0
35,289.45,289.5,289.35,289.4,2167,0
36,289.35,289.45,289.15,289.45,3270,0
37,289.5,289.5,289.4,289.4,1994,0
38,289.5,289.5,289.45,289.5,2080,0
39,289.4,289.5,289.35,289.5,2084,0
40,289.5,289.55,289.45,289.55,3022,0
41,289.45,289.55,289.35,289.55,1067,0
42,289.4,289.5,289.4,289.45,529,0
43,289.8,289.8,289.45,289.5,6321,0
44,289.7,289.85,289.5,289.8,4713,0
45,289.65,289.7,289.6,289.6,1301,0
46,289.65,289.65,289.6,289.65,607,0
47,289,289.4,288.85,289.4,1705,0
48,289,289.05,288.8,289.05,2482,0
49,289,289,288.95,289,1258,0
50,289,289,288.95,289,367,0
51,289,289,288.95,289,4271,0
52,288.95,289,288.95,289,3065,0
53,289,289,288.95,289,584,0
54,289.45,289.45,289,289,4707,0
55,289.55,289.55,289.1,289.1,3222,0
56,289.75,289.75,289.55,289.55,2248,0
57,289.7,290.2,289.65,289.75,22449,0
58,289.5,289.7,289.5,289.65,3347,0
59,289.15,289.55,288.95,289.55,4128,0
60,289.3,289.4,289.25,289.25,1357,0
61,289.4,289.4,289.35,289.35,1211,0
62,289.5,289.5,289.4,289.4,1890,0
63,289.5,289.5,289.45,289.5,1413,0
64,289.6,289.6,289.5,289.5,2027,0
65,289.55,289.65,289.55,289.6,3105,0
66,289.6,289.6,289.55,289.6,1215,0
67,289.35,289.6,289.35,289.6,1538,0
68,288.6,289.4,288.55,289.35,2664,0
69,288.65,288.75,288.6,288.7,1234,0
70,288.65,288.7,288.65,288.7,443,0
71,288.7,288.7,288.6,288.7,662,0
72,288.75,288.75,288.6,288.6,709,0
73,289.15,289.15,288.7,288.75,3323,0
74,289.6,289.6,289.15,289.25,2821,0
75,289.5,289.6,289.4,289.6,2072,0
76,289.5,289.55,289.45,289.45,1174,0
77,289.4,289.5,289.35,289.45,920,0
78,289.5,289.5,289.35,289.4,2072,0
79,289.45,289.6,289.4,289.5,5630,0
80,289.2,289.45,289.2,289.4,2125,0
81,289.3,289.3,289.2,289.2,275,0
82,289.25,289.3,289.25,289.3,967,0
83,289.3,289.3,289.25,289.3,244,0
84,289.3,289.3,289.25,289.3,1080,0
85,289.3,289.3,289.25,289.3,578,0
86,289.3,289.3,289.3,289.3,161,0
87,289.4,289.4,289.25,289.3,415,0
88,289.35,289.35,289.35,289.35,246,0
89,289.35,289.35,289.3,289.35,186,0
90,289.4,289.4,289.35,289.35,820,0
91,289.4,289.4,289.35,289.4,322,0
92,289.4,289.4,289.4,289.4,238,0
93,289.45,289.45,289.45,289.45,182,0
94,289.45,289.45,289.4,289.45,329,0
95,289.5,289.5,289.4,289.45,1052,0
96,289.45,289.5,289.45,289.5,300,0
97,289.55,289.55,289.45,289.5,2978,0
98,289.3,289.55,289.3,289.45,8698,0
99,289.3,289.4,289.3,289.4,895,0
100,289.4,289.65,289.35,289.35,10452,0
101,289.5,289.7,289.4,289.45,6175,0
102,289.45,289.55,289.45,289.5,4088,0
103,289.4,289.45,289.35,289.45,2592,0
104,289.4,289.45,289.35,289.45,200,0
105,289.15,289.4,289,289.4,6999,0
106,289,289.15,289,289.15,4217,0
107,289.1,289.25,288.85,289,6120,0
108,289.5,289.55,289.2,289.2,6448,0
