EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533095160,1362.1,1368.45,1362.1,1363,35829,0
1,1359.05,1362.15,1358.25,1362.1,14579,0
2,1358.8,1360.45,1357.15,1359.05,22448,0
3,1360.1,1360.5,1357.75,1358,15631,0
4,1360.1,1360.5,1358.8,1360.05,15576,0
5,1358.8,1360.1,1358.4,1360,8737,0
6,1360.15,1360.7,1358.75,1358.8,10791,0
7,1360.5,1360.5,1359.6,1360.15,18545,0
8,1361,1361.2,1360.65,1360.7,15936,0
9,1360.9,1361.2,1359.25,1361.05,21588,0
10,1360.15,1361.25,1359.95,1360.9,13016,0
11,1360.1,1360.5,1360,1360.15,8139,0
12,1359.95,1360.45,1359.95,1360.35,6892,0
13,1358.8,1359.9,1358.5,1359.9,2531,0
14,1358,1358.75,1358,1358.75,2764,0
15,1357.15,1358.25,1357.1,1358,4342,0
16,1355.5,1356.8,1355.5,1356.65,4993,0
17,1354.25,1356,1354.25,1355.25,8032,0
18,1354,1355,1353.6,1354.25,13917,0
19,1354.6,1355,1353.7,1354,6625,0
20,1356,1356.45,1354.7,1355,7846,0
21,1356.2,1356.2,1355.75,1355.95,3520,0
22,1356.75,1356.9,1356.05,1356.2,4759,0
23,1356.65,1356.8,1356.5,1356.75,2768,0
24,1355.3,1356.65,1355,1356.65,4072,0
25,1355.1,1355.3,1355,1355.3,5090,0
26,1355.75,1355.8,1355.1,1355.15,4010,0
27,1355.75,1355.75,1355.25,1355.75,5286,0
28,1356,1356.3,1355.6,1355.75,2839,0
29,1357.6,1357.7,1355.8,1356,8680,0
30,1356.65,1358.5,1356.2,1357.6,10923,0
31,1355.5,1356.65,1355,1356,6392,0
32,1354.9,1355.5,1354,1355.5,5574,0
33,1355,1355,1354.05,1354.85,4658,0
34,1354.2,1355,1354.2,1355,2168,0
35,1353.15,1354.5,1352,1354.25,10512,0
36,1353.9,1354.5,1353,1353.15,3799,0
37,1353.55,1353.95,1353.4,1353.95,3060,0
38,1353.8,1353.8,1353,1353.55,5150,0
39,1354.65,1354.95,1353.75,1353.8,5582,0
40,1353.6,1354.65,1353,1354.65,5877,0
41,1353.55,1354.35,1353.1,1353.6,5571,0
42,1353.6,1353.75,1353.05,1353.55,3602,0
43,1353.25,1353.6,1353.05,1353.6,2506,0
44,1352.6,1353.25,1352.5,1353.25,4992,0
45,1351.85,1352.6,1351.8,1352.6,7628,0
46,1352.5,1353,1351.75,1351.85,9010,0
47,1351.85,1352.5,1351.5,1352.5,3058,0
48,1351.8,1351.85,1351.5,1351.85,7682,0
49,1352.2,1352.4,1351.8,1351.8,3756,0
50,1352.5,1353,1352,1352.2,3842,0
51,1352.75,1352.75,1352.45,1352.5,3667,0
52,1352.7,1352.75,1352.4,1352.75,3922,0
53,1352.25,1352.75,1352.25,1352.7,1052,0
54,1352.6,1352.75,1352.35,1352.35,2440,0
55,1352.55,1352.75,1352.45,1352.6,2357,0
56,1352.6,1352.75,1352.55,1352.75,1831,0
57,1352.85,1352.85,1352.5,1352.65,2025,0
58,1352.85,1352.85,1352.55,1352.85,3716,0
59,1352.85,1352.85,1352.7,1352.85,2939,0
60,1353.6,1353.6,1352.7,1352.85,2305,0
61,1353.2,1353.6,1353,1353.6,2598,0
62,1353,1353.2,1353,1353.2,2301,0
63,1353.15,1353.2,1353.05,1353.2,1622,0
64,1352.9,1353.15,1352.8,1353.15,2468,0
65,1353.3,1353.3,1352.85,1352.9,1501,0
66,1354,1354.25,1353.25,1353.3,2515,0
67,1354.75,1354.9,1353.65,1354.1,3534,0
68,1354.3,1355,1354,1354.75,6873,0
69,1353.95,1354.3,1353.95,1354.3,1316,0
70,1354.9,1354.9,1353.9,1353.95,3557,0
71,1354.6,1355,1354.5,1354.9,1779,0
72,1355,1355,1354.45,1354.6,3418,0
73,1355,1355,1354.7,1354.95,4234,0
74,1355,1355,1354.25,1355,13764,0
75,1354.95,1355,1354.5,1355,6206,0
76,1354.7,1354.95,1354.05,1354.95,2053,0
77,1355,1355.15,1354.1,1354.7,5214,0
78,1354.95,1354.95,1354.2,1354.3,3313,0
79,1354.9,1354.95,1354.9,1354.95,1920,0
80,1354.55,1354.9,1354.25,1354.9,1865,0
81,1354.5,1354.55,1354.45,1354.55,1898,0
82,1355,1355,1354.5,1354.5,5651,0
83,1355.15,1355.35,1355,1355,5394,0
84,1355.05,1355.4,1355,1355.15,3712,0
85,1355,1355.05,1354.95,1355.05,2758,0
86,1354.7,1355.05,1354.7,1355,3177,0
87,1355.15,1355.75,1354.8,1354.8,5590,0
88,1354.85,1355.15,1354.85,1355.15,2080,0
89,1355.05,1355.05,1354.95,1355,2259,0
90,1355.2,1355.3,1354.8,1355.05,4429,0
91,1355.05,1355.2,1354.95,1355.2,2113,0
92,1355,1355.05,1354.85,1355.05,2072,0
