EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,198.5,199.7,198,198,888,0
1,199.1,199.6,199.1,199.4,266,0
2,199.05,199.05,199,199,184,0
3,199,199.7,199,199.7,230,0
4,200,200,199.6,199.6,204,0
5,199.95,199.95,199.95,199.95,110,0
6,200.7,200.7,199.9,199.9,358,0
7,201.2,201.45,200.55,200.95,1381,0
8,202.45,202.45,201.25,201.3,847,0
9,201.2,202.75,199.9,202.3,8571,0
10,199.95,201,199.95,201,339,0
11,199.45,199.65,199.45,199.65,183,0
12,199.5,200,199.5,199.8,1241,0
13,200,200,200,200,36,0
14,199.35,200,199.35,200,37,0
15,199.5,200,199.1,200,1962,0
16,201,201,199.1,199.1,1756,0
17,201.25,201.25,200.6,201,651,0
18,203.25,203.8,201.5,201.7,2678,0
19,202.35,203.3,202.3,203.3,429,0
20,202.25,202.25,201.05,201.3,568,0
21,203.35,203.35,202.35,202.35,425,0
22,203.05,203.35,203,203.35,822,0
23,202.5,202.65,202.5,202.65,120,0
24,202.25,202.5,202.25,202.5,765,0
25,202.4,202.45,202,202,675,0
26,202.7,202.7,202.15,202.25,413,0
27,204.05,204.05,202.8,202.8,1612,0
28,204,204.75,204,204,535,0
29,203.75,204.3,203.55,204,423,0
30,203.7,204.2,203.7,203.75,585,0
31,202.1,203.6,202.1,203.6,1138,0
32,202.35,202.35,202.35,202.35,217,0
33,202.65,202.7,202.65,202.7,100,0
35,202.3,202.3,202.3,202.3,5,0
36,202.45,202.45,201.55,202,1032,0
37,202.8,202.8,202.3,202.3,128,0
38,202.5,202.5,202.5,202.5,13,0
39,203,203,202.5,202.5,544,0
41,202.4,203,202.35,202.9,1305,0
42,203,203,203,203,1148,0
43,203,203,203,203,100,0
46,202.9,202.9,202.75,202.75,6,0
47,203,203,202.75,202.75,677,0
48,202.65,202.85,202.5,202.5,399,0
49,202.6,202.6,202.6,202.6,234,0
50,202.95,202.95,202.05,202.05,614,0
53,203,203,202.95,202.95,464,0
55,203,203,203,203,25,0
56,202.75,202.75,202.75,202.75,12,0
57,202.6,202.75,202.6,202.75,246,0
59,202.7,202.7,202.45,202.6,802,0
61,202.5,202.5,202.5,202.5,31,0
63,202.75,202.75,202.75,202.75,20,0
64,202.9,202.9,202.5,202.5,273,0
65,202.6,202.7,202.55,202.55,90,0
66,202.6,202.6,202.6,202.6,1,0
67,202.85,202.85,202.8,202.8,41,0
69,202.8,202.8,202.5,202.5,239,0
71,202.5,202.55,202.5,202.55,1088,0
72,202.9,202.9,202.9,202.9,287,0
73,202.7,202.7,202.5,202.5,100,0
74,202.5,202.5,202.5,202.5,10,0
78,202.45,202.45,202.45,202.45,70,0
80,202.45,202.5,202.45,202.5,100,0
81,202.45,202.45,202.45,202.45,9,0
82,202.7,202.7,202.7,202.7,71,0
83,202.85,202.85,202.6,202.6,68,0
84,202.6,202.6,202.6,202.6,20,0
