EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,76.1,76.1,76.1,76.1,100,0
1,76.5,76.5,76.35,76.45,51,0
2,76.5,76.5,76.5,76.5,238,0
4,76.8,76.8,76.75,76.8,152,0
5,76.85,76.85,76.85,76.85,10,0
6,76.9,76.9,76.9,76.9,136,0
7,76.95,76.95,76.95,76.95,50,0
12,77.1,77.1,77.1,77.1,99,0
14,76.9,76.9,76.85,76.85,263,0
15,77.05,77.05,77.05,77.05,9,0
17,76.85,76.85,76.85,76.85,443,0
18,76.85,76.85,76.85,76.85,68,0
20,76.85,76.85,76.85,76.85,1,0
23,76.85,76.85,76.85,76.85,200,0
24,77,77,77,77,772,0
26,77,77,77,77,15,0
27,77.1,77.1,77.1,77.1,306,0
29,77.25,77.25,77.25,77.25,25,0
30,77.3,77.3,77.3,77.3,50,0
31,77.45,77.45,77.45,77.45,50,0
34,77.4,77.4,77.3,77.3,621,0
35,77.4,77.4,77.4,77.4,15,0
36,77.4,77.4,77.4,77.4,30,0
37,77.4,77.4,77.4,77.4,350,0
40,77.3,77.4,77.3,77.4,189,0
41,77.25,77.25,77.25,77.25,200,0
42,77.25,77.25,77.25,77.25,500,0
43,77.4,77.4,77.25,77.25,175,0
45,77.25,77.25,77.25,77.25,50,0
46,77.4,77.4,77.4,77.4,1,0
48,77.25,77.45,77.25,77.45,1032,0
49,77.4,77.45,77.4,77.45,203,0
50,77.45,77.45,77.45,77.45,85,0
51,77.3,77.45,77.3,77.45,70,0
52,77.45,77.45,77.45,77.45,22,0
53,77.5,77.5,77.5,77.5,45,0
59,77.35,77.35,77.35,77.35,51,0
60,77.45,77.45,77.45,77.45,50,0
61,77.5,77.5,77.3,77.35,856,0
62,77.45,77.45,77.3,77.3,151,0
63,77.5,77.5,77.45,77.45,244,0
64,77.3,77.3,77.3,77.3,1,0
66,77.4,77.4,77.3,77.3,51,0
67,77.5,77.5,77.5,77.5,332,0
68,77.25,77.25,77.25,77.25,250,0
69,77.35,77.35,77.35,77.35,50,0
72,77.3,77.3,77.3,77.3,33,0
75,77.3,77.3,77.3,77.3,776,0
76,77.35,77.35,77.35,77.35,500,0
78,77.35,77.35,77.35,77.35,50,0
79,77.3,77.3,77.3,77.3,1,0
82,77.35,77.35,77.3,77.3,106,0
83,77.5,77.5,77.5,77.5,430,0
84,77.4,77.4,77.4,77.4,50,0
