EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,188.75,189.2,188.1,189,2171,0
1,188.95,188.95,188,188.6,2357,0
2,188.4,188.95,188.4,188.9,1528,0
3,188.7,189.5,188.7,189,2491,0
4,190,190,188.5,188.7,4612,0
5,189.85,191.3,189.85,190.4,6153,0
6,190.1,190.1,189.95,189.95,1007,0
7,190.5,190.5,190.15,190.15,951,0
8,190.55,190.55,190.25,190.5,1765,0
9,191,191.1,190.55,190.6,1531,0
10,191.95,191.95,191,191,3346,0
11,191.4,191.7,191.05,191.7,1856,0
12,191,191.25,190.95,191.25,360,0
13,190.6,190.75,190.6,190.65,481,0
14,190.65,190.65,190,190.5,1789,0
15,190.05,190.4,190,190.4,356,0
16,190.15,190.5,190.15,190.5,911,0
17,190.2,190.2,190.15,190.15,65,0
18,190,190,190,190,699,0
19,188.8,190,188.8,190,8690,0
20,188.75,189,188.75,188.95,370,0
21,189.15,189.15,189.05,189.05,167,0
22,189.3,189.35,189.3,189.3,304,0
23,189.15,189.3,189,189.3,977,0
24,189.3,189.3,189.15,189.15,86,0
25,189.3,189.35,189.3,189.35,56,0
26,189.3,189.35,189.3,189.35,449,0
27,188.85,189.3,188.8,189.3,2413,0
28,188.95,188.95,188.95,188.95,10,0
29,189.05,189.05,189,189,486,0
32,188.9,189.15,188.9,189.15,235,0
33,189.15,189.15,189.15,189.15,57,0
34,189.15,189.15,189.15,189.15,13,0
35,189.45,189.45,189.25,189.25,371,0
36,189.45,189.45,189.45,189.45,260,0
37,189.25,189.45,189.25,189.45,140,0
38,189.3,189.45,189.25,189.25,1618,0
39,189.25,189.5,189.25,189.25,2758,0
40,189.25,189.25,188.95,189.25,522,0
41,189,189.25,189,189.25,1161,0
43,189,189,189,189,1119,0
44,189.1,189.1,189,189,813,0
45,189.05,189.05,189.05,189.05,70,0
47,189.2,189.25,189.2,189.2,463,0
48,189.2,189.25,189.2,189.25,61,0
49,189.2,189.3,189.2,189.25,64,0
50,189.2,189.35,189.2,189.25,1223,0
51,189.2,189.2,189.2,189.2,2,0
52,189.35,189.35,189.35,189.35,76,0
53,189.05,189.45,189.05,189.45,214,0
55,189.05,189.05,189.05,189.05,352,0
56,188.85,189,188.85,189,3311,0
57,189,189.05,188.85,188.85,3064,0
58,189,189,189,189,90,0
59,189,189,189,189,12501,0
60,188.5,189,188.5,189,5196,0
61,188.05,188.5,188,188.5,1337,0
62,188.6,188.6,188.45,188.45,102,0
63,188.7,188.7,188.7,188.7,91,0
64,188.9,188.9,188.7,188.7,340,0
66,188.9,188.9,188.9,188.9,40,0
67,188.5,188.5,188.5,188.5,139,0
69,189.05,189.05,189.05,189.05,685,0
70,189.05,189.05,189.05,189.05,50,0
73,189,189,189,189,200,0
74,189.1,189.1,189.1,189.1,10,0
77,189.35,189.35,189.35,189.35,140,0
78,189.05,189.05,189.05,189.05,84,0
82,189.15,189.15,189.15,189.15,65,0
