EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532922360,166.5,166.5,165.2,165.45,47635,0
1,166.6,167.1,166.6,166.6,61391,0
2,166.9,166.9,166.5,166.5,26387,0
3,166.8,167.1,166.75,166.75,52140,0
4,166.4,167,166.3,167,77563,0
5,166.6,166.8,166.35,166.35,55825,0
6,166.8,166.95,166.55,166.6,28440,0
7,167.05,167.25,166.85,166.85,42543,0
8,167.15,167.3,167,167.15,41107,0
9,167.3,167.3,167,167.05,37948,0
10,167.2,167.5,167.15,167.35,57964,0
11,167.05,167.25,166.8,167.1,45893,0
12,167.1,167.25,166.9,167.05,28324,0
13,167.15,167.2,166.95,167.1,21020,0
14,166.8,167.3,166.75,167.2,19693,0
15,166.65,166.8,166.65,166.7,9538,0
16,167.15,167.15,166.65,166.75,12724,0
17,167.5,167.6,167.1,167.15,55897,0
18,167.65,167.8,167.5,167.55,39235,0
19,168.3,168.4,167.6,167.6,106468,0
20,168.4,168.5,168.2,168.2,63412,0
21,168.05,168.5,168.05,168.35,42643,0
22,167.8,168.15,167.7,168.15,43574,0
23,168.05,168.15,167.8,167.8,23759,0
24,168.15,168.2,168,168.05,20599,0
25,168.4,168.55,168.1,168.1,47492,0
26,168.4,168.5,168.25,168.45,18208,0
27,168.25,168.35,168.05,168.3,42221,0
28,168.3,168.4,168.15,168.3,18910,0
29,168.9,168.95,168.1,168.2,50099,0
30,168.6,169.1,168.6,168.8,82417,0
31,168.3,168.6,168.1,168.6,54895,0
32,167.75,168.2,167.75,168.1,112627,0
33,167.8,167.95,167.7,167.7,38642,0
34,168.15,168.2,167.8,167.8,27680,0
35,168.25,168.4,168.1,168.2,22086,0
36,168.3,168.5,168.1,168.25,36856,0
37,168.15,168.4,168.1,168.4,30131,0
38,167.9,168.15,167.85,168.15,29670,0
39,168,168.1,167.8,167.8,24538,0
40,167.95,168.1,167.9,168,20051,0
41,167.95,168.05,167.9,168.05,12088,0
42,167.6,167.95,167.55,167.95,55467,0
43,167.65,167.85,167.5,167.7,49126,0
44,167.8,167.95,167.65,167.65,6705,0
45,167.9,167.95,167.8,167.8,6661,0
46,167.95,168,167.8,167.9,11722,0
47,167.7,167.95,167.7,167.95,16527,0
48,167.7,167.75,167.55,167.75,11674,0
49,167.4,167.7,167.3,167.7,40493,0
50,167.25,167.4,167.2,167.3,18590,0
51,167.15,167.3,167.05,167.3,25252,0
52,167.3,167.35,167.1,167.1,15874,0
53,167.35,167.5,167.25,167.3,16330,0
54,167.1,167.3,167.05,167.3,17748,0
55,167.2,167.35,167.1,167.15,6013,0
56,167,167.2,166.8,167.15,62461,0
57,166.8,167,166.8,166.9,23295,0
58,166.8,166.9,166.65,166.65,17204,0
59,166.9,167,166.8,166.9,8142,0
60,166.95,167,166.85,166.9,14212,0
61,166.7,167,166.6,166.95,27987,0
62,166.9,166.95,166.65,166.7,18861,0
63,166.9,166.95,166.8,166.9,7548,0
64,166.9,166.95,166.85,166.9,10186,0
65,167.4,167.4,166.9,166.9,30756,0
66,167.35,167.5,167.3,167.4,26778,0
67,167.3,167.4,167.25,167.35,5601,0
68,167.15,167.3,167.15,167.3,7312,0
69,166.9,167.15,166.9,167.1,10563,0
70,166.8,166.95,166.75,166.9,16988,0
71,166.85,166.9,166.8,166.8,14099,0
72,167,167.15,166.85,166.9,24246,0
73,167,167,166.9,166.9,5567,0
74,166.9,167.15,166.9,167,20166,0
75,167.05,167.1,166.9,166.9,8383,0
76,167.05,167.1,167,167.05,11734,0
77,167.15,167.15,167.05,167.05,9968,0
78,167.25,167.25,167.05,167.05,13180,0
79,167.3,167.35,167.25,167.25,6266,0
80,167.3,167.35,167.2,167.35,10446,0
81,167.3,167.4,167.3,167.3,10762,0
82,167.3,167.35,167.25,167.3,12161,0
83,167.7,167.8,167.25,167.3,27776,0
84,167.65,167.65,167.5,167.65,4121,0
85,167.7,167.75,167.55,167.55,7977,0
86,167.5,167.75,167.4,167.7,14681,0
87,167.3,167.55,167.25,167.5,17742,0
88,167.15,167.45,167.05,167.45,33060,0
89,167.2,167.25,167.05,167.25,12738,0
90,167.25,167.25,167.15,167.2,6252,0
91,167.25,167.3,167.2,167.25,4318,0
92,167.55,167.55,167.3,167.3,3559,0
