EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,135.8,135.8,135.8,135.8,10,0
1,135.1,135.6,135.1,135.4,486,0
2,135.05,135.05,135.05,135.05,1,0
3,134,134,134,134,660,0
4,134,134,134,134,100,0
5,134,134,134,134,28,0
11,133.55,133.55,133.55,133.55,156,0
12,133.2,133.5,133.2,133.5,202,0
13,132.45,133.05,132.1,133.05,1238,0
14,131.95,132.05,131.95,132.05,339,0
15,132,132.35,131.9,131.9,187,0
21,132.35,132.35,132.35,132.35,9,0
22,132.05,132.05,132.05,132.05,15,0
23,132,132,132,132,134,0
25,132.25,132.25,132.25,132.25,2,0
27,132.3,132.3,132.3,132.3,43,0
28,132.25,132.25,132,132,111,0
29,132.25,132.25,132.25,132.25,40,0
31,132.15,132.15,131.05,131.05,1208,0
33,131.65,131.65,131.65,131.65,10,0
34,131.4,131.45,131.4,131.45,2,0
36,130.65,131.4,130.65,131.4,1008,0
37,130.65,131.65,130.65,131.65,6,0
38,131.35,131.4,130.85,131.1,337,0
39,131.5,131.55,131.2,131.35,379,0
40,131.65,131.7,131.6,131.6,253,0
44,131.3,131.3,131.1,131.1,200,0
48,131.35,131.35,131.35,131.35,100,0
52,131.65,131.65,131.65,131.65,5,0
53,131.9,131.9,131.7,131.7,264,0
54,131.65,131.65,131.65,131.65,1,0
57,131.8,131.8,131.8,131.8,8,0
60,131.65,131.65,131.65,131.65,14,0
61,131.65,131.65,131.65,131.65,2,0
62,131.85,132.1,131.8,131.8,386,0
63,131.85,131.85,131.85,131.85,104,0
70,132.05,132.05,132.05,132.05,10,0
71,131.85,131.85,131.85,131.85,9,0
72,131.85,131.85,131.85,131.85,19,0
74,131.9,131.9,131.9,131.9,15,0
76,131.95,131.95,131.95,131.95,60,0
80,131.6,131.6,131.6,131.6,140,0
81,131.15,131.55,131.15,131.55,362,0
82,131.5,131.5,131.5,131.5,280,0
83,131.05,131.95,131.05,131.45,1287,0
84,131.6,131.6,131.6,131.6,10,0
