EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,139,139.65,138.7,139.65,7236,0
1,139.75,140,139,139.15,17028,0
2,139.75,140,139.7,140,7494,0
3,140.55,140.55,139.7,139.85,4233,0
4,140.5,140.8,140.5,140.65,7211,0
5,141,141,140.2,140.55,9582,0
6,140.9,141,140.7,141,4288,0
7,140.8,141,140.7,140.8,11033,0
8,141,141.15,140.7,140.8,4294,0
9,140.95,141.15,140.8,141,6326,0
10,140.7,140.95,140.5,140.95,6132,0
11,140.7,140.7,140.1,140.7,3265,0
12,140.55,140.65,140.55,140.55,2538,0
13,140.6,140.7,140.55,140.55,3163,0
14,140.95,140.95,140.55,140.7,2202,0
15,140.65,141.1,140.65,141,4189,0
16,140.7,140.7,140.55,140.65,786,0
17,140.35,140.7,140.35,140.45,6725,0
18,140.3,140.6,140.3,140.6,865,0
19,140.7,140.7,140.4,140.5,2636,0
20,140.5,140.7,140.4,140.5,1068,0
21,140.65,140.7,140.4,140.55,1788,0
22,140.25,140.55,140.25,140.55,1788,0
23,140.05,140.25,140.05,140.2,2522,0
24,140.4,140.4,140.25,140.25,680,0
25,140.4,140.4,140.4,140.4,10,0
26,140.3,140.4,140.3,140.4,3696,0
27,140.35,140.5,140.3,140.3,461,0
28,140.5,140.5,140.35,140.35,305,0
29,140.5,140.5,140.45,140.45,1700,0
30,140.5,140.5,140.45,140.5,881,0
31,140.4,140.5,140.4,140.4,491,0
32,140.5,140.5,140.3,140.3,2338,0
33,140.5,140.5,140.35,140.35,590,0
34,140.5,140.5,140.5,140.5,435,0
35,140.55,140.65,140.5,140.5,1419,0
36,140.6,140.65,140.5,140.5,736,0
37,140.85,141,140.65,140.65,7552,0
38,140.65,140.9,140.65,140.85,1953,0
39,140.5,140.65,140.5,140.6,1443,0
40,140.6,140.6,140.45,140.5,844,0
41,140.45,140.65,140.45,140.6,934,0
42,140.3,140.4,140.15,140.4,2363,0
43,140.4,140.4,140.15,140.25,1306,0
44,140.2,140.4,140.2,140.3,763,0
45,139.8,140.25,139.65,140.25,10607,0
46,139.8,140,139.65,139.8,3827,0
47,139.75,139.95,139.75,139.8,663,0
48,139.8,139.8,139.75,139.75,2397,0
49,139.85,139.9,139.75,139.8,2238,0
50,139.95,139.95,139.85,139.85,516,0
51,139.85,140,139.85,139.95,938,0
52,139.75,139.95,139.75,139.85,1722,0
53,139.8,139.8,139.75,139.8,621,0
54,139.65,139.9,139.65,139.9,873,0
55,139.25,139.65,139.15,139.65,4762,0
56,139.4,139.4,139.25,139.3,757,0
57,138.95,139.4,138.85,139.4,6217,0
58,139.05,139.25,138.95,139.05,2192,0
59,138.9,139.1,138.8,139.1,1772,0
60,138.8,138.9,138.45,138.9,5373,0
61,138.8,138.8,138.75,138.75,375,0
62,139.25,139.25,138.8,138.9,3203,0
63,139.25,139.5,139.15,139.25,1072,0
64,139.1,139.1,139.1,139.1,1128,0
65,139.45,139.5,139.15,139.15,2046,0
66,139.15,139.5,139.15,139.5,1803,0
67,139.2,139.2,139.15,139.15,827,0
68,139.3,139.3,139.1,139.15,1679,0
69,139.15,139.15,139.15,139.15,1,0
70,139.25,139.3,139.25,139.3,310,0
71,139,139.15,139,139.15,678,0
72,139,139.05,139,139,2169,0
73,139.2,139.2,139,139,1207,0
74,139.2,139.3,139.2,139.3,137,0
75,139.2,139.2,139.2,139.2,10,0
76,139.3,139.3,139.15,139.2,1050,0
77,139.2,139.25,139.1,139.2,498,0
78,139.05,139.2,139.05,139.2,330,0
79,139.15,139.15,139.15,139.15,1,0
80,139.05,139.15,139.05,139.15,51,0
81,139.15,139.15,139.05,139.05,2058,0
82,139.3,139.3,139.1,139.1,565,0
83,139.25,139.25,139.25,139.25,10,0
84,139.1,139.1,139.1,139.1,64,0
