EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,2020.25,2020.25,2001,2001,84,0
1,2014.05,2014.05,2014.05,2014.05,4,0
2,2005,2007,2005,2007,23,0
7,1998,1998,1998,1998,1,0
9,1995.2,2005,1995.2,2004.95,38,0
10,2004.45,2004.45,2004.45,2004.45,5,0
13,1999.9,1999.9,1998,1998,36,0
14,1999,1999,1993,1993,15,0
15,1993,1993,1991.15,1991.15,26,0
16,1993,2002.15,1993,2002.15,16,0
19,1996.6,1996.6,1996.6,1996.6,1,0
20,1997.35,1997.35,1997.35,1997.35,1,0
21,1999.8,1999.8,1999.8,1999.8,6,0
24,2000,2000,2000,2000,1,0
25,2004.5,2004.5,2004.5,2004.5,15,0
26,2006.85,2006.85,2006.85,2006.85,6,0
27,2007,2007,2007,2007,3,0
29,2007.55,2007.55,2007.5,2007.5,7,0
30,2010,2010,2007.55,2007.55,48,0
31,2010,2010,2010,2010,2,0
32,2018,2018,2018,2018,10,0
33,2019.9,2019.9,2018,2018,27,0
34,2018,2018.05,2018,2018.05,5,0
35,2018,2018,2018,2018,2,0
36,2018.05,2018.05,2018.05,2018.05,1,0
37,2011.65,2018,2011.65,2018,28,0
41,2010,2010,2010,2010,2,0
47,2023.3,2023.3,2010,2010,50,0
50,2014,2029.9,2014,2029.9,68,0
52,2016.8,2016.8,2016.8,2016.8,1,0
60,2025.15,2025.15,2025.15,2025.15,3,0
61,2027.95,2030,2027,2030,19,0
62,2029.25,2029.25,2029.25,2029.25,1,0
63,2029.25,2029.25,2029,2029,16,0
65,2031.05,2031.05,2030,2030,11,0
66,2050.05,2050.05,2033,2033,130,0
67,2055.15,2065.05,2048.3,2048.3,162,0
68,2051.6,2055.35,2049.25,2055.35,35,0
69,2054.55,2054.55,2052.1,2052.1,12,0
70,2052,2053.75,2052,2053.75,13,0
73,2052,2052,2052,2052,8,0
74,2052,2052,2052,2052,1,0
75,2054.95,2054.95,2052,2052,6,0
77,2060,2060.2,2050.15,2050.2,65,0
78,2065.95,2074.95,2065.25,2065.25,72,0
79,2070,2070,2070,2070,175,0
80,2070,2075.05,2070,2075.05,5,0
81,2073.95,2073.95,2073.95,2073.95,2,0
82,2073.9,2073.9,2073.9,2073.9,7,0
83,2074,2074,2074,2074,5,0
84,2070,2070,2070,2070,9,0
