EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,214.8,216.5,212.1,216.5,768,0
1,214.05,214.25,214,214.25,156,0
2,216,216,214.9,214.9,203,0
3,216,216.95,216,216.25,1427,0
4,218.2,218.2,216.95,216.95,264,0
5,216.75,218.5,216.75,218.5,295,0
6,216.95,217.25,216.95,217,145,0
7,216.95,217,216.95,217,311,0
8,215.45,216.1,215.45,216.1,25,0
9,216,216,216,216,200,0
10,216,216,216,216,110,0
11,216.1,216.1,216.05,216.05,115,0
12,216.55,216.55,216.55,216.55,50,0
13,216.55,216.55,216.55,216.55,107,0
14,217,217,216.55,216.55,654,0
15,217.3,217.3,217,217,110,0
16,217,217,217,217,247,0
17,217.3,217.3,217.3,217.3,220,0
18,217,217,217,217,300,0
19,217,217.3,217,217,442,0
20,217.3,217.3,217,217,110,0
21,217,217,217,217,128,0
23,216.35,216.55,216.35,216.55,25,0
24,216,217,216,217,1000,0
25,216.05,216.95,216.05,216.95,75,0
26,216.05,216.05,216.05,216.05,2,0
27,216,216.9,216,216.9,150,0
28,216,216.05,216,216.05,54,0
29,216,216,216,216,665,0
30,216,216,216,216,400,0
31,216,216,216,216,38,0
33,216.7,216.7,216.55,216.55,410,0
35,216.5,216.5,216.5,216.5,20,0
37,214.85,215.5,214.85,215.5,158,0
38,215,215,215,215,300,0
39,215,215,215,215,71,0
40,215,215,215,215,342,0
43,215,215,215,215,10,0
44,215,215,215,215,75,0
45,215,215,215,215,185,0
47,215,215,215,215,8,0
50,214.15,214.6,214.15,214.6,160,0
51,213.75,214,213.75,214,122,0
54,215,215,215,215,102,0
55,214.9,214.9,214.9,214.9,2,0
56,214.45,214.6,213.3,213.3,506,0
57,213.95,213.95,213.95,213.95,35,0
58,213.75,213.75,213.75,213.75,52,0
59,216.6,218.5,216.6,218.5,2275,0
61,216.15,216.25,216.15,216.25,21,0
62,215.8,215.9,215.8,215.9,136,0
63,215.8,215.8,215.8,215.8,8,0
64,216.5,216.5,216.5,216.5,10,0
66,216,216,216,216,50,0
67,216,216,216,216,25,0
72,216.35,216.35,216.35,216.35,135,0
73,216.05,216.05,216,216,181,0
74,216.6,216.6,216.6,216.6,100,0
75,216.05,216.05,216.05,216.05,18,0
76,216.15,216.2,216,216,390,0
77,216.15,216.15,216.15,216.15,20,0
78,216.2,216.2,216.2,216.2,15,0
81,216,216,216,216,19,0
82,216,216,216,216,6,0
83,216,216.15,216,216.15,195,0
84,214.55,214.55,214.55,214.55,141,0
