EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,70.5,70.55,70,70.1,8485,0
1,70.6,70.9,70.45,70.45,5307,0
2,70.9,70.9,70.5,70.6,4776,0
3,70.95,70.95,70.8,70.9,3492,0
4,71.1,71.1,70.7,70.85,8331,0
5,71.6,71.6,71.3,71.3,3509,0
6,71.95,71.95,71.4,71.4,5107,0
7,72.45,72.5,71.95,71.95,7250,0
8,72.8,72.85,72.3,72.3,3814,0
9,72.8,72.95,72.45,72.9,7724,0
10,72.8,72.9,72.7,72.8,4575,0
11,72.85,72.9,72.65,72.8,7298,0
12,72.75,72.8,72.65,72.75,4622,0
13,72.7,72.7,72.6,72.7,1667,0
14,72.7,72.75,72.45,72.7,6596,0
15,72.75,72.75,72.65,72.75,3642,0
16,72.95,72.95,72.75,72.75,4146,0
17,73.05,73.2,72.9,73,3551,0
18,73,73.1,73,73.05,1866,0
19,73.15,73.15,72.8,72.8,3774,0
20,73.2,73.35,73.1,73.1,3537,0
21,73.75,73.75,73.3,73.4,7460,0
22,73.75,73.8,73.6,73.6,5219,0
23,73.8,74,73.7,73.75,14267,0
24,73.75,73.9,73.75,73.8,488,0
25,73.75,73.8,73.75,73.8,1424,0
26,73.9,73.9,73.7,73.75,4201,0
27,73.7,73.9,73.7,73.8,2910,0
28,73.9,73.9,73.55,73.75,1340,0
29,73.65,73.9,73.65,73.9,1450,0
30,73.3,73.7,73.3,73.7,2263,0
31,73.5,73.5,73.4,73.5,451,0
32,73.3,73.4,73.1,73.4,7530,0
33,73.35,73.35,73.1,73.3,2266,0
34,73.2,73.35,73.15,73.15,550,0
35,73.3,73.35,73.3,73.3,160,0
36,73.2,73.3,73.2,73.3,1826,0
37,73.25,73.25,73.2,73.2,385,0
38,73.5,73.55,73.15,73.25,4865,0
39,73.55,73.55,73.5,73.5,792,0
40,73.1,73.5,73.1,73.5,3157,0
41,73,73.1,73,73.05,1017,0
42,73.05,73.05,73,73.05,1107,0
43,73.05,73.2,73.05,73.05,505,0
44,73.05,73.15,73.05,73.15,1480,0
45,73.2,73.2,73.2,73.2,400,0
46,73,73,72.85,72.95,3768,0
47,72.9,72.9,72.9,72.9,310,0
48,72.95,73.05,72.9,72.9,1187,0
49,72.9,72.9,72.85,72.9,1329,0
50,72.85,72.9,72.85,72.9,359,0
51,72.85,72.9,72.85,72.9,624,0
52,72.85,72.85,72.85,72.85,400,0
53,72.85,72.85,72.85,72.85,280,0
54,72.75,73,72.75,72.85,3397,0
55,72.7,72.8,72.7,72.75,1191,0
56,72.6,72.7,72.6,72.7,1601,0
57,72.65,72.8,72.65,72.8,280,0
58,72.8,72.8,72.8,72.8,170,0
59,72.8,72.8,72.8,72.8,183,0
60,72.75,72.8,72.75,72.8,447,0
61,72.75,72.8,72.75,72.8,7,0
63,72.75,72.85,72.75,72.85,445,0
64,72.9,72.9,72.75,72.75,1233,0
65,72.9,72.95,72.9,72.95,103,0
66,72.75,72.85,72.75,72.85,272,0
67,72.7,72.7,72.7,72.7,898,0
68,72.7,72.75,72.7,72.75,505,0
69,72.65,72.65,72.65,72.65,1,0
70,72.65,72.7,72.65,72.65,421,0
72,72.65,72.65,72.65,72.65,100,0
73,72.65,72.65,72.6,72.6,200,0
74,72.7,72.7,72.65,72.65,160,0
75,72.7,72.7,72.7,72.7,240,0
76,72.8,72.8,72.65,72.8,351,0
77,72.7,72.8,72.7,72.8,881,0
78,72.7,72.7,72.7,72.7,3,0
79,72.75,72.8,72.75,72.8,525,0
80,72.8,72.8,72.7,72.7,1596,0
81,72.8,72.8,72.7,72.7,2625,0
82,72.7,73,72.7,73,1740,0
83,72.7,72.85,72.7,72.85,280,0
84,72.85,72.85,72.65,72.65,714,0
