EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,184.7,185.05,183.5,183.7,63091,0
1,184.55,184.6,184,184.6,65646,0
2,184.75,184.95,184.35,184.7,47297,0
3,185.1,185.2,184.65,184.85,43444,0
4,184.4,185.15,184.1,185.15,44139,0
5,184.5,184.65,183.85,184.65,71106,0
6,185,185.15,184.45,184.45,26746,0
7,184.35,185,184.2,185,15233,0
8,184.35,184.7,184.05,184.15,22160,0
9,184.65,184.75,184.25,184.4,17496,0
10,184.4,184.6,184.15,184.55,11506,0
11,184.3,184.55,184.2,184.35,16980,0
12,184.8,184.8,184.2,184.3,24365,0
13,184.85,184.9,184.4,184.75,17368,0
14,185.45,185.75,184.6,184.85,54412,0
15,185.15,185.3,184.8,185,31481,0
16,185.45,185.45,184.45,185.3,25998,0
17,185.95,185.95,185.4,185.45,51905,0
18,186.4,186.8,185.7,185.95,106029,0
19,186.8,186.8,186.15,186.45,40669,0
20,186.3,187,186.15,186.9,72515,0
21,186.9,187,186.3,186.3,54744,0
22,186.55,187.15,186.55,186.95,37645,0
23,186.25,187,186.25,186.8,46374,0
24,187.3,187.3,186.4,186.4,49219,0
25,187.2,187.4,187.1,187.3,33760,0
26,186.75,187.2,186.7,187.1,22687,0
27,186.55,186.9,186.5,186.75,17714,0
28,186.6,186.7,186.45,186.7,30222,0
29,186.9,187,186.6,186.6,17455,0
30,187,187.1,186.8,186.9,17096,0
31,186.5,186.9,186.4,186.9,24783,0
32,186.45,186.8,186.45,186.55,9236,0
33,185.5,186.4,185.2,186.4,54986,0
34,185.8,185.9,185.35,185.35,22641,0
35,185.15,185.75,185.05,185.7,33444,0
36,185.45,185.5,185.1,185.2,23434,0
37,185.95,185.95,185.35,185.45,19360,0
38,185.55,185.95,185.5,185.95,11932,0
39,185.25,185.5,185.1,185.5,21344,0
40,184.8,185.2,184.55,185.2,65711,0
41,184.5,184.75,184.2,184.75,64012,0
42,184.55,184.55,184.35,184.5,17425,0
43,184.8,184.95,184.5,184.55,17693,0
44,184.8,185.2,184.75,184.9,35906,0
45,184.35,184.9,184.3,184.9,19702,0
46,184.75,184.8,184.25,184.3,22463,0
47,184.45,184.7,184.3,184.7,20751,0
48,184.2,184.55,184.2,184.5,12461,0
49,184.45,184.6,184.2,184.3,23960,0
50,184.65,184.7,184.35,184.45,31988,0
51,184.6,184.65,184.5,184.55,2689,0
52,184.7,184.7,184.5,184.6,3715,0
53,184.2,184.7,184.2,184.6,26256,0
54,183.8,184.2,183.7,184.2,59654,0
55,183.55,183.85,183.45,183.85,31870,0
56,182.9,183.55,182.6,183.5,101360,0
57,182.85,183,182.75,182.95,40390,0
58,183.2,183.3,182.8,182.9,39790,0
59,183.05,183.4,183,183.25,16081,0
60,182.6,183.1,182.5,183.05,20219,0
61,182.6,182.7,182.3,182.5,37329,0
62,182.7,182.8,182.45,182.65,34251,0
63,182.45,182.75,182.45,182.7,25675,0
64,182.4,182.6,182.2,182.45,23778,0
65,181.55,182.35,181.3,182.35,94522,0
66,181.7,181.75,181.4,181.6,44747,0
67,181.8,181.8,181.4,181.65,28639,0
68,182,182.15,181.8,181.8,25031,0
69,181.95,182,181.85,181.9,12616,0
70,181.95,182,181.8,181.85,9959,0
71,181.6,181.95,181.3,181.95,43054,0
72,181.65,181.65,181.45,181.6,31914,0
73,182,182,181.6,181.7,28735,0
74,181.75,182.15,181.6,181.95,21109,0
75,181.75,181.8,181.7,181.8,11095,0
76,181.6,181.8,181.55,181.8,11692,0
77,181.8,181.85,181.6,181.6,11297,0
78,181.95,181.95,181.8,181.8,8064,0
79,181.7,181.9,181.5,181.75,28130,0
80,181.75,181.75,181.55,181.7,13715,0
81,182,182,181.7,181.75,14994,0
82,182.15,182.2,181.95,182,19842,0
83,182,182.2,181.9,182.2,24016,0
84,181.65,181.9,181.6,181.9,31951,0
