EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,772.9,774.7,772.9,774.7,11,0
1,774.3,774.3,765.75,765.75,65,0
3,766.85,766.85,764.8,764.8,67,0
4,767,767,767,767,12,0
5,765.75,767,765.75,767,14,0
6,764,767,764,767,107,0
7,768.35,768.35,768.35,768.35,10,0
9,767,767,767,767,30,0
10,767,767,767,767,14,0
11,767,767.3,767,767.3,7,0
12,766.55,766.55,764,764,5,0
15,764,764,764,764,28,0
16,764,764,764,764,45,0
17,764,764,764,764,20,0
18,764,764,764,764,7,0
19,764,766.55,764,766.55,21,0
20,764,764,764,764,14,0
21,764,764,764,764,75,0
22,764,764,764,764,142,0
23,764,764,764,764,58,0
24,764.9,764.9,764.9,764.9,65,0
25,764,764,762.15,763,120,0
28,764,764,763.95,763.95,13,0
33,763,763,762.05,762.05,55,0
34,760.05,760.05,760.05,760.05,88,0
35,762,762,762,762,1,0
37,760.05,762,760.05,762,23,0
38,760.05,760.75,760.05,760.05,9,0
39,760.75,761.8,760.6,760.65,83,0
40,761.5,761.5,761,761,127,0
41,761,761,761,761,6,0
42,760.25,761,760.25,761,10,0
43,760.4,760.4,760.4,760.4,9,0
44,760.1,760.1,760,760,41,0
45,760.1,760.5,760.1,760.1,18,0
46,760.6,761.6,760.5,761.6,10,0
47,760.5,760.5,760.5,760.5,6,0
49,760.65,760.65,760.35,760.5,28,0
50,760,760.35,760,760.35,21,0
51,760,760,760,760,38,0
52,758.6,759.8,758.6,759.8,16,0
53,758.6,758.6,758.6,758.6,6,0
54,759.5,759.65,758.6,758.6,56,0
55,759.5,759.5,759.5,759.5,1,0
56,759.65,759.65,759.5,759.5,23,0
61,759.6,759.6,759.6,759.6,12,0
64,759,759,759,759,20,0
65,758.7,758.7,758.7,758.7,31,0
67,759.35,759.35,759.35,759.35,12,0
73,760.9,760.9,759.95,759.95,45,0
75,759.1,760.65,759.1,760.65,6,0
76,760.35,760.35,760.35,760.35,1,0
79,759.35,759.35,759.35,759.35,9,0
