EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,322.45,325,322.45,324,380,0
1,326.9,326.9,326.9,326.9,12,0
2,321.9,321.9,321.3,321.3,38,0
3,324,324.55,324,324.55,15,0
4,324.8,324.8,324.8,324.8,11,0
5,324.8,324.8,324.8,324.8,13,0
6,324.8,324.8,324.8,324.8,11,0
7,323.65,324.8,323.65,324.8,36,0
8,324,324.85,324,324.85,30,0
9,323,323.65,323,323.65,65,0
10,322.55,323.55,322.55,323.35,51,0
11,323.65,323.65,323.65,323.65,13,0
12,323.65,323.65,323.65,323.65,11,0
13,323.7,323.7,323.6,323.6,13,0
14,323.7,323.7,323.7,323.7,12,0
15,323.7,323.7,323.7,323.7,12,0
16,323.7,323.7,323.7,323.7,11,0
17,324,324,323.85,323.85,13,0
18,324.35,324.35,324.35,324.35,12,0
19,324.35,324.35,324.35,324.35,12,0
20,324.35,324.35,324.35,324.35,12,0
21,324.2,324.75,324,324.65,15,0
22,324,324.7,324,324.7,15,0
23,323.7,323.7,323.7,323.7,85,0
24,323.7,323.7,323.7,323.7,11,0
25,324.7,324.7,323.7,323.7,12,0
26,324.7,324.7,324.7,324.7,16,0
27,324.75,324.75,324,324,12,0
28,324,324.75,324,324.75,12,0
29,324.85,324.85,324.85,324.85,13,0
30,324.9,324.9,324.9,324.9,11,0
31,324,324,324,324,12,0
32,324,324,324,324,12,0
33,323.25,323.95,323.25,323.7,66,0
34,323.95,323.95,323.95,323.95,11,0
35,324,324,324,324,13,0
36,324,324,324,324,11,0
37,324,324,324,324,13,0
38,324,324,324,324,12,0
39,323.8,324,323.8,324,20,0
40,324,324,323.9,323.9,11,0
41,324,324,323.95,323.95,13,0
42,324,324,324,324,11,0
43,324,324,324,324,12,0
44,324,324,324,324,12,0
45,324,324,324,324,12,0
46,324,324,324,324,12,0
47,324,324,324,324,20,0
48,324,324,324,324,11,0
49,324,324,324,324,12,0
50,324,324,324,324,47,0
51,324,324,324,324,34,0
52,323.95,324,323.95,324,20,0
53,323.95,324,323.95,324,31,0
54,323.95,324,323.95,324,50,0
55,323.95,324,323.95,324,31,0
56,323.95,324,323.95,324,31,0
57,323.95,323.95,323.95,323.95,39,0
58,323.95,324,323.95,324,33,0
59,323.95,324,323.95,324,40,0
60,323.85,324,323.85,324,162,0
61,323.95,323.95,323.9,323.95,33,0
62,323.95,324,323.95,323.95,56,0
63,323.95,324,323.95,324,30,0
64,323.95,324,323.95,324,39,0
65,323.95,324,323.95,324,31,0
66,323.95,324,323.95,324,36,0
67,323.95,324,323.95,324,40,0
68,323.7,324,323.7,324,30,0
69,323.25,323.95,323.25,323.95,121,0
70,323.6,324,323.6,323.6,37,0
71,323.8,324,323.8,323.8,32,0
72,323.9,324,323.9,323.95,56,0
73,323.95,324,323.95,323.95,31,0
74,323.95,324,323.95,324,75,0
75,323.7,324,323.7,324,56,0
76,323.85,324,323.85,324,56,0
77,323.9,323.95,323.9,323.9,31,0
78,323.95,323.95,323.95,323.95,41,0
79,323.95,324,323.95,324,40,0
80,323.7,324,323.7,324,30,0
81,323.85,324,323.85,324,31,0
82,323.95,324,323.95,323.95,29,0
83,323.95,323.95,323.95,323.95,82,0
84,323.95,324,323.95,324,39,0
