EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,62.25,62.3,62.1,62.2,5701,0
1,62.25,62.25,62.2,62.25,6015,0
2,62.3,62.45,62.3,62.3,4504,0
3,62.35,62.4,62.3,62.4,355,0
4,62.4,62.45,62.35,62.4,4214,0
5,62.65,62.65,62.15,62.35,11576,0
6,62.6,62.65,62.55,62.55,2372,0
7,62.6,62.6,62.6,62.6,400,0
8,62.7,62.7,62.55,62.65,1400,0
9,62.7,62.7,62.55,62.55,3401,0
10,62.7,62.8,62.7,62.8,2717,0
11,62.8,62.8,62.7,62.7,542,0
12,62.8,62.8,62.8,62.8,209,0
13,62.7,62.7,62.65,62.7,3462,0
14,62.75,62.8,62.6,62.7,2320,0
15,62.55,62.65,62.55,62.6,1978,0
16,62.55,62.6,62.45,62.6,2634,0
18,62.6,62.6,62.6,62.6,500,0
19,62.5,62.6,62.5,62.6,250,0
20,62.7,62.7,62.6,62.6,1116,0
21,62.6,62.7,62.6,62.7,53,0
22,62.55,62.65,62.55,62.6,2353,0
23,62.55,62.6,62.5,62.5,1550,0
24,62.45,62.5,62.45,62.5,566,0
25,62.45,62.5,62.4,62.4,1450,0
26,62.35,62.45,62.3,62.45,5697,0
27,62.3,62.35,62.3,62.3,308,0
28,62.35,62.35,62.35,62.35,100,0
29,62.4,62.4,62.35,62.35,1990,0
30,62.3,62.4,62.3,62.4,1650,0
31,62.3,62.3,62.3,62.3,800,0
32,62.4,62.4,62.35,62.35,2496,0
33,62.35,62.4,62.3,62.4,501,0
34,62.45,62.45,62.35,62.4,4087,0
35,62.8,62.8,62.45,62.45,5226,0
36,62.45,62.55,62.45,62.55,212,0
37,62.65,62.65,62.5,62.5,545,0
38,62.6,62.6,62.5,62.5,1103,0
39,62.65,62.65,62.6,62.6,460,0
40,62.6,62.85,62.6,62.65,5469,0
41,62.65,62.65,62.3,62.3,6557,0
42,62.55,62.55,62.55,62.55,349,0
43,62.5,62.6,62.5,62.55,508,0
44,62.75,62.75,62.5,62.5,2026,0
45,62.55,62.7,62.55,62.7,443,0
46,62.5,62.55,62.5,62.55,234,0
47,62.6,62.6,62.5,62.5,597,0
48,62.55,62.6,62.5,62.55,561,0
49,62.65,62.7,62.55,62.6,2440,0
50,62.65,62.65,62.55,62.55,397,0
51,62.6,62.7,62.5,62.6,830,0
52,62.65,62.7,62.5,62.65,1282,0
53,62.5,62.65,62.5,62.6,572,0
54,62.5,62.55,62.5,62.55,437,0
55,62.5,62.6,62.5,62.55,1944,0
56,62.6,62.65,62.6,62.6,670,0
57,62.6,62.6,62.5,62.5,133,0
58,62.55,62.55,62.5,62.5,59,0
59,62.5,62.55,62.45,62.55,703,0
60,62.5,62.5,62.5,62.5,1,0
61,62.4,62.4,62,62.1,40948,0
62,62.4,62.4,62.15,62.35,900,0
63,62.4,62.4,62.4,62.4,288,0
64,62.3,62.4,62.2,62.4,726,0
65,62.45,62.45,62.3,62.3,1259,0
66,62.4,62.45,62.4,62.45,140,0
67,62.35,62.45,62.2,62.45,178,0
68,62.35,62.4,62.35,62.35,288,0
70,62.45,62.45,62.4,62.4,1138,0
71,62.45,62.45,62.45,62.45,275,0
72,62.45,62.45,62.45,62.45,5276,0
73,62.45,62.45,62.45,62.45,278,0
74,62.45,62.45,62.45,62.45,275,0
75,62.45,62.45,62.45,62.45,276,0
76,62.45,62.45,62.45,62.45,298,0
77,62.5,62.5,62.4,62.45,2154,0
78,62.5,62.5,62.4,62.5,301,0
79,62.55,62.55,62.5,62.5,776,0
80,62.35,62.55,62.2,62.55,6297,0
81,62.45,62.45,62.35,62.35,188,0
82,62.55,62.55,62.25,62.45,2709,0
83,62.25,62.25,62.25,62.25,25,0
84,62.5,62.5,62.5,62.5,31,0
