EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531971960,298.7,298.7,297.15,297.5,20725,0
1,297.15,298.85,297.15,298.85,36614,0
2,297.25,297.8,296.55,297,70158,0
3,299.15,299.15,297.15,297.25,75156,0
4,298.1,299.45,298.1,299.1,51812,0
5,297.1,298.35,297.1,298.25,65599,0
6,297.55,297.75,296.75,297.4,15405,0
7,297.8,298.45,297.5,297.95,46320,0
8,297.6,298.2,297.05,297.8,31669,0
9,297.8,297.8,297,297.6,22597,0
10,296.75,297.8,296.75,297.65,63662,0
11,295.5,296.8,295.25,296.75,83141,0
12,294.95,295.6,294.5,295.6,50510,0
13,295.1,295.35,295,295.1,22208,0
14,295,295.1,294.75,295.1,24201,0
15,294.5,295,294.5,295,16491,0
16,295.3,295.3,294.5,294.6,17859,0
17,295.7,295.95,295.25,295.25,22136,0
18,297.35,297.65,295.7,295.7,69107,0
19,296.2,297.75,296.2,297.5,25191,0
20,296,296.45,296,296.25,10614,0
21,295.6,296.1,295.55,296,7118,0
22,296.4,296.4,295.6,295.6,11020,0
23,296.8,297,296.4,296.4,11965,0
24,296.1,297.3,296,297.3,27478,0
25,295.9,296.35,295.7,296.25,16983,0
26,295.8,296,295.65,295.8,38850,0
27,295.3,295.85,295.3,295.85,8386,0
28,295.05,295.35,295,295.25,11883,0
29,295.55,296.25,295.05,295.1,10589,0
30,295.6,295.8,295.45,295.45,5386,0
31,295.95,296.4,295.6,295.6,9823,0
32,295.9,296.05,295.9,295.9,3386,0
33,295.75,296.15,295.55,295.9,14957,0
34,295.85,295.85,295.4,295.7,4558,0
35,296.35,296.35,295.75,295.8,5122,0
36,296.75,297,296.25,296.25,17878,0
37,297.7,297.85,296.75,296.75,33940,0
38,297.85,298.55,297.85,297.85,55385,0
39,297.85,298.5,297.7,298.05,12167,0
40,298.7,298.7,297.85,297.85,10951,0
41,298.5,298.7,298.3,298.65,6198,0
42,299.45,299.45,298.35,298.35,23636,0
43,301,301.3,299.6,299.9,114024,0
44,301.7,302.65,300.85,300.9,87608,0
45,302.6,302.9,301.65,301.85,40912,0
46,302,302.55,301.85,302.5,43801,0
47,301.8,302.45,301.65,302.2,23481,0
48,301.9,302,301.45,301.7,44702,0
49,302.1,302.5,301.9,301.95,41699,0
50,302.2,302.5,302,302.1,56973,0
51,302.85,302.85,302.15,302.25,30428,0
52,302.05,302.75,302,302.75,22285,0
53,302.15,302.4,302,302.1,21778,0
54,301.7,302,301.7,302,32641,0
55,302.15,302.3,301.7,301.8,24838,0
56,302.15,302.2,301.95,302.2,5186,0
57,302.35,302.5,302.1,302.2,4169,0
58,303.5,303.5,302.5,302.55,41382,0
59,304.3,304.45,303.45,303.45,40156,0
60,304.65,305,304.2,304.4,28340,0
61,304.4,304.75,304.3,304.55,47048,0
62,304.95,305.05,304.4,304.5,75674,0
63,304.5,304.95,304.1,304.95,38068,0
64,304.35,304.75,304.3,304.75,8063,0
65,304.1,304.7,304,304.55,15786,0
66,303.8,304.2,303.75,304.1,25091,0
67,304.25,304.25,303.65,303.85,10530,0
68,304,304.25,303.7,304.25,5314,0
69,304.2,304.35,304,304.1,6165,0
70,304.6,304.6,304.3,304.3,17651,0
71,304.35,304.7,304.1,304.5,4576,0
72,304.2,304.4,304.05,304.25,13478,0
73,304.7,304.7,304,304.3,44438,0
74,304.85,305.15,304.75,304.85,101399,0
75,304.95,305.2,304.85,304.85,15079,0
76,305.95,306,305,305,47406,0
77,305.1,306,305,305.9,42625,0
78,304.55,305.15,304.5,305,42493,0
79,304.1,304.7,304.1,304.55,6656,0
80,303.7,304.3,303.55,304.05,42813,0
81,304,304,303.55,303.7,10512,0
82,304.05,304.15,304,304.05,3762,0
83,304.3,304.3,304.15,304.15,3590,0
84,304.25,304.75,304.15,304.3,5117,0
85,305,305,304.35,304.4,23534,0
86,304.8,305,304.8,305,9530,0
87,304.75,304.85,304.55,304.75,5859,0
88,304.55,304.9,304.55,304.75,6104,0
89,304.9,305,304.5,304.5,16648,0
90,305,305.1,304.9,304.9,27753,0
91,304.95,305,304.55,304.9,5469,0
92,304.8,304.95,304.65,304.85,2345,0
93,304.55,304.65,304.45,304.55,2001,0
94,304.65,304.65,304.25,304.5,2281,0
95,304.5,305.25,304.5,304.7,24297,0
96,305.1,305.4,304.5,304.5,19267,0
97,305.1,305.6,304.75,305.6,11939,0
98,305.5,305.6,305,305.15,7202,0
99,305.65,306.1,305.45,305.65,23933,0
100,306.1,306.2,305.7,305.7,11015,0
101,305.8,306.5,305.45,306.25,27353,0
102,305.5,305.8,305.45,305.55,4871,0
103,306.4,306.4,305.5,305.6,7404,0
104,307.1,307.2,306.4,306.4,52234,0
105,306.85,307.75,306.85,307.05,31301,0
106,306.7,307.1,306.7,307,32562,0
107,306.45,307,306.3,306.85,13130,0
108,306.5,306.6,306.3,306.35,8506,0
